layer,layer_2,distance,Plot Numbe,Trial Name,Combocode
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.059860947,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.066881315,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.059860947,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.158848149,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.185496479,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.176421219,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.137471691,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.057051989,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.057051989,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.097245344,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.125383727,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.10227726,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.10227726,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.036929769,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.119366175,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.036929769,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.119366175,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.311756873,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.367780745,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.289175297,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.042055978,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.042055978,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.114306647,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.085158455,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.085158455,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.472928434,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.149235108,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.149235108,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.106469154,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.106469154,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.208800572,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.20083878,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.092089865,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.092089865,801,24112,24112801
reg trial centroids 6-18 2024 — centroids,reg trial centroids 6-18 2024 — centroids,0.027830351,801,24112,24112801
