fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,628NDVI_me,SAVI_mean,THRESH_mea,HArea_mean,PLTCOUNT,6-28SAVI_m,628NDVIvariance,628gNDVI_mean,628gNDVI_variance,628gNDRE_mean,628gNDRE_variance,628gExG_mean,628gExG_variance,628gExR_mean,628gExR_variance
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,0,0,"101","101",0.27767677019915,61465.2814934281,0.070022396197217,0.938472874643087,77,0.555913355369532,0.0125114791069037,0.0796534542437112,0.00768942638476282,-0.0253416785300036,0.00164717151998624,2688.07576182983,14647516.336896,15234.6142943607,33086516.271503
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,0,1,"108","108",0.286813185291396,60446.6705582762,0.100215475024486,0.983421052631579,81,0.573418506748938,0.0164857930264587,0.0854846943573826,0.00890498580199352,-0.0236559355145159,0.00208583630061723,2820.13912504081,20113100.6101646,14593.8633395311,40661256.2171543
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,0,2,"201","201",0.302692726593245,63750.2496898466,0.14086842964414,0.98652649307246,66,0.60574932563255,0.02531928475585,0.0988516118798839,0.0135389845646147,-0.0203110045828776,0.00224200045496886,2892.2609467842,32539696.8901435,14445.8059982194,46557745.0703583
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,0,3,"208","208",0.371607373249951,69521.0772003369,0.282754477724017,0.773654916512059,29,0.743324089190492,0.0460295787249557,0.128921137178406,0.0180613688026648,-0.0178272801994352,0.00343935010337052,6878.83440746472,107535895.278985,12363.2598136834,69741836.5593077
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,0,4,"301","301",0.303754957364054,64087.9163037304,0.167960613520167,0.800247371675943,41,0.607865832441175,0.0338798423861295,0.0991012334652281,0.0142314053798164,-0.0225163929061059,0.00260786444602401,4278.76364194347,65644991.5179613,13999.9686746626,50818044.5307076
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900",0,5,"308","308",0.256237137789515,64596.3318881082,0.106041907448399,0.692838063658732,31,0.512424229629572,0.0225501989499412,0.0715415910220277,0.0095120664776492,-0.0280082519244916,0.0022684479141115,3390.27039380465,53740626.8442539,15359.8796518822,42791174.3556912
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,0,6,"401","401",0.302137202829995,63765.3948337556,0.167419750829263,0.765286385347176,23,0.604385431457291,0.0329882024146139,0.0981148364226431,0.0132432794776776,-0.0272512720616744,0.00254192466907398,4583.04365711599,63871191.7593191,13588.0110835564,47286855.2727957
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,0,6,"408","408",0.321717343160401,67502.1905309139,0.188506767830442,0.909368421052632,44,0.643434651981319,0.0302992011436043,0.108925237594003,0.0134645490651792,-0.0197284376470915,0.00287171736745643,5105.84086293919,72373164.0482776,14155.6599160794,57221823.6593747
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,1,7,"409","409",0.256960142923669,65376.9248570011,0.088306735967822,0.523605263157895,18,0.513876738031851,0.0189188843931683,0.0716995609252683,0.00885786604136638,-0.0268659004253802,0.00193326322410815,3064.18603573014,40611000.1614382,15990.1048766309,40180630.802666
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,1,6,"402","402",0.35522890835236,71277.4716744587,0.261910047796902,0.663864108839241,24,0.710681872254742,0.0462179187595076,0.124279200481735,0.0162729590675359,-0.0252731337961339,0.00305313827803741,7398.68320187009,128245930.05411,12175.8591691544,60786407.7829889
"1528",2024/06/04,02:18:57pm,4.71,"905",D9,45.43305949,-73.93878983,39.021,"0","0",,"1",500938a125f6843f,1,5,"309","309",0.326232269455164,70374.8769091135,0.234305825813276,0.894236842105263,41,0.652916781066703,0.0391962260533788,0.108378389422136,0.0133128394592641,-0.024074755927319,0.00307134913608512,6572.20242774868,118073132.045966,13402.3504504067,64462643.8855935
"1529",2024/06/04,02:19:09pm,4.71,"905",D7,45.43303241,-73.93887061,39.021,"0","0",,"1",500938ad2f841179,1,4,"302","302",0.33164583209807,65531.9260071825,0.220097943192948,0.928421052631579,45,0.663233408385241,0.0390689705439104,0.117716153349616,0.0172883210495106,-0.0204082780438049,0.00294175164527277,5359.11812602024,78624449.0969249,12820.9395985181,57149486.3770007
"1530",2024/06/04,02:19:22pm,4.71,"905",D5,45.43300564,-73.9389516,39.021,"0","0",,"1",500938ba669012e1,1,3,"209","209",0.303868055346106,66464.7780005093,0.166499072792332,0.951276956882146,50,0.607813707252109,0.0290432276027953,0.086938434798633,0.0116769512461356,-0.0252581907748527,0.00275421188862119,4859.26443048554,70597452.9447613,14232.9741995036,52862495.3550818
