fid,Date,Time,Version,Id,Name,UniqueID,Plot Numbe,qGISPlotID,BLOC,SPACING,DENSITY,VARIETY,Yield,618ExG_mean,618ExG_variance,618ExR_mean,618ExR_variance,618gNDVI_mean,618gNDVI_variance,618NVI_mean,618NVI_variance,618HA_mean,618HA_variance,PLTCOUNT
"882",2024/06/04,01:21:48pm,4.71,"905",U8,50093b3c516630e7,,,,,,,,,,,,,,,,,,0
"1122",2024/06/05,01:08:10pm,4.71,"905",D27,5009398a4f468548,"15004","15004","1","22""","150000",Nautica,,2552.92783484847,2622132.22682969,15654.5559729414,21492325.4215114,0.364337992419782,0.00293409737459701,0.240717407561687,0.00451465940051966,0.999462972907909,0.000536738693993888,90
"1123",2024/06/05,01:08:31pm,4.71,"905",D25,5009399f124b0578,"14004","14004","1","22""","150000",Zorro,"1985",2648.51042538732,1746098.46359943,15820.1794084483,20481070.3096321,0.374161405332673,0.00346673810874134,0.249280363300143,0.00498861672178462,1,0,95
"1124",2024/06/05,01:09:45pm,4.71,"905",D23,500939e974326067,"13004","13004","1","22""","150000",Redhawk,"821",2650.07693368397,1204924.85106789,16666.3377130364,15995491.1044496,0.358004437428466,0.00248583445548703,0.22809271485387,0.00261278038459366,0.987111349789819,0.0127225329059745,53
"1125",2024/06/05,01:10:13pm,4.71,"905",D21,50093a0530f42610,"12004","12004","1","22""","150000",Cayenne,"1897",2768.79947601178,1359173.43648147,16644.4778681867,16886149.6380753,0.359826357988149,0.00305752874909911,0.230043057390473,0.00409557774440278,0.850780541101091,0.126953011984771,57
"1126",2024/06/05,01:10:34pm,4.71,"905",D19,50093a1a08b553e0,"11004","11004","1","22""","150000",Windbreaker,"1964",2623.88855620451,2033207.21285138,16174.9612823401,19747833.9157167,0.373513385264056,0.002792908261437,0.234760856823208,0.00441312660480982,0.999851854595285,0.000148123457653872,71
"1127",2024/06/05,01:10:55pm,4.71,"905",D17,50093a2f7621b22f,"10004","10004","1","22""","150000",Eclipse,"1693",2341.0078401245,1269082.12309545,15830.2403391205,17925003.0703139,0.390218573083374,0.00289766539171398,0.231607469165008,0.00377616249654516,0.810307789177377,0.153709075975927,65
"1128",2024/06/05,01:11:16pm,4.71,"905",D15,50093a442aae9133,"9004","9004","1","22""","150000",CLERK,"839",2883.13875565098,2522768.35763673,16075.2208979378,19682199.7336253,0.370816266135276,0.00295620695465285,0.239340292204862,0.00498209702715459,1,0,84
"1129",2024/06/05,01:11:37pm,4.71,"905",D13,50093a597a18dd17,"8004","8004","1","22""","150000",Red Rover,"994",2734.64402639614,2977435.53040878,16039.5877207205,24524406.6803182,0.373444702148223,0.00397627593918058,0.243279586425798,0.00652270140399537,0.999944445473232,5.55514404625677e-05,84
"1130",2024/06/05,01:11:58pm,4.71,"905",D11,50093a6e39d14fbd,"7004","7004","1","22""","150000",Red Dawn,"700",2865.14137693293,2889643.9659674,16264.2039438263,18243754.7375725,0.356100632858324,0.00315951069063892,0.234247318105095,0.0056627158690717,0.967778374474547,0.0311833923740092,63
"1131",2024/06/05,01:12:19pm,4.71,"905",D9,50093a832c9493fd,"6004","6004","1","22""","150000",T9905,"2396",2608.43077771649,1315844.32150251,16185.3417661855,15835865.7171376,0.357202505288271,0.00253296421224004,0.221716427589001,0.0031122489533833,0.997277828188367,0.00271476159226168,61
"1132",2024/06/05,01:12:40pm,4.71,"905",D7,50093a987f396412,"5004","5004","1","22""","150000",Ronnies red,"988",2967.813767495,3274480.28605335,16174.7912277993,18347065.8113285,0.354192349782155,0.00304690321419649,0.233958614936003,0.00554248919534783,0.999907410836636,9.25805906111473e-05,73
