fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,NDVI_mean,SAVI_mean,Threshold_sum,Threshold_mean,PLANTS_2ROW,HAreamean,NDVImean,NDVIvariance,618gNDVI_mean,618gNDVI_variance,618NDRE_mean,618NDRE_variance,618ExG_mean,618ExG_variance,618ExR_mean,618ExR_variance
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,"0","0","101","101",0.235324618993437,0.0156817168512217,1277,0.00893663179257497,69,0.93073866477198,0.235324618993437,0.00245928936114855,0.386105350017915,0.00217302365934664,0.124136034900584,0.000806509101115265,2673.80352706533,1075697.97303632,16849.914049223,12563161.9135999
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,"0","1","108","108",0.225491393529357,0.0160155686635569,1365,0.0095526022968235,78,0.977855263157895,0.225491393529357,0.00238837062926619,0.377514486156208,0.00188156925468671,0.118661667796566,0.000834713638019588,2718.8148334768,1198562.88457579,16987.6856234302,13785582.8593774
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,"0","2","201","201",0.228580691469943,0.0147141057899819,2572,0.0179992302039959,86,0.988000315781164,0.228580691469943,0.00393254264497101,0.365662020649911,0.00290001981903626,0.101018759352961,0.000873099880617377,2719.58052709663,1534109.9825004,16508.9087968885,16490425.3144863
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,"0","3","208","208",0.235066751652335,0.0152261966221033,8087,0.0565943986451495,59,0.978092105263158,0.235066751652335,0.00964131513544683,0.356584057984293,0.0037279228455852,0.0874729011843195,0.00116873679835923,3023.37123322183,8308009.0972483,16465.8983014025,23875791.6487273
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,"0","4","301","301",0.219663060152539,0.0145943370175485,4290,0.0300224643614453,46,0.756526315789474,0.219663060152539,0.00636735958250529,0.354735567163265,0.00312753225965983,0.0882509758929481,0.000938629295580803,2931.67036873745,4684304.08474665,16337.968092153,17164686.2675848
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900","0","5","308","308",0.231254016804526,0.0149931835786192,1744,0.0122050219746382,44,0.730385126511493,0.231254016804526,0.00304048287110107,0.35929520747025,0.00269814727585589,0.0956520473735284,0.00104302578862937,2522.38032220138,2063328.31792119,16615.1964579684,18735848.3190408
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,"0","6","401","401",0.234262408098311,0.0164593197499927,3654,0.0255712236257392,43,0.870317495822423,0.234262408098311,0.00448202249625611,0.36286389462783,0.0027537978308252,0.0990495164344021,0.000912388259218205,2889.49847790336,4159347.70619967,16605.3052440741,18318566.5228476
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,"0","6","408","408",0.243524853225389,0.0158116235612606,4672,0.03269533573603,58,0.954183607679048,0.243524853225389,0.00602209684377261,0.374518177294258,0.00349089469617679,0.104652847655708,0.00110681202091535,2923.088819841,5059712.52102721,17013.3760145558,21808397.9035009
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,"1","7","409","409",0.229429946324623,0.0146713899002022,1434,0.0100353406347318,43,0.608055475144083,0.229429946324623,0.00297560691270864,0.370394065079542,0.00271618441473002,0.102646660790487,0.000946963229992873,2735.48157038385,2153022.99441694,17225.6019034456,16799791.3244775
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,"1","6","402","402",0.239987131823917,0.0156518306912965,8241,0.0576717169949963,64,0.981473927974632,0.239987131823917,0.0106311452880672,0.369070489499176,0.00421389585960789,0.0959406775064578,0.0012393173414716,3173.20099373666,8564586.48919991,16116.0529747803,23794130.8667324
