fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,702NDVI_mean,SAVI_mean,702Thresh_mea,702HArea_mean,702pltcountsculled,702NDVI_variance,702gNDVI_mean,702gNDVI_variance,702gNDRE_mean,702gNDRE_variance,702ExG_mean,702ExG_variance,702ExR_mean,702ExR_variance
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,0,0,"101","101",0.260043267045139,0.520063999743034,0.057427869858809,0.991131578947368,117,0.0113063622476629,0.0721016304539744,0.00679975900576477,-0.027311641620011,0.00107875130897587,2983.24472068754,8511121.32356802,16226.6287461951,26487622.5598362
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,0,1,"108","108",0.269596659802029,0.539169501512934,0.081159224564462,0.997671113918055,101,0.0142692009813939,0.0748854563484037,0.0074845230424907,-0.0279968442309963,0.00128748295266177,3270.65093737339,11374133.0382085,15744.0707007908,32050801.865775
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,0,2,"201","201",0.287041476244175,0.574057584933663,0.111434411889284,0.994197444770464,82,0.0204018550606941,0.0951079797024017,0.0108573865812332,-0.0213824821217392,0.00135384967810847,3322.53159242003,17402777.2467,15255.0935091316,38194496.2380176
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,0,3,"208","208",0.386387848564434,0.772741983977397,0.30503855031184,0.935986842105263,50,0.0503448217121062,0.154374084490414,0.0201641884830169,-0.00893476470020252,0.00303045933857479,7123.957342975,84702065.936348,12318.4841832773,73961070.5877735
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,0,4,"301","301",0.301911498265456,0.603796520931248,0.170341677818566,0.771907894736842,40,0.0365292440780315,0.0969347567611034,0.0153257645573478,-0.0238842633249703,0.00227723966291917,4510.09337515807,50554586.3298951,14603.1670925254,52171954.4806121
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900",0,5,"308","308",0.25113887367432,0.502256060753659,0.083191631727245,0.775073028237585,60,0.017444466415998,0.0635929252299339,0.00811710481414792,-0.0259304784273821,0.00154500284848938,3346.53625207948,25446597.1705586,16273.4411300122,35309690.9138153
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,0,6,"401","401",0.314096011291317,0.628164412057116,0.184962830641547,0.89105119804208,50,0.0322921394132423,0.0944225071866344,0.0132098098593794,-0.0246278478352163,0.00215260626945577,5863.25153619025,68231096.1647544,14678.1606249918,55706861.6527244
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,0,6,"408","408",0.324744887686262,0.649461268611894,0.192482643045248,0.958171052631579,69,0.0305910381595924,0.104578150500341,0.011908594921939,-0.0206092051281188,0.00221644393174601,5647.59828241346,67463028.1053026,14575.0948933192,55247077.1994478
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,1,7,"409","409",0.251442368396546,0.502863272592458,0.070477523434191,0.630768016210313,41,0.0147948755621433,0.0642354957601993,0.00772495311724859,-0.02631172794996,0.00132187140615806,2897.25963917178,18492733.0431133,16792.9247428677,33104630.1641759
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,1,6,"402","402",0.371311454773841,0.742590437246874,0.276757048759676,0.715359008434099,27,0.0500494869620605,0.133000309995736,0.0183312768263452,-0.0173924292422667,0.00290690430665989,7811.07863671801,106054219.194289,12823.9158546681,71946655.7484894
