fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,Plot Numbe,qGISPlotID,BLOC,SPACING,DENSITY,VARIETY,Yield,meanHA22_count,meanHA22_sum,meanHA22_mean,layer,path,618ExG_mean,618ExG_variance,618ExR_mean,618ExR_variance,618gNDVI_mean,618gNDVI_variance,618gNDRE_mean,618gNDRE_variance,618NDVI2_mean,618NDVI2_variance,618THRESH_mean,618THRESH_variance,618HA_mean,618HA_variance
"1",2024/06/03,08:46:40am,4.71,"905",D24,45.42976486,-73.93611067,39.324,"0","0",,"1",500939403029687e,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"2",2024/06/03,08:46:44am,4.71,"905",D23,45.42973628,-73.93609182,39.324,"0","0",,"1",50093944773a4e8f,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"3",2024/06/03,08:46:50am,4.71,"905",D22,45.42970792,-73.93607245,39.324,"0","0",,"1",5009394a37499f75,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"4",2024/06/03,08:46:55am,4.71,"905",D21,45.42967953,-73.93605293,39.324,"0","0",,"1",5009394f2d37ea7c,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"5",2024/06/03,08:47:01am,4.71,"905",D20,45.4296512,-73.93603341,39.324,"0","0",,"1",500939554f27bbc1,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"6",2024/06/03,08:47:06am,4.71,"905",D19,45.42962299,-73.93601358,39.324,"0","0",,"1",5009395a51d60802,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"7",2024/06/03,08:47:12am,4.71,"905",D18,45.42959472,-73.93599396,39.324,"0","0",,"1",5009396021ef2a1f,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"8",2024/06/03,08:47:17am,4.71,"905",D17,45.42956624,-73.93597477,39.324,"0","0",,"1",50093965334a345c,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"9",2024/06/03,08:47:23am,4.71,"905",D16,45.42953783,-73.93595545,39.324,"0","0",,"1",5009396b12a9fca0,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"10",2024/06/03,08:47:28am,4.71,"905",D15,45.42950952,-73.93593583,39.324,"0","0",,"1",50093970202ceb2a,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"11",2024/06/03,08:47:34am,4.71,"905",D14,45.42948119,-73.93591635,39.324,"0","0",,"1","50093976381764d2",,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
"12",2024/06/03,08:47:39am,4.71,"905",D13,45.42945287,-73.93589691,39.324,"0","0",,"1",5009397b3ce90327,,,,,,,,,,,22in agronomy spatial join,D:/Drone Data/2024 dry bean mcgill/6-18 chickpeas and beans/bean qgis/22in agronomy 2 row spatial join2.gpkg|layername=22in agronomy spatial join,,,,,,,,,,,,,,
