fid,Date,DAS,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Visible,UniqueID,joined_row_index,joined_col_index,Trial,joined_PlotID,joined_PlotIDstring,pntcounts,Thresh_mean,NDVI_mean,NDVI_variance,SAVI_mean,HAreamean,613GNDVI_mean,613GNDVI_variance,613NDRE_mean,613NDRE_variance,613ExG_mean,613ExG_variance,613ExR_mean,613ExR_variance,Plot Yield,PeakStand,,,,,,,,,,,,
1517,2024-06-04,8,01:48:44pm,4.71,905,U-1,45.4329503,-73.93921111,39.021,0,0,1,5009318c201f855b,0,0,24110,101,101,25,0.001167651,0.277468979,0.002459289,0.554912437,0.693044554,0.079031091,0.004268388,-0.017167418,0.001209619,2137.975132,1517090.86,15061.10207,23748992.55,2276.258023,0.469751658,,,,,,,,,,,,
1533,2024-06-04,8,02:20:00pm,4.71,905,D-1,45.4329247,-73.93919406,39.021,0,0,1,500938e02a9ec38d,1,0,24110,102,102,37,0.00313912,0.273994326,0.002388371,0.547964201,0.899475007,0.074093804,0.004588367,-0.019803941,0.001296153,2304.804232,1711194.103,15679.65972,24504353.4,2754.159178,0.57049727,,,,,,,,,,,,
1534,2024-06-04,8,02:20:58pm,4.71,905,U-1,45.43290041,-73.93917769,39.021,0,0,1,5009391a2cd19750,2,0,24110,103,103,23,0.001438386,0.269765043,0.003932543,0.539505424,0.713552632,0.070448375,0.003740783,-0.020293419,0.001059672,2192.104884,1370721.57,15364.24079,21781355.23,2085.887356,0.575972956,,,,,,,,,,,,
1549,2024-06-04,8,02:29:12pm,4.71,905,D-1,45.4328751,-73.93916081,39.021,0,0,1,50093b08785a7bd0,3,0,24110,104,104,38,0.002301399,0.269175696,0.009641315,0.538326707,0.895209147,0.075662778,0.004680675,-0.019924761,0.001266383,2201.26516,1697353.509,15237.14875,25619116.52,2597.110077,0.588767997,,,,,,,,,,,,
1550,2024-06-04,8,02:30:00pm,4.71,905,U-1,45.43285046,-73.93914412,39.02,0,0,1,50093b3805b857f6,4,0,24110,105,105,24,0.001446884,0.262608066,0.00636736,0.525193066,0.720710526,0.072886261,0.004378583,-0.022465287,0.001345849,2283.775344,1786230.329,15674.42492,23714756.47,2347.368421,0.526742863,,,,,,,,,,,,
1565,2024-06-04,8,02:34:09pm,4.71,905,D-1,45.43282555,-73.93912752,39.02,0,0,1,50093c313a5b4233,5,0,24110,106,106,51,0.003274416,0.271578973,0.003040483,0.543133823,0.920304729,0.081655012,0.004720971,-0.021756627,0.001349387,2160.241291,1815564.763,15333.24096,25561344.12,2775,0.661100068,,,,,,,,,,,,
1566,2024-06-04,8,02:35:04pm,4.71,905,U-1,45.43280096,-73.93911093,39.02,0,0,1,50093c68674bddc2,6,0,24110,107,107,44,0.003181399,0.269863015,0.004482022,0.539701652,0.833328947,0.077081366,0.004485544,-0.024647895,0.00123816,2165.917944,1805887.032,15221.36953,23915763.02,2387.378049,0.625680023,,,,,,,,,,,,
1519,2024-06-04,8,02:15:42pm,4.71,905,U1,45.43297649,-73.93912978,39.021,0,0,1,500937de01a1bd1f,0,1,24110,108,108,20,0.0011592,0.264809235,0.006022097,0.529593759,0.638430568,0.070771581,0.004180288,-0.021408005,0.001618279,1856.757634,1520579.507,14837.60261,27082337.52,2454.348524,0.609423426,,,,,,,,,,,,
1532,2024-06-04,8,02:19:47pm,4.71,905,D1,45.4329516,-73.93911321,39.021,0,0,1,500938d31d4cc688,1,1,24110,109,109,16,0.002453739,0.260183241,0.002975607,0.520344384,0.449244089,0.071512613,0.004875435,-0.02109466,0.00195942,1940.362679,1775084.785,15949.69975,28147605.68,2407.124519,0.580235128,,,,,,,,,,,,
1535,2024-06-04,8,02:21:11pm,4.71,905,U1,45.43292639,-73.93909621,39.021,0,0,1,500939272161cf8e,2,1,24110,110,110,5,0.000211527,0.258879092,0.010631145,0.517735358,0.120184211,0.064247564,0.003843566,-0.024110931,0.001627755,1982.18562,1707274.978,15594.69845,25744213.69,2359.646983,0.512518226,,,,,,,,,,,,
