Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
24110,8,ExG,0.2688637431,0.2516973892,0.2734352862,0.2434124038
24110,8,ExR,-0.044176372,0.8532828629,-0.194701126,0.4107467365
24110,8,GNDVI,0.0103546753,0.9654411041,0.2942749293,0.2078816754
24110,8,HA,0.2099863042,0.3742255311,0.4174204862,0.0670712419
24110,8,NDRE,-0.252538022,0.2827343785,-0.299572398,0.1994297768
24110,8,NDVI,0.1272394012,0.5929449346,0.1697032349,0.4744344076
24110,8,PlantCount,0.3655256268,0.1130032888,0.5962099901,0.0055293424
24110,8,SAVI,0.1272379467,0.592949196,0.1696999561,0.4744430719
24110,8,Thresh,0.2681530211,0.2530013631,0.5872164152,0.0064851199
24110,13,ExG,-0.18615702,0.4319728865,-0.37159064,0.1067058049
24110,13,ExR,-0.150206664,0.5273256728,-0.511632066,0.0211162227
24110,13,GNDVI,-0.018690602,0.9376600633,0.2223046443,0.346180673
24110,13,HA,0.3518161731,0.1282156302,0.5520644519,0.0116086718
24110,13,NDRE,-0.092900778,0.6968636735,-0.122245763,0.6076501157
24110,13,NDVI,-0.158841181,0.5035679321,-0.159061035,0.5029698324
24110,13,PlantCount,0.6156073606,0.0038580353,0.6398366648,0.0023798235
24110,13,SAVI,-0.218294102,0.3551736489,-0.029854444,0.9005682645
24110,13,Thresh,0.0471081546,0.8436571829,0.6458408543,0.0020980931
24110,23,ExG,-0.383783556,0.0948208646,0.4277075141,0.0599506021
24110,23,ExR,-0.185445441,0.433766419,-0.521559169,0.0183494564
24110,23,GNDVI,0.1850354832,0.4348014982,0.636476137,0.00255083
24110,23,HA,0.4084422301,0.0737897359,0.0049099369,0.9836093745
24110,23,NDRE,0.3260419578,0.1606462618,0.6910021804,0.0007418697
24110,23,NDVI,0.0630276887,0.7917944351,0.6677316301,0.0012949375
24110,23,PlantCount,0.6006269899,0.0051042841,-0.030690154,0.8977986639
24110,23,SAVI,-0.229848618,0.3296280042,0.2913099874,0.2127141562
24110,23,Thresh,-0.169233891,0.4756754751,0.6274563744,0.0030611691
24110,27,ExG,-0.135351758,0.5693800725,0.6272920507,0.0030711998
24110,27,ExR,-0.433023909,0.0565028785,-0.780865241,0.0000483909
24110,27,GNDVI,0.2781436196,0.2350647078,0.5101298015,0.0215623472
24110,27,HA,0.4836481378,0.0307306012,0.4754198056,0.0341274714
24110,27,NDRE,0.4027934509,0.0782667223,0.5021995433,0.0240429962
24110,27,NDVI,0.2706907766,0.2483649876,0.740017055,0.0001914279
24110,27,PlantCount,0.3617548804,0.1170509145,-0.147832829,0.5339474202
24110,27,SAVI,0.2706857601,0.2483740986,0.7400129399,0.0001914519
24110,27,Thresh,0.1476833366,0.5343657061,0.802509716,0.000020668
24110,35,ExG,0.1722536979,0.4677188326,0.8828274889,2.5654434E-7
24110,35,ExR,-0.368446236,0.1099381957,-0.896923017,8.5365224E-8
24110,35,GNDVI,0.5091021627,0.0218718125,0.7898250596,0.0000344319
24110,35,HA,-0.206770735,0.3817516107,-0.751096687,0.0001352466
24110,35,NDRE,0.5910585123,0.0060614554,0.5264004256,0.0171095679
24110,35,NDVI,0.492427865,0.027404454,0.8539338382,1.6706761E-6
24110,35,PlantCount,0.0949048494,0.6906308056,-0.552016775,0.0116173612
24110,35,SAVI,,,,
24110,35,Thresh,0.4652302512,0.0387321573,0.9242582988,5.9051476E-9
24110,40,ExG,0.0029453908,0.9901671272,0.8541361791,1.6512419E-6
24110,40,ExR,-0.260453235,0.2674035391,-0.884620069,2.2482684E-7
24110,40,GNDVI,0.4366455956,0.0542419458,0.9190560234,1.0530967E-8
24110,40,HA,0.0108177121,0.9638966549,-0.154722529,0.5148355132
24110,40,NDRE,0.4635968465,0.0395130488,0.6135207011,0.0040147372
24110,40,NDVI,0.4033627726,0.0778065713,0.9881929512,4.057997E-16
24110,40,PlantCount,0.0637816745,0.7893571017,-0.28553519,0.2223376109
24110,40,SAVI,0.4031457144,0.0779817694,0.9882607645,3.853934E-16
24110,40,Thresh,0.3786979766,0.0996539969,1,0
24111,8,ExG,-0.064097373,0.7883371316,-0.058166583,0.8075522034
