DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
8,PlantCount,0.6596651843,3.2127384E-8,0.3905799143,0.0029193502
8,Thresh,0.2761112137,0.0394123206,0.4167488877,0.0013980983
8,HA,0.587850651,1.9017445E-6,0.4058306423,0.0019144904
8,NDVI,0.4273407049,0.0010202193,0.2854864149,0.0329406637
8,SAVI,0.4273338775,0.0010204299,0.2854893985,0.0329387544
8,GNDVI,0.0695695105,0.6104112508,0.2642189458,0.0490954878
8,NDRE,-0.129015867,0.3433029445,-0.048572879,0.7222166227
8,ExG,0.4851068636,0.000151123,0.3025839865,0.0234096211
8,ExR,-0.300592067,0.0243837814,-0.210283492,0.1198090534
13,PlantCount,0.688340964,4.5548036E-9,0.4854993583,0.0001489973
13,Thresh,-0.403299631,0.0020561557,0.3288971256,0.0133232111
13,HA,0.4139233929,0.0015181086,0.8267459056,4.193752E-15
13,NDVI,-0.397787309,0.0023974773,0.2696062379,0.0444924658
13,SAVI,-0.473379147,0.0002289648,0.1777041516,0.1901012658
13,GNDVI,-0.078588505,0.5647977987,0.227970328,0.0910608798
13,NDRE,-0.004325252,0.974761272,0.0737495461,0.5890728873
13,ExG,-0.553043513,9.8616114E-6,0.0925118504,0.4976845316
13,ExR,-0.158913971,0.2420680883,-0.383286373,0.0035476568
23,PlantCount,0.7960454722,2.251055E-13,0.250425391,0.0626696527
23,Thresh,-0.533367084,0.0000231069,0.3756774197,0.004327765
23,HA,0.5887488859,1.818011E-6,0.55676688,8.3427085E-6
23,NDVI,-0.359675477,0.006476513,0.4957454898,0.0001023088
23,SAVI,-0.447189757,0.0005496071,0.3156177562,0.0178116043
23,GNDVI,-0.381317879,0.0037365206,0.464445884,0.0003111148
23,NDRE,0.0068034072,0.9603102185,0.5439235146,0.0000147313
23,ExG,-0.594594886,1.351673E-6,0.2803562808,0.0363626856
23,ExR,0.5653571864,5.6277441E-6,-0.284393659,0.0336461886
27,PlantCount,0.6561002488,4.0367064E-8,0.3791425096,0.0039555128
27,Thresh,-0.534181276,0.0000223304,0.3656481461,0.0055847334
27,HA,0.5036001336,0.000076068,0.7592582389,1.184684E-11
27,NDVI,-0.437422019,0.0007486535,0.435105518,0.0008045121
27,SAVI,-0.437422621,0.0007486394,0.43510457,0.0008045357
27,GNDVI,-0.414859279,0.001477374,0.4262514494,0.0010543164
27,NDRE,-0.307795374,0.0210150184,0.3855720977,0.0033389858
27,ExG,-0.571342373,4.249619E-6,0.3012882574,0.0240394948
27,ExR,0.4597085926,0.0003648106,-0.398065537,0.0023791115
35,PlantCount,0.1855704195,0.1709093562,0.0036326069,0.9788019864
35,Thresh,-0.111273093,0.4142424234,0.7945305718,2.691835E-13
35,HA,0.188449305,0.164250692,0.1797805697,0.1848917169
35,NDVI,-0.129258082,0.342390015,0.7521231847,2.356615E-11
35,SAVI,,,,
35,GNDVI,-0.094405255,0.4888880745,0.6809769656,7.6807086E-9
35,NDRE,-0.085422764,0.5313323518,0.2048661532,0.1298697668
35,ExG,-0.41885631,0.0013141981,0.5963595923,1.2345635E-6
35,ExR,0.0619648427,0.6500589443,-0.769605217,4.185036E-12
40,PlantCount,0.2583933671,0.0545026161,0.3363488575,0.0112591035
40,Thresh,0.342921435,0.009673669,1,0
40,HA,0.5221537124,0.000036675,0.6459368865,7.6142722E-8
40,NDVI,0.4396189031,0.0006989377,0.9792694169,3.950417E-39
40,SAVI,0.4389471509,0.0007138134,0.9793120859,3.738674E-39
40,GNDVI,0.6511685412,5.5086914E-8,0.849860606,1.201045E-16
40,NDRE,-0.083465555,0.5408155365,0.312732692,0.0189410059
40,ExG,-0.231569653,0.0859331753,0.7737406526,2.719503E-12
40,ExR,0.0347763253,0.7991482962,-0.752706709,2.229666E-11
