EXP,PlotID,613NDVI,618NDVI,628NDVI,702NDVI,715NDVI,613SAVI,618SAVI,628SAVI,702SAVI,715SAVI,613PLT,618PLT,628PLT,702PLT,613THR,618THR,628THR,702THR,715THR,613HA,618HA,628HA,702HA,YIELD,Y
24110,101,0.277468979,0.235324619,0.27767677,0.260043267,0.527318356,0.554912437,0.469703918,0.555913355,0.520064,1.053075259,25,69,77,117,0.00117,0.008936632,0.070022396,0.05742787,0.469751658,0.693044554,0.930738665,0.938472875,0.991131579,2276.258023,
24110,102,0.273994326,0.236583605,0.28311011,0.277647795,0.598686046,0.547964201,0.472459246,0.573418507,0.555271404,1.19557045,37,85,109,94,0.00314,0.018755161,0.096336296,0.098046076,0.57049727,0.899475007,0.980381579,0.987618747,0.990289474,2754.159178,
24110,103,0.269765043,0.236035103,0.284777364,0.268785166,0.597559704,0.539505424,0.471037707,0.605749326,0.537547044,1.193370522,23,74,69,84,0.00144,0.018587725,0.117152353,0.091355539,0.575972956,0.713552632,0.974407558,0.980092367,0.991697368,2085.887356,
24110,104,0.269175696,0.238642166,0.296025512,0.276337617,0.612698296,0.538326707,0.476977167,0.743324089,0.552650478,1.223523048,38,74,71,85,0.00230,0.019042354,0.128756121,0.10303127,0.588767997,0.895209147,0.986724034,0.98147344,0.989591968,2597.110077,
24110,105,0.262608066,0.226693065,0.260620465,0.248383748,0.569160855,0.525193066,0.452761388,0.607865832,0.49674579,1.13664478,24,64,76,88,0.00145,0.009300731,0.06987966,0.06867975,0.526742863,0.720710526,0.946184919,0.981447368,0.988171053,2347.368421,
24110,106,0.271578973,0.222189558,0.295271357,0.289748894,0.659087074,0.543133823,0.443486206,0.51242423,0.579471312,1.316190776,51,99,80,99,0.00327,0.0198333,0.124231146,0.134056881,0.661100068,0.920304729,0.985671053,0.990539474,0.995473744,2775,
24110,107,0.269863015,0.215373143,0.309808629,0.289152671,0.632737735,0.539701652,0.430180653,0.604385431,0.578279342,1.26358935,44,75,52,78,0.00318,0.020532703,0.15346693,0.136265139,0.625680023,0.833328947,0.975276641,0.901381579,0.986605439,2387.378049,
24110,108,0.264809235,0.225491394,0.286813185,0.26959666,0.612672192,0.529593759,0.45023236,0.643434652,0.539169502,1.223602833,20,78,81,101,0.00116,0.009552602,0.100215475,0.081159225,0.609423426,0.638430568,0.977855263,0.983421053,0.997671114,2454.348524,
24110,109,0.260183241,0.224773423,0.290414249,0.274506636,0.600215088,0.520344384,0.448892356,0.513876738,0.548989557,1.198738729,16,67,59,79,0.00245,0.017040604,0.128346436,0.095186647,0.580235128,0.449244089,0.921684211,0.945828947,0.989460665,2407.124519,
24110,110,0.258879092,0.216760136,0.248414444,0.246681827,0.557168881,0.517735358,0.432707546,0.710681872,0.493342273,1.112786443,5,64,62,73,0.00021,0.007726007,0.060842709,0.058814502,0.512518226,0.120184211,0.964921053,0.979881579,0.987842265,2359.646983,
