fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,pntcounts,Thresh_sum,Thresh_mean,NDVI_mean,_mean,HAreamean
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,"0","0","101","101",25,138,0.00116765099081109,0.277468979192507,0.554912437197751,0.693044553804048
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,"0","1","108","108",20,137,0.00115919956001185,0.264809235166309,0.529593759095679,0.638430567616642
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,"0","2","201","201",31,258,0.00218298120774704,0.263465735313106,0.526907921532195,0.806292022473388
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,"0","3","208","208",14,202,0.00170914136798998,0.262757716310448,0.525492340919886,0.63687680101054
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,"0","4","301","301",14,186,0.00157380378220586,0.263791630834868,0.527559382936089,0.522565789473684
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900","0","5","308","308",2,49,0.000414604222194018,0.263578768375346,0.527134555249739,0.11739628153002
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,"0","6","401","401",5,60,0.000507665752868312,0.254368672080576,0.508713807637976,0.199386825969104
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,"0","6","408","408",6,61,0.000516131215785154,0.26537704260046,0.530731462005055,0.324324679938422
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,"1","7","409","409",3,34,0.000287679694044184,0.264103557363913,0.528185035760934,0.194484283101538
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,"1","6","402","402",5,81,0.00068534296761966,0.253162922405488,0.506303598365118,0.273279911577784
"1528",2024/06/04,02:18:57pm,4.71,"905",D9,45.43305949,-73.93878983,39.021,"0","0",,"1",500938a125f6843f,"1","5","309","309",22,439,0.00371438966401273,0.264710046153692,0.529397773622745,0.734052631578947
