Site,Trial,Block,Entry,Yield,HA_Mean,sum_distances_div2,variance_distance
SVREC_2025,2501,1,28,2835.041595,0.986257678,4.1939729955,0.0013916105625274235
SVREC_2025,2501,1,5,2656.195386,0.977964897,4.151586584,0.0030370923083048317
SVREC_2025,2501,1,12,2252.702401,0.983286248,4.4032680195000005,0.001953346235130055
SVREC_2025,2501,1,10,1906.389332,0.983176889,4.1866418875,0.0015711643304048364
SVREC_2025,2501,1,30,2653.691142,0.978126937,4.227188944,0.0023388585419299272
SVREC_2025,2501,1,25,2795.152434,0.974408516,4.328818646,0.0024438290337315187
SVREC_2025,2501,1,27,2890.319714,0.980406452,4.420356774,0.0017353282173155392
SVREC_2025,2501,1,11,2142.01474,0.97317002,4.161479393,0.0028786662950748007
SVREC_2025,2501,1,20,2956.741118,0.970070904,3.9535632365,0.0014915721504866802
SVREC_2025,2501,1,1,3233.321298,0.952171773,4.0371464215,0.0018969122428678827
SVREC_2025,2501,1,17,1981.6546,0.974118762,3.9548743145,0.0024560684263831133
SVREC_2025,2501,1,22,2734.642645,0.97306115,4.083616069,0.0016431171062175755
SVREC_2025,2501,1,8,2541.845472,0.970835916,4.552197289,0.0019588423074978893
SVREC_2025,2501,1,13,2271.048973,0.974774906,4.3964130895,0.00263230271648114
SVREC_2025,2501,1,29,2621.554302,0.946175999,4.2972342035,0.004471952276033112
SVREC_2025,2501,1,26,2338.653207,0.958189804,4.0434370475,0.001586195740506851
SVREC_2025,2501,1,16,2506.626248,0.975175431,4.0724305005,0.0016611031581940604
SVREC_2025,2501,1,2,3362.631434,0.959989063,4.1478149375,0.0031767121367036718
SVREC_2025,2501,1,19,3146.870439,0.967794849,3.995426306,0.0019405884711774088
SVREC_2025,2501,1,3,2892.263684,0.965297902,4.0154484335,0.001386213285694734
SVREC_2025,2501,1,14,3060.911201,0.961945032,4.210367736,0.0031187522879547332
SVREC_2025,2501,1,7,3169.189168,0.975957858,4.1726724425,0.0019768494318718206
SVREC_2025,2501,1,9,2863.412474,0.943972588,3.856850935,0.002412034519474081
SVREC_2025,2501,1,18,2628.42947,0.967263315,3.9972706125,0.003556769494514421
SVREC_2025,2501,1,4,3253.325787,0.965714598,4.0011632025,0.0019267901604617668
SVREC_2025,2501,1,15,2747.300989,0.964876786,4.1797569955,0.0025343132884914194
SVREC_2025,2501,1,6,3401.843408,0.972241967,3.9177613385,0.001990365284873385
SVREC_2025,2501,1,23,3740.156976,0.96449208,3.6414339145,0.0021037930770589344
SVREC_2025,2501,1,24,3304.650663,0.979131354,4.1954285890000005,0.001427902577211687
SVREC_2025,2501,1,21,1639.124191,0.969688132,3.923622849,0.0012925549799495234
SVREC_2025,2501,2,20,3572.108268,0.942511346,3.9027712785,0.001714507127345533
SVREC_2025,2501,2,14,2787.440153,0.980697022,4.57150089,0.002744895752784483
SVREC_2025,2501,2,21,1705.510611,0.980770983,4.1530077655,0.0018811175840069865
SVREC_2025,2501,2,30,2930.250384,0.977599563,4.337726967,0.0017334931101527216
SVREC_2025,2501,2,2,2930.696706,0.963602894,4.303155286,0.00200006441614196
SVREC_2025,2501,2,11,2314.348497,0.969416396,4.088199025,0.0020437940305410704
SVREC_2025,2501,2,15,2699.974073,0.970400612,4.186909135,0.0030099435927515477
SVREC_2025,2501,2,9,2857.305214,0.948654856,4.114810857,0.0016385355497064388
SVREC_2025,2501,2,19,3225.194882,0.981243848,4.1385503275,0.0013079570340982008
SVREC_2025,2501,2,17,2149.495583,0.977725525,4.2777238065,0.0022073944335156137
SVREC_2025,2501,2,6,3905.551373,0.973717785,3.8618206155,0.0024251975785261042
SVREC_2025,2501,2,26,2821.558623,0.980351056,4.314420296,0.0015195892379139134
SVREC_2025,2501,2,8,2512.662402,0.946834105,4.0322298915,0.002403159509997823
SVREC_2025,2501,2,5,2036.761331,0.984143185,4.2484269825,0.0013990587893465932
SVREC_2025,2501,2,25,2436.39879,0.961122047,4.293232442,0.001999235559104631
SVREC_2025,2501,2,16,2241.155464,0.969506416,3.6577141005,0.0019521613820635613
SVREC_2025,2501,2,7,2431.991166,0.965660542,4.2073276305,0.0013825825190727828
SVREC_2025,2501,2,1,3479.095448,0.947454754,3.3308728295,0.0020411420089361918
SVREC_2025,2501,2,12,2230.347849,0.987750861,4.4378329555,0.0016930373118174437
SVREC_2025,2501,2,22,2971.280728,0.942617572,3.7722548535,0.0019307976821114601
SVREC_2025,2501,2,10,2109.880689,0.948342174,3.8509332179999998,0.0011516011002567566
SVREC_2025,2501,2,27,2095.245679,0.984580334,4.0896068705,0.0017320554095950566
SVREC_2025,2501,2,24,2686.431967,0.933449992,3.7911318130000002,0.0031695991779839743
SVREC_2025,2501,2,29,2575.649558,0.977162125,4.5470108615000004,0.0019096302993011328
