SiteYear,Trial,Trial_Full,Combocode,Yield,Yield_HAadj,HA,PeakStand
2024LODS,24110,2024LODS_24110,,2276.258023,2445.646784213053,0.930738665,0.469751658
2024LODS,24110,2024LODS_24110,,2454.348524,2509.930269711091,0.977855263,0.609423426
2024LODS,24110,2024LODS_24110,,2469.878049,2499.8757682583573,0.988000316,0.574475598
2024LODS,24111,2024LODS_24111,,1366.832478,1397.4476135864527,0.978092105,0.614798154
2024LODS,24111,2024LODS_24111,,784.9229782,1037.535590764565,0.756526316,0.382404289
2024LODS,24112,2024LODS_24112,,607.3652118,831.5684278713413,0.730385127,0.333788865
2024LODS,24112,2024LODS_24112,,238.7676508,274.34545656887497,0.870317496,0.528613276
2024LODS,24112,2024LODS_24112,,410.707638,430.42831018744556,0.954183608,0.591465767
2024LODS,24112,2024LODS_24112,,482.1662388,792.9642255091939,0.608055475,0.275711231
2024LODS,24112,2024LODS_24112,,1181.702503,1204.008042687406,0.981473928,0.480181252
2024LODS,24112,2024LODS_24112,,1253.947368,1274.4046466377813,0.98394758,0.623829576
2024LODS,24111,2024LODS_24111,,924.8106547,945.0166018283035,0.978618421,0.599865303
2024LODS,24111,2024LODS_24111,,763.1418485,801.4423571915021,0.952210526,0.488269603
2024LODS,24110,2024LODS_24110,,2682.759949,2734.4995601052274,0.981078947,0.523637338
2024LODS,24110,2024LODS_24110,,2407.124519,2611.6586247998557,0.921684211,0.580235128
2024LODS,24110,2024LODS_24110,,2754.159178,2809.2726719827524,0.980381579,0.57049727
2024LODS,24110,2024LODS_24110,,2085.887356,2140.6723899816056,0.974407558,0.575972956
2024LODS,24110,2024LODS_24110,,2359.646983,2445.4300957199657,0.964921053,0.512518226
2024LODS,24110,2024LODS_24110,,2515.301669,2561.544285334853,0.981947368,0.569375425
2024LODS,24111,2024LODS_24111,,1123.916881,1161.4821535573763,0.967657469,0.618389392
2024LODS,24111,2024LODS_24111,,724.5539153,738.0228319837025,0.98175,0.538460533
2024LODS,24111,2024LODS_24111,,765.4107831,820.3065620126996,0.933078947,0.544655643
2024LODS,24112,2024LODS_24112,,738.571887,748.689040294366,0.986486842,0.518795075
2024LODS,24112,2024LODS_24112,,1025.064185,1043.601600923482,0.982237076,0.554703336
2024LODS,24112,2024LODS_24112,,719.2715019,725.9098436147492,0.990855143,0.511070135
2024LODS,24112,2024LODS_24112,,481.8485237,768.1276932694266,0.627302632,0.273796057
2024LODS,24111,2024LODS_24111,,916.0734917,1052.3055175094794,0.870539474,0.399581522
2024LODS,24111,2024LODS_24111,,941.2804878,1193.4422792272965,0.788710526,0.418745464
2024LODS,24111,2024LODS_24111,,962.1213094,990.4140118772664,0.971433459,0.545090757
2024LODS,24110,2024LODS_24110,,2035.945122,2141.4673542388446,0.950724333,0.468336635
2024LODS,24110,2024LODS_24110,,2578.140244,2623.252693064513,0.982802858,0.571657425
2024LODS,24110,2024LODS_24110,,2597.110077,2632.0531247949716,0.986724034,0.588767997
2024LODS,24110,2024LODS_24110,,2347.368421,2480.877018713083,0.946184919,0.526742863
2024LODS,24110,2024LODS_24110,,2573.173941,2711.571103854324,0.948960526,0.515153497
2024LODS,24110,2024LODS_24110,,2320.205392,2397.7211933816106,0.967671053,0.517834374
2024LODS,24111,2024LODS_24111,,908.4242619,998.3852076999719,0.909893551,0.50204989
2024LODS,24111,2024LODS_24111,,1059.897304,1091.2422129827332,0.971275938,0.516506797
2024LODS,24111,2024LODS_24111,,908.7901155,929.7085580562659,0.9775,0.624738453
2024LODS,24112,2024LODS_24112,,356.5821566,370.97704225091053,0.961197368,0.532046085
2024LODS,24112,2024LODS_24112,,625.0,667.2191711125776,0.936723684,0.534099231
2024LODS,24112,2024LODS_24112,,1185.394737,1207.2685366062867,0.981881579,0.627487135
2024LODS,24112,2024LODS_24112,,1098.764442,1122.0318389635568,0.979263158,0.48466025
2024LODS,24111,2024LODS_24111,,969.2426187,994.4446015025089,0.974657228,0.63875085
2024LODS,24111,2024LODS_24111,,1149.425546,1169.1310392225082,0.98314518,0.57260179
2024LODS,24111,2024LODS_24111,,625.0,701.0748442040634,0.89148827,0.508088351
2024LODS,24110,2024LODS_24110,,2018.273427,2061.4560749803254,0.979052356,0.574080492
2024LODS,24110,2024LODS_24110,,2418.060013,2472.621067280292,0.97793392,0.56962762
2024LODS,24110,2024LODS_24110,,2775.0,2815.340870114809,0.985671053,0.661100068
