BARCODE_128,TrialType,PlotNumber,ComboCode,ENTRY,BLOCK,Locn,Check,Experiment Name,Year,Plot,Identity1,Description1,Name1,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,100SW,Planter
1AAFF4CFF3,REG,101,25104101,1,1,LODS,0,25104,2025,21,,black,PVBLPI19 1,1,1,29,16.4,398,534,2025-08-04,,29.57,1
10EF106E84,REG,102,25104102,2,1,LODS,0,25104,2025,22,,black,PVBLPI19 10,1,2,33,17.2,1164,1547,2025-08-02,2025-09-22,33.32,16
129200248F,REG,103,25104103,3,1,LODS,1,25104,2025,23,BC088,Phaseolus vulgaris,Zorro,1,3,30,18.2,893,1172,2025-08-03,2025-09-22,29.93,17
13DCCD360B,REG,104,25104104,4,1,LODS,2,25104,2025,24,black,TV,black bear,1,4,34,14.6,821,1125,2025-08-01,2025-09-22,35.41,32
1346D39201,REG,105,25104105,5,1,LODS,3,25104,2025,25,navy,TV,Blizzard,1,5,30,15.8,1763,2382,2025-07-31,2025-09-19,30.8,33
18E3DC5A8E,REG,106,25104106,4,2,LODS,2,25104,2025,26,black,TV,black bear,1,6,36,14.9,898,1226,2025-08-03,2025-09-22,37.36,48
1F3234391E,REG,107,25104107,1,2,LODS,0,25104,2025,27,,black,PVBLPI19 1,1,7,26,15.1,1581,2154,2025-08-03,2025-09-22,26.92,49
135FB2FF3E,REG,108,25104108,5,2,LODS,3,25104,2025,28,navy,TV,Blizzard,1,8,32,12.5,1561,2192,2025-07-31,2025-09-22,34.15,64
1B5771912F,REG,109,25104109,2,2,LODS,0,25104,2025,29,,black,PVBLPI19 10,1,9,31,13.2,1205,1678,2025-08-04,2025-09-22,32.81,65
12B2AFE34C,REG,201,25104201,5,4,LODS,3,25104,2025,38,navy,TV,Blizzard,2,1,28,12.7,1065,1492,2025-08-01,2025-09-22,29.81,2
1785599F7B,REG,202,25104202,1,4,LODS,0,25104,2025,37,,black,PVBLPI19 1,2,2,30,17,2333,3107,2025-08-03,2025-09-22,30.37,15
1649969ECA,REG,203,25104203,3,4,LODS,1,25104,2025,36,BC088,Phaseolus vulgaris,Zorro,2,3,31,18.1,1407,1849,2025-08-04,2025-09-19,30.96,18
1FC56172AF,REG,204,25104204,4,3,LODS,2,25104,2025,35,black,TV,black bear,2,4,29,17.2,1530,2033,2025-08-03,2025-09-22,29.28,31
16D48563C6,REG,205,25104205,2,3,LODS,0,25104,2025,34,,black,PVBLPI19 10,2,5,26,14.2,1883,2592,2025-08-03,2025-09-19,27.2,34
18201F0EE4,REG,206,25104206,3,3,LODS,1,25104,2025,33,BC088,Phaseolus vulgaris,Zorro,2,6,31,13.6,1345,1865,2025-07-31,2025-09-22,32.66,47
157A224D4B,REG,207,25104207,1,3,LODS,0,25104,2025,32,,black,PVBLPI19 1,2,7,29,13.6,1964,2723,2025-08-04,2025-09-19,30.56,50
1B611628A4,REG,208,25104208,5,3,LODS,3,25104,2025,31,navy,TV,Blizzard,2,8,33,16.9,1756,2342,2025-07-31,2025-09-19,33.44,63
1E2A42C788,REG,209,25104209,3,2,LODS,1,25104,2025,30,BC088,Phaseolus vulgaris,Zorro,2,9,27,15.3,1662,2259,2025-08-04,2025-09-22,27.89,66
177CD0AC48,REG,301,25104301,2,4,LODS,0,25104,2025,39,,black,PVBLPI19 10,3,1,29,16.5,2060,2760,2025-08-03,2025-09-19,29.53,3
107E82C871,REG,302,25104302,4,4,LODS,2,25104,2025,40,black,TV,black bear,3,2,32,17.2,1594,2118,2025-08-01,2025-09-22,32.31,14
10EDB7D180,REG,401,25105401,1,1,LODS,0,25105,2025,21,,white kidney,PVKIPI19 4,4,1,61,14.4,453,622,2025-07-28,2025-09-19,63.68,4
1F33742763,REG,402,25105402,2,1,LODS,0,25105,2025,22,,red kidney,PVKIPI19 10,4,2,,13,,,2025-08-01,2025-10-07,-9.55,13
10CADB6979,REG,403,25105403,3,1,LODS,1,25105,2025,23,,dark red kidney,Redhawk,4,3,68,16.4,269,361,2025-07-30,2025-09-22,69.33,20
1C2BE7E1B5,REG,404,25105404,4,1,LODS,2,25105,2025,24,Snowdon,Control-01,Snowdon,4,4,,12,,,2025-07-25,2025-09-22,-9.66,29
16B67496BE,REG,405,25105405,5,1,LODS,3,25105,2025,25,,red kidney,Coho,4,5,,15.1,,,2025-07-30,2025-09-29,-9.32,36
17542F0075,REG,406,25105406,3,2,LODS,1,25105,2025,26,,dark red kidney,Redhawk,4,6,60,15.6,446,604,2025-07-28,2025-09-16,61.76,45
10F210ED64,REG,407,25105407,2,2,LODS,0,25105,2025,27,,red kidney,PVKIPI19 10,4,7,73,17,1074,1430,2025-08-01,2025-09-22,73.89,52
161C4AA1F0,REG,408,25105408,4,2,LODS,2,25105,2025,28,Snowdon,Control-01,Snowdon,4,8,74,14.9,838,1144,2025-07-25,2025-09-16,76.8,61
1F9DCB83D0,REG,409,25105409,1,2,LODS,0,25105,2025,29,,white kidney,PVKIPI19 4,4,9,67,14.9,615,840,2025-07-28,2025-09-16,69.53,68
1E27EDEAE7,REG,501,25105501,4,4,LODS,2,25105,2025,38,Snowdon,Control-01,Snowdon,5,1,,11.5,,,2025-07-25,2025-09-16,-9.71,5
1FC62DE4CA,REG,502,25105502,2,4,LODS,0,25105,2025,37,,red kidney,PVKIPI19 10,5,2,73,15.5,818,1109,2025-07-30,2025-09-29,75.23,12
1E63DE7F04,REG,503,25105503,5,4,LODS,3,25105,2025,36,,red kidney,Coho,5,3,,12.4,,,2025-07-30,2025-09-26,-9.61,21
1A953A3EEC,REG,504,25105504,5,3,LODS,3,25105,2025,35,,red kidney,Coho,5,4,71,17.1,964,1282,2025-07-31,2025-09-26,71.78,28
1AF1CDF148,REG,505,25105505,3,3,LODS,1,25105,2025,34,,dark red kidney,Redhawk,5,5,64,16.3,932,1252,2025-07-30,2025-09-17,65.33,37
1E582CF171,REG,506,25105506,1,3,LODS,0,25105,2025,33,,white kidney,PVKIPI19 4,5,6,69,15.3,1142,1552,2025-07-28,2025-09-16,71.27,44
1871BE5911,REG,507,25105507,2,3,LODS,0,25105,2025,32,,red kidney,PVKIPI19 10,5,7,73,16.9,1196,1595,2025-07-31,2025-09-26,73.98,53
1E64EE7C1A,REG,508,25105508,4,3,LODS,2,25105,2025,31,Snowdon,Control-01,Snowdon,5,8,,12.5,,,2025-07-25,2025-09-16,-9.6,60
1D9E7C3226,REG,509,25105509,5,2,LODS,3,25105,2025,30,,red kidney,Coho,5,9,,14.2,,,2025-07-30,2025-09-29,-9.42,69
1641C41348,REG,601,25105601,1,4,LODS,0,25105,2025,39,,white kidney,PVKIPI19 4,6,1,64,14.7,904,1237,2025-07-25,2025-09-16,66.58,6
18A44C8612,REG,602,25105602,3,4,LODS,1,25105,2025,40,,dark red kidney,Redhawk,6,2,67,16.7,517,691,2025-07-30,2025-09-16,68.06,11
125F403BE0,REG,701,25106701,1,1,LODS,0,25106,2025,17,,cran,PVCRPI19 3,7,1,51,14.3,1121,1542,2025-07-25,2025-09-16,53.3,7
1579F9AAA7,REG,702,25106702,2,1,LODS,1,25106,2025,18,,cran,ETNA,7,2,54,16.1,920,1239,2025-07-28,2025-09-16,55.25,10
134873E9EF,REG,703,25106703,3,1,LODS,2,25106,2025,19,cran,TV,Krimson,7,3,57,14.5,711,975,2025-07-25,2025-09-16,59.43,23
1687A5C509,REG,704,25106704,4,1,LODS,3,25106,2025,20,,Cran,Navabi,7,4,56,15.6,605,819,2025-07-28,2025-09-17,57.64,26
1DB881A5AE,REG,705,25106705,3,2,LODS,2,25106,2025,21,cran,TV,Krimson,7,5,57,16.4,1224,1642,2025-07-28,2025-09-16,58.11,39
1596C3B0B1,REG,706,25106706,2,2,LODS,1,25106,2025,22,,cran,ETNA,7,6,61,15.7,934,1263,2025-07-25,2025-09-16,62.71,42
1EE7BA847D,REG,707,25106707,1,2,LODS,0,25106,2025,23,,cran,PVCRPI19 3,7,7,59,17.4,1616,2142,2025-07-25,2025-09-22,59.43,55
1209641F62,REG,708,25106708,4,2,LODS,3,25106,2025,24,,Cran,Navabi,7,8,57,15.8,1165,1574,2025-07-25,2025-09-17,58.53,58
142A415719,REG,709,25106709,4,3,LODS,3,25106,2025,25,,Cran,Navabi,7,9,65,15.6,961,1301,2025-07-28,2025-09-22,66.9,71
16C478D40B,REG,803,25106803,1,4,LODS,0,25106,2025,32,,cran,PVCRPI19 3,8,3,52,12.3,974,1371,2025-07-25,2025-09-17,55.61,24
1F09EB2091,REG,804,25106804,3,4,LODS,2,25106,2025,31,cran,TV,Krimson,8,4,53,11.3,454,646,2025-07-28,2025-09-17,57.33,25
1C94F360A0,REG,805,25106805,2,4,LODS,1,25106,2025,30,,cran,ETNA,8,5,57,12,1358,1918,2025-07-25,2025-09-17,61.17,40
14E88BDDF9,REG,806,25106806,4,4,LODS,3,25106,2025,29,,Cran,Navabi,8,6,59,14.1,1191,1642,2025-07-28,2025-09-18,61.81,41
1AB6B99611,REG,807,25106807,2,3,LODS,1,25106,2025,28,,cran,ETNA,8,7,61,15.4,1353,1837,2025-07-28,2025-09-16,62.93,56
1A2089FC55,REG,808,25106808,3,3,LODS,2,25106,2025,27,cran,TV,Krimson,8,8,57,14,698,963,2025-07-28,2025-09-16,59.78,57
1046AA4F47,REG,809,25106809,1,3,LODS,0,25106,2025,26,,cran,PVCRPI19 3,8,9,57,15.1,1129,1538,2025-07-28,2025-09-22,59.02,72
1A8C69A268,PYT,101,25107101,1,1,LODS,0,25107,2025,1,B,,A19042-002-001-0001,1,1,32,11.5,729,1035.245507,2025-08-10,2025-10-07,,1
104CB5640D,PYT,102,25107102,2,1,LODS,0,25107,2025,2,B,,A19042-002-001-0002,1,2,30,15.4,977,1326.286906,2025-08-07,2025-10-03,,12
1E7EFA9CE0,PYT,103,25107103,3,1,LODS,0,25107,2025,3,N,,A19042-002-002-0001,1,3,29,16.2,1778,2390.827985,2025-08-08,2025-10-03,,13
15DB02F182,PYT,104,25107104,4,1,LODS,0,25107,2025,4,N,,A19042-002-002-0002,1,4,29,16,1846,2488.189987,2025-08-13,2025-10-03,,24
1B03231318,PYT,105,25107105,5,1,LODS,1,25107,2025,5,,,PVBLPI19-1,1,5,28,13.6,1807,2505.21181,2025-08-07,2025-10-03,,25
1225D926CA,PYT,106,25107106,6,1,LODS,2,25107,2025,6,BC088,Phaseolus vulgaris,Zorro,1,6,30,15.4,1706,2315.911425,2025-08-13,2025-10-03,,36
158F849074,PYT,107,25107107,7,1,LODS,3,25107,2025,7,BC354,Phaseolus vulgaris,T9905,1,7,30,15.9,1488,2008.035944,2025-08-08,2025-10-01,,37
141C05140B,PYT,108,25107108,4,2,LODS,0,25107,2025,8,N,,A19042-002-002-0002,1,8,29,13.1,1827,2547.597882,2025-08-12,2025-10-01,,48
128FD8A129,PYT,109,25107109,2,2,LODS,0,25107,2025,9,B,,A19042-002-001-0002,1,9,27,14,1148,1584.210526,2025-08-13,2025-10-01,,49
11E909B137,PYT,110,25107110,1,2,LODS,0,25107,2025,10,B,,A19042-002-001-0001,1,10,36,10.2,1100,1585.044929,2025-08-10,2025-10-01,,60
115C9DFEA2,PYT,111,25107111,5,2,LODS,1,25107,2025,11,,,PVBLPI19-1,1,11,29,13.6,1470,2037.997433,2025-08-11,2025-10-01,,61
1E61F12FF6,PYT,112,25107112,3,2,LODS,0,25107,2025,12,N,,A19042-002-002-0001,1,12,28,13,2821,3938.173941,2025-08-12,2025-10-06,,72
13F8719D13,PYT,204,25107204,5,3,LODS,1,25107,2025,21,,,PVBLPI19-1,2,4,28,15.8,1973,2665.702824,2025-08-11,2025-10-03,,23
13A34F1A2F,PYT,205,25107205,2,3,LODS,0,25107,2025,20,B,,A19042-002-001-0002,2,5,28,15.1,2012,2740.994865,2025-08-11,2025-10-03,,26
1A8CE2F5C5,PYT,206,25107206,1,3,LODS,0,25107,2025,19,B,,A19042-002-001-0001,2,6,29,15.7,1348,1823.43389,2025-08-11,,,35
1D439360BB,PYT,207,25107207,3,3,LODS,0,25107,2025,18,N,,A19042-002-002-0001,2,7,30,17.3,1748,2319.634146,2025-08-11,2025-10-03,,38
163A818A0E,PYT,208,25107208,4,3,LODS,0,25107,2025,17,N,,A19042-002-002-0002,2,8,26,18.3,1362,1785.54878,2025-08-11,2025-10-03,,47
1A5E7FEB6B,PYT,209,25107209,6,3,LODS,2,25107,2025,16,BC088,Phaseolus vulgaris,Zorro,2,9,30,16.5,1095,1467.145379,2025-08-11,2025-10-01,,50
133C3A6663,PYT,210,25107210,7,3,LODS,3,25107,2025,15,BC354,Phaseolus vulgaris,T9905,2,10,25,14.5,1166,1599.695122,2025-08-07,2025-10-01,,59
1880AE36C1,PYT,211,25107211,7,2,LODS,3,25107,2025,14,BC354,Phaseolus vulgaris,T9905,2,11,30,15.6,1237,1675.269576,2025-08-11,2025-10-06,,62
1FA16969B8,PYT,212,25107212,6,2,LODS,2,25107,2025,13,BC088,Phaseolus vulgaris,Zorro,2,12,33,16.2,1720,2312.83697,2025-08-10,2025-10-03,,71
1AA824EAF3,PYT,301,25110301,1,1,LODS,0,25110,2025,1,C,,A19056-003-001-0001,3,1,56,12.3,1267,1782.989409,2025-08-01,2025-10-01,,3
1381ED908B,PYT,302,25110302,2,1,LODS,0,25110,2025,2,C,,A19050-003-001-0002,3,2,57,14.2,1075,1480.022465,2025-08-04,2025-09-27,,10
1E82D7917E,PYT,303,25110303,3,1,LODS,0,25110,2025,3,C,,A19047-003-001-0001,3,3,55,13.3,1158,1611.01733,2025-08-04,2025-09-27,,15
189CB216BF,PYT,304,25110304,4,1,LODS,0,25110,2025,4,C,,A19074-003-001-0002,3,4,61,14.5,776,1064.634146,2025-08-04,2025-09-27,,22
142BBFA1FA,PYT,305,25110305,5,1,LODS,0,25110,2025,5,C,,A19074-003-002-0001,3,5,57,15.5,1176,1594.544288,2025-08-04,2025-10-01,,27
177084EC32,PYT,306,25110306,6,1,LODS,0,25110,2025,6,C,,A19074-003-002-0002,3,6,57,13.8,633,875.555199,2025-08-03,2025-09-27,,34
1FF1F386CE,PYT,307,25110307,7,1,LODS,0,25110,2025,7,C,,A19074-003-002-0003,3,7,54,11.7,1051,1489.141528,2025-08-05,2025-10-01,,39
1BD5E6AEC2,PYT,308,25110308,8,1,LODS,0,25110,2025,8,C,,A19106-005-001-0001,3,8,56,9,918,1340.468549,2025-08-02,2025-09-27,,46
16D1427F07,PYT,309,25110309,9,1,LODS,0,25110,2025,9,C,,A19106-005-001-0002,3,9,31,10,1063,1535.141207,2025-08-11,2025-09-22,,51
19D681042B,PYT,310,25110310,10,1,LODS,0,25110,2025,10,C,,A19051-002-003-0001,3,10,68,11.2,748,1065.827985,2025-08-06,2025-10-03,,58
11F22CF42F,PYT,311,25110311,11,1,LODS,0,25110,2025,11,C,,A19051-002-003-0002,3,11,64,13.1,613,854.7769576,2025-08-05,2025-10-07,,63
111117DBA5,PYT,312,25110312,12,1,LODS,0,25110,2025,12,C,,A19083-006-002-0001,3,12,53,11.2,1053,1500.42362,2025-08-05,2025-10-03,,70
140B64EF77,PYT,401,25110401,3,2,LODS,0,25110,2025,24,C,,A19047-003-001-0001,4,1,58,9.9,704,1017.817715,2025-08-01,2025-09-24,,4
1D52B5C113,PYT,402,25110402,15,2,LODS,1,25110,2025,23,,cran,ETNA,4,2,55,14.9,655,894.4239409,2025-08-01,2025-09-19,,9
14070E39C2,PYT,403,25110403,7,2,LODS,0,25110,2025,22,C,,A19074-003-002-0003,4,3,53,13.5,978,1357.461489,2025-08-01,2025-09-24,,16
14B3E71372,PYT,404,25110404,14,2,LODS,0,25110,2025,21,C,,A19051-007-002-0001,4,4,61,9.3,911,1325.861682,2025-08-06,2025-10-07,,21
186D87A9FC,PYT,405,25110405,9,2,LODS,0,25110,2025,20,C,,A19106-005-001-0002,4,5,28,10,1457,2104.139923,2025-08-07,2025-10-03,,28
15C0D0FC8F,PYT,406,25110406,8,2,LODS,0,25110,2025,19,C,,A19106-005-001-0001,4,6,56,9.8,984,1424.210526,2025-08-02,2025-09-22,,33
16800A41FC,PYT,407,25110407,11,2,LODS,0,25110,2025,18,C,,A19051-002-003-0002,4,7,66,12.4,761,1069.698331,2025-08-06,2025-10-07,,40
1.12E+78,PYT,408,25110408,1,2,LODS,0,25110,2025,17,C,,A19056-003-001-0001,4,8,,,,,2025-07-30,2025-09-27,,45
197F92CFE7,PYT,409,25110409,10,2,LODS,0,25110,2025,16,C,,A19051-002-003-0001,4,9,64,12.7,287,402.0394737,2025-08-06,2025-09-24,,52
11EA6810D4,PYT,410,25110410,15,1,LODS,1,25110,2025,15,,cran,ETNA,4,10,55,12.9,599,837.1774711,2025-08-01,2025-09-22,,57
1A1BCD80D1,PYT,411,25110411,14,1,LODS,0,25110,2025,14,C,,A19051-007-002-0001,4,11,61,11.6,163,231.2130937,2025-08-05,2025-10-07,,64
1F9A1E4238,PYT,412,25110412,13,1,LODS,0,25110,2025,13,C,,A19083-006-002-0002,4,12,52,9.9,447,646.2564185,2025-08-05,2025-10-07,,69
136B166921,PYT,501,25110501,2,2,LODS,0,25110,2025,25,C,,A19050-003-001-0002,5,1,58,9.1,794,1158.129012,2025-08-04,2025-09-24,,5
18B22B83C5,PYT,502,25110502,5,2,LODS,0,25110,2025,26,C,,A19074-003-002-0001,5,2,64,15.3,566,769.258665,2025-08-04,2025-10-03,,8
152354C96D,PYT,503,25110503,6,2,LODS,0,25110,2025,27,C,,A19074-003-002-0002,5,3,52,8.4,485,712.8690629,2025-08-02,2025-10-03,,17
1C71B89944,PYT,504,25110504,13,2,LODS,0,25110,2025,28,C,,A19083-006-002-0002,5,4,56,15.9,879,1186.198652,2025-08-11,2025-10-03,,20
