BARCODE_128,TrialType,PlotNumber,ComboCode,ENTRY,BLOCK,Locn,Check,Experiment Name,Year,Plot,Identity1,Description1,Name1,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,100SW,Planter
140277D9B2,AYT,101,25111101,1,1,LODS,1,25111,2025,1,BC354,Phaseolus vulgaris,T9905,1,1,33,13.4,1952,2712.503209,2025-07-31,2025-09-16,,1
16EBAEECF2,AYT,102,25111102,2,1,LODS,2,25111,2025,2,,,PVBLPI19-1,1,2,29,16.9,1973,2630.877728,2025-07-28,2025-09-16,,18
12048CC27C,AYT,103,25111103,3,1,LODS,3,25111,2025,3,,,PVBL19-10,1,3,14.7,16.8,1878,2507.214377,2025-07-31,2025-09-24,,19
13145EAD6D,AYT,104,25111104,4,1,LODS,4,25111,2025,4,BC088,Phaseolus vulgaris,Zorro,1,4,28,17.2,1452,1929.165597,2025-08-04,2025-09-24,,36
116BC24EDB,AYT,105,25111105,5,1,LODS,0,25111,2025,5,n,1,PVNVLO24-049,1,5,28,17.1,1934,2572.666881,2025-08-03,2025-09-24,,37
1F1A359B46,AYT,106,25111106,6,1,LODS,0,25111,2025,6,n,1,PVNVLO24-039,1,6,28,18.4,1221,1598.741977,2025-08-01,2025-09-22,,54
1601DBA043,AYT,107,25111107,7,1,LODS,0,25111,2025,7,n,1,PVNVLO24-035,1,7,27,17.8,834,1100.044929,2025-07-28,2025-09-16,,55
1ACD1B4033,AYT,108,25111108,8,1,LODS,0,25111,2025,8,n,1,PVNVLO24-020,1,8,28,17.5,1323,1751.404044,2025-07-28,2025-09-16,,72
1C42C2F3E3,AYT,109,25111109,9,1,LODS,0,25111,2025,9,n,1,PVNVLO24-009,1,9,32,18.7,2174,2836.107189,2025-08-02,2025-09-24,,73
14AB4761CB,AYT,110,25111110,10,1,LODS,0,25111,2025,10,b,1,PVBLLO24-028,1,10,31,13.1,1356,1890.827985,2025-08-04,2025-09-24,,90
1098437351,AYT,201,25111201,14,2,LODS,0,25111,2025,20,b,1,PVBLLO24-001,2,1,31,13,2058,2873.01027,2025-08-04,2025-09-17,,2
1B92968141,AYT,202,25111202,5,2,LODS,0,25111,2025,19,n,1,PVNVLO24-049,2,2,27,16.7,1687,2254.927792,2025-08-06,2025-09-19,,17
1E0600C8B0,AYT,203,25111203,7,2,LODS,0,25111,2025,18,n,1,PVNVLO24-035,2,3,29,16.9,1217,1622.796855,2025-08-02,2025-09-16,,20
18CD375500,AYT,204,25111204,9,2,LODS,0,25111,2025,17,n,1,PVNVLO24-009,2,4,32,19.5,2055,2654.484917,2025-08-05,2025-09-19,,35
1B8E673CE8,AYT,205,25111205,3,2,LODS,3,25111,2025,16,,,PVBL19-10,2,5,30,16.5,2088,2797.62516,2025-08-05,2025-09-22,,38
