BARCODE_128,TrialType,PlotNumber,ComboCode,ENTRY,BLOCK,Locn,Check,Experiment Name,Year,Plot,Identity1,Description1,Name1,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,100SW,Planter
1A8C69A268,PYT,101,25107101,1,1,LODS,0,25107,2025,1,B,,A19042-002-001-0001,1,1,32,11.5,729,1035.245507,2025-08-10,2025-10-07,,1
104CB5640D,PYT,102,25107102,2,1,LODS,0,25107,2025,2,B,,A19042-002-001-0002,1,2,30,15.4,977,1326.286906,2025-08-07,2025-10-03,,12
1E7EFA9CE0,PYT,103,25107103,3,1,LODS,0,25107,2025,3,N,,A19042-002-002-0001,1,3,29,16.2,1778,2390.827985,2025-08-08,2025-10-03,,13
15DB02F182,PYT,104,25107104,4,1,LODS,0,25107,2025,4,N,,A19042-002-002-0002,1,4,29,16,1846,2488.189987,2025-08-13,2025-10-03,,24
1B03231318,PYT,105,25107105,5,1,LODS,1,25107,2025,5,,,PVBLPI19-1,1,5,28,13.6,1807,2505.21181,2025-08-07,2025-10-03,,25
1225D926CA,PYT,106,25107106,6,1,LODS,2,25107,2025,6,BC088,Phaseolus vulgaris,Zorro,1,6,30,15.4,1706,2315.911425,2025-08-13,2025-10-03,,36
158F849074,PYT,107,25107107,7,1,LODS,3,25107,2025,7,BC354,Phaseolus vulgaris,T9905,1,7,30,15.9,1488,2008.035944,2025-08-08,2025-10-01,,37
141C05140B,PYT,108,25107108,4,2,LODS,0,25107,2025,8,N,,A19042-002-002-0002,1,8,29,13.1,1827,2547.597882,2025-08-12,2025-10-01,,48
128FD8A129,PYT,109,25107109,2,2,LODS,0,25107,2025,9,B,,A19042-002-001-0002,1,9,27,14,1148,1584.210526,2025-08-13,2025-10-01,,49
11E909B137,PYT,110,25107110,1,2,LODS,0,25107,2025,10,B,,A19042-002-001-0001,1,10,36,10.2,1100,1585.044929,2025-08-10,2025-10-01,,60
115C9DFEA2,PYT,111,25107111,5,2,LODS,1,25107,2025,11,,,PVBLPI19-1,1,11,29,13.6,1470,2037.997433,2025-08-11,2025-10-01,,61
1E61F12FF6,PYT,112,25107112,3,2,LODS,0,25107,2025,12,N,,A19042-002-002-0001,1,12,28,13,2821,3938.173941,2025-08-12,2025-10-06,,72
13F8719D13,PYT,204,25107204,5,3,LODS,1,25107,2025,21,,,PVBLPI19-1,2,4,28,15.8,1973,2665.702824,2025-08-11,2025-10-03,,23
