Trial,DAS,MasonPlotID,joined_PlotIDstring,Combocode,Entry,Block,pntcounts,Thresh_mean,NDVI_mean,NDVI_variance,HAreamean,613GNDVI_mean,613GNDVI_variance,613NDRE_mean,613NDRE_variance,613ExG_mean,613ExG_variance,613ExR_mean,613ExR_variance,Plot Yield,PeakStand,HA Yield
24110,13,101,101,241100101,1,1,69,0.008936632,0.235324619,0.002459289,0.930738665,0.38610535,0.002173024,0.124136035,0.000806509,2673.803527,1075697.973,16849.91405,12563161.91,1747,0.469751658,1877.003789
24110,13,102,102,241100102,2,1,85,0.018755161,0.236583605,0.003684161,0.980381579,0.38132024,0.002679666,0.117971469,0.000745964,2796.392529,1532110.154,16813.70633,13485482.63,2083,0.609423426,2124.682924
24110,13,103,103,241100103,3,1,74,0.018587725,0.236035103,0.003398147,0.974407558,0.371575906,0.002147166,0.105827472,0.000702344,2594.684785,1397244.633,16821.6806,10851063.16,1595,0.574475598,1636.892065
24110,13,104,104,241100104,4,1,74,0.019042354,0.238642166,0.003688155,0.986724034,0.365268539,0.002487592,0.096925289,0.000852685,2376.601825,1333057.815,16279.1795,14188222.92,1943,0.614798154,1969.142267
24110,13,105,105,241100105,5,1,64,0.009300731,0.226693065,0.002384804,0.946184919,0.352843236,0.002259422,0.089233904,0.000653218,2204.376123,1504383.452,16258.49042,12842835.88,1784,0.382404289,1885.466535
24110,13,106,106,241100106,2,2,99,0.0198333,0.222189558,0.004208882,0.985671053,0.367441639,0.002342585,0.086985757,0.000836469,2176.62139,1229748.853,15598.70323,13435092.93,2109,0.333788865,2139.659062
24110,13,107,107,241100107,4,2,75,0.020532703,0.215373143,0.004121637,0.975276641,0.362638078,0.002548556,0.081893803,0.000765368,2213.936176,1140761.512,15627.71379,11895373.42,1767,0.528613276,1811.793624
24110,13,201,108,241100108,1,3,78,0.009552602,0.225491394,0.002388371,0.977855263,0.377514486,0.001881569,0.118661668,0.000834714,2718.814833,1198562.885,16987.68562,13785582.86,1854,0.591465767,1895.986114
24110,13,202,109,241100109,3,3,67,0.017040604,0.224773423,0.003510903,0.921684211,0.375955922,0.002537491,0.112003811,0.000930058,2573.182765,2109623.752,16866.20409,16068825.47,1852,0.275711231,2009.365007
24110,13,203,110,241100110,5,3,64,0.007726007,0.216760136,0.00229156,0.964921053,0.357046778,0.001839027,0.094820522,0.000816215,2586.822162,1331290.242,17033.32493,13636343.65,1811,0.480181252,1876.837483
24110,13,204,111,241100111,2,3,83,0.01286959,0.22481284,0.002894587,0.982802858,0.351137409,0.002198262,0.088686729,0.000893304,2488.936352,1419217.98,16484.50821,15124428.51,1957,0.623829576,1991.243701
24110,13,205,112,241100112,1,2,57,0.006585485,0.219781751,0.00208471,0.948960526,0.346597118,0.002115164,0.088858911,0.000815197,2335.75908,1059096.039,16482.24195,13498550.35,1958,0.599865303,2063.31027
24110,13,206,113,241100113,5,2,70,0.010035551,0.214914203,0.002580733,0.97793392,0.353026659,0.001858286,0.093141264,0.000813131,2375.994499,1421547.421,16134.58294,12487808.72,1849,0.488269603,1890.720796
24110,13,207,114,241100114,3,2,65,0.011526107,0.215193272,0.00274012,0.962355263,0.364138197,0.002056711,0.098510931,0.000774114,2367.230459,1322138.173,16274.48613,13488700.31,1577,0.523637338,1638.687978
24110,13,301,201,241100201,4,3,86,0.01799923,0.228580691,0.003932543,0.988000316,0.365662021,0.00290002,0.101018759,0.0008731,2719.580527,1534109.983,16508.9088,16490425.31,1884,0.580235128,1906.881982
24110,13,302,202,241100202,1,4,83,0.009461426,0.221048763,0.003082186,0.981078947,0.354592867,0.002794081,0.091677604,0.000879251,2648.10374,1527173.123,16931.28169,15930185.29,2029,0.57049727,2068.13122
24110,13,303,203,241100203,2,4,86,0.016033312,0.222132396,0.003735908,0.981947368,0.344896053,0.002649588,0.085278851,0.0007655,2839.815189,1543600.046,16913.15724,15348451.53,1921,0.575972956,1956.316664
24110,13,304,204,241100204,3,4,58,0.012807144,0.230559493,0.003464005,0.950724333,0.3519738,0.002826823,0.091582159,0.000869266,2763.966702,1794251.524,16676.38122,16643966.38,1553,0.512518226,1633.491378
24110,13,305,205,241100205,5,4,75,0.013870518,0.234131843,0.003284135,0.967671053,0.354473494,0.002577119,0.094339738,0.000823792,2835.312777,1769374.29,16542.41103,15165798.51,1772,0.569375425,1831.200794
24110,13,306,206,241100206,4,4,71,0.019651205,0.236445206,0.004108186,0.979052356,0.364768697,0.003102888,0.097689899,0.000880407,2711.725471,1585872.005,16582.39564,17107231.97,1549,0.618389392,1582.142151
24111,13,307,207,241110207,1,1,61,0.053480202,0.253799939,0.009462686,0.979565521,0.373952829,0.004034259,0.101475088,0.001015349,3112.79725,7518067.918,16271.54926,23602865.34,1091,0.538460533,1113.759087
24111,13,401,208,241110208,1,2,59,0.056594399,0.235066752,0.009641315,0.978092105,0.356584058,0.003727923,0.087472901,0.001168737,3023.371233,8308009.097,16465.8983,23875791.65,1030,0.544655643,1053.070559
24111,13,402,209,241110209,4,2,47,0.026845262,0.226901684,0.005106422,0.952210526,0.354391089,0.00297863,0.089167976,0.001177348,2735.000406,5566581.83,16830.02173,20539294.29,573,0.518795075,601.757683
24111,13,403,210,241110210,2,2,48,0.081383143,0.258133709,0.012564457,0.967657469,0.360046267,0.004268841,0.090024099,0.001106794,3412.387111,14189436.46,16182.78161,28033434.89,849,0.554703336,877.3765791
24111,13,404,211,241110211,5,1,57,0.045572242,0.248634676,0.007469339,0.971433459,0.36014292,0.003434624,0.094852528,0.001000459,2941.574349,6543194.399,16701.22351,21879805.83,733,0.511070135,754.5550273
24111,13,405,212,241110212,4,1,32,0.02657233,0.236599579,0.004917709,0.909893551,0.35496733,0.002558183,0.09569581,0.001009531,2852.385841,5578238.039,17031.31972,18722348.68,678,0.273796057,745.1421093
24111,13,406,213,241110213,3,1,62,0.017180808,0.229580545,0.003411255,0.89148827,0.354821337,0.002528993,0.097205198,0.000984297,2808.50655,2075676.743,17045.22027,16785509.32,475,0.399581522,532.8168817
24111,13,407,214,241110214,2,1,47,0.078443311,0.261721688,0.012135724,0.967737267,0.374067818,0.004007933,0.103462864,0.001064918,3412.178595,13386018.64,16297.68463,27169521.36,817,0.418745464,844.2374064
24111,13,501,301,241110301,5,2,46,0.030022464,0.21966306,0.00636736,0.756526316,0.354735567,0.003127532,0.088250976,0.000938629,2931.670369,4684304.085,16337.96809,17164686.27,598,0.545090757,790.4549882
24111,13,502,302,241110302,3,2,66,0.020336895,0.219426499,0.004749789,0.978618421,0.356769229,0.00302038,0.089993611,0.000951212,2759.827269,2192135.886,16430.49815,17636400.37,702,0.468336635,717.3378151
24111,13,503,303,241110303,3,3,72,0.02340978,0.227114974,0.005252007,0.98175,0.359660178,0.003015416,0.090997515,0.00095418,2801.330751,2850410.139,16387.05596,18573288.27,546,0.571657425,556.1497326
24111,13,504,304,241110304,5,3,52,0.03614618,0.23439557,0.006821499,0.788710526,0.356674123,0.003424966,0.087729915,0.000983595,3041.772234,5544660.148,16401.20926,19253669.73,718,0.588767997,910.3466684
24111,13,505,305,241110305,4,3,48,0.038322381,0.237295467,0.007360475,0.971275938,0.356668969,0.003252396,0.090308875,0.000962223,3149.831923,7144957.184,16716.79964,19525815.24,792,0.526742863,815.4222391
24111,13,506,306,241110306,1,3,67,0.052249617,0.251470214,0.008699805,0.98314518,0.371298637,0.003763496,0.100468229,0.001035924,3167.465537,6887180.804,16362.75405,22838585.79,862,0.515153497,876.7779339
24111,13,507,307,241110307,2,3,50,0.075174079,0.265180655,0.011793472,0.96697325,0.376900598,0.004363298,0.10381538,0.001102365,3305.450436,10283581.87,16027.12278,27181311.6,856,0.517834374,885.2364844
24112,13,601,308,241120308,2,1,44,0.012205022,0.231254017,0.003040483,0.730385127,0.359295207,0.002698147,0.095652047,0.001043026,2522.380322,2063328.318,16615.19646,18735848.32,465,0.50204989,636.6504233
24112,13,602,309,241120309,1,1,60,0.048413509,0.243026094,0.007593612,0.98394758,0.365790229,0.003740865,0.095106153,0.001293667,3052.943916,8514688.859,16356.35378,23975077.32,953,0.516506797,968.5475321
24111,13,603,310,241110310,5,4,54,0.040023514,0.236037977,0.007015325,0.933078947,0.362453091,0.003304628,0.093054682,0.001040689,2945.846526,5889812.582,16378.46181,20575197.72,586,0.624738453,628.028316
24111,13,604,311,241110311,4,4,45,0.030512555,0.241222778,0.0056215,0.870539474,0.366854581,0.003000914,0.099112293,0.000998425,2875.888076,5790893.987,16335.23806,20075031.73,687,0.532046085,789.1658228
24111,13,605,312,241110312,2,4,53,0.085057246,0.267385193,0.012314189,0.9775,0.378306618,0.004216047,0.104505434,0.001151896,3303.33526,12815236.01,15842.39425,28150046.75,689,0.534099231,704.859335
24111,13,606,313,241110313,1,4,64,0.043207155,0.247543422,0.007407698,0.974657228,0.374918355,0.003893137,0.107377376,0.00127762,2863.487081,5261137.602,16438.7706,25036273.05,726,0.627487135,744.8772546
24111,13,607,314,241110314,3,4,66,0.016270916,0.230093758,0.003639371,0.977974554,0.352965621,0.002568463,0.101088603,0.001031823,2835.461394,2179210.201,16620.26926,18252512.15,865,0.48466025,884.4810908
24112,13,701,401,241120401,3,1,43,0.025571224,0.234262408,0.004482022,0.870317496,0.362863895,0.002753798,0.099049516,0.000912388,2889.498478,4159347.706,16605.30524,18318566.52,186,0.63875085,213.7151107
24112,13,702,402,241120402,4,1,64,0.057671717,0.239987132,0.010631145,0.981473928,0.369070489,0.004213896,0.095940678,0.001239317,3173.200994,8564586.489,16116.05297,23794130.87,897,0.57260179,913.9315619
24112,13,703,403,241120403,1,2,66,0.044739457,0.231881829,0.00788601,0.986486842,0.362219344,0.003374622,0.091767197,0.001070124,3021.91232,7193272.234,16267.36244,19680377.54,562,0.508088351,569.6984248
24112,13,704,404,241120404,2,2,41,0.012324079,0.222218374,0.003228219,0.627302632,0.35310422,0.002676966,0.093850982,0.000981596,2743.259791,2168735.147,16779.27024,16110606.9,368,0.574080492,586.6386995
24112,13,705,405,241120405,3,2,53,0.024353546,0.237101863,0.004931855,0.961197368,0.363982592,0.003408628,0.098989549,0.001090521,2827.582204,3737170.445,16632.22118,20563776.29,273,0.56962762,284.0207526
24112,13,706,406,241120406,4,2,73,0.057272021,0.246071608,0.009995863,0.979263158,0.367387132,0.004261903,0.097431036,0.001209504,3184.069743,8677574.163,16278.38015,24514265.79,830,0.661100068,847.5760507
24112,13,707,407,241120407,4,3,65,0.051794,0.242932381,0.009234045,0.980315789,0.362757602,0.004049833,0.096050971,0.001131697,3085.277571,7331144.869,16206.05461,21334678.55,804,0.625680023,820.1438849
24112,13,801,408,241120408,3,4,58,0.032695336,0.243524853,0.006022097,0.954183608,0.374518177,0.003490895,0.104652848,0.001106812,2923.08882,5059712.521,17013.37601,21808397.9,311,0.557121933,325.9330778
24112,13,802,409,241120409,2,4,43,0.010035341,0.229429946,0.002975607,0.608055475,0.370394065,0.002716184,0.102646661,0.000946963,2735.48157,2153022.994,17225.6019,16799791.32,366,0.701324092,601.9187639
24112,13,803,410,241120410,4,4,70,0.051450366,0.244784033,0.008486728,0.982237076,0.371649748,0.003632775,0.102156972,0.001026392,3321.681878,8557738.666,16700.18045,22531617.96,780,0.630734425,794.1056382
24112,13,804,411,241120411,1,4,84,0.032933042,0.246157487,0.005853146,0.990855143,0.379173264,0.003606055,0.107032189,0.001257238,2851.92533,5178238.339,16858.22778,24616866.41,550,0.624187579,555.0760916
24112,13,805,412,241120412,3,3,44,0.013429441,0.232831435,0.003515073,0.936723684,0.366579739,0.003219664,0.102177864,0.001127982,2688.575332,2340567.922,17259.37509,18157797.22,475,0.692919822,507.0865699
24112,13,806,413,241120413,1,3,75,0.048987361,0.251971,0.007667728,0.981881579,0.376718423,0.003815246,0.106217156,0.001153636,2948.146318,6496577.851,16552.73831,23204931.93,902,0.459862558,918.6443858
24112,13,807,414,241120414,2,3,32,0.013142517,0.233966655,0.003364965,0.701005246,0.36591198,0.00274356,0.105959177,0.000975783,2689.026026,2429957.887,17209.17989,17950275.24,466,0.318298919,664.7596471
