fid,id,Trial,Row,Column,Combocode,MasonPlot#,Block,Entry,DAS,PLT COUNT,Yield,PeakStand,HACorrectedYield
1,1001,2501,1,1,25010101,101,1,28,13,102,2835.041595,0.808324685,2874.544513
2,1002,2501,1,2,25010102,102,1,5,13,89,2656.195386,0.761906062,2716.043689
3,1003,2501,1,3,25010103,103,1,12,13,86,2252.702401,0.829887757,2290.993498
4,1004,2501,1,4,25010104,104,1,10,13,91,1906.389332,0.747239565,1939.009504
5,1005,2501,1,5,25010105,105,1,30,13,81,2653.691142,0.760608705,2713.033495
6,1006,2501,2,1,25010201,201,1,25,13,81,2795.152434,0.730950886,2868.563224
7,1007,2501,2,2,25010202,202,1,27,13,79,2890.319714,0.848517123,2948.083121
8,1008,2501,2,3,25010203,203,1,11,13,80,2142.01474,0.712417408,2201.069386
9,1009,2501,2,4,25010204,204,1,20,13,79,2956.741118,0.728551566,3047.963923
10,1010,2501,2,5,25010205,205,1,1,13,75,3233.321298,0.633224312,3395.733195
11,1011,2501,3,1,25010301,301,1,17,13,87,1981.6546,0.556176559,2034.304929
12,1012,2501,3,2,25010302,302,1,22,13,83,2734.642645,0.659721275,2810.350248
13,1013,2501,3,3,25010303,303,1,8,13,74,2541.845472,0.769650209,2618.202965
14,1014,2501,3,4,25010304,304,1,13,13,75,2271.048973,0.707080346,2329.818872
15,1015,2501,3,5,25010305,305,1,29,13,67,2621.554302,0.673857833,2770.683578
16,1016,2501,4,1,25010401,401,1,26,13,71,2338.653207,0.691210948,2440.699323
17,1017,2501,4,2,25010402,402,1,16,13,80,2506.626248,0.73550695,2570.436221
18,1018,2501,4,3,25010403,403,1,2,13,70,3362.631434,0.887058888,3502.780983
19,1019,2501,4,4,25010404,404,1,19,13,80,3146.870439,0.777953745,3251.588331
20,1020,2501,4,5,25010405,405,1,3,13,86,2892.263684,0.811306841,2996.239479
21,1021,2501,5,1,25010501,501,1,14,13,79,3060.911201,0.946345193,3182.002194
22,1022,2501,5,2,25010502,502,1,7,13,87,3169.189168,0.823290102,3247.260261
23,1023,2501,5,3,25010503,503,1,9,13,77,2863.412474,0.698528408,3033.364009
24,1024,2501,5,4,25010504,504,1,18,13,67,2628.42947,0.677233508,2717.387736
25,1025,2501,5,5,25010505,505,1,4,13,94,3253.325787,0.753221579,3368.827388
26,1026,2501,6,1,25010601,601,1,15,13,74,2747.300989,0.835354529,2847.307582
27,1027,2501,6,2,25010602,602,1,6,13,84,3401.843408,0.745426289,3498.967874
28,1028,2501,6,3,25010603,603,1,23,13,94,3740.156976,0.787983067,3877.851414
29,1029,2501,6,4,25010604,604,1,24,13,84,3304.650663,0.873170599,3375.084098
30,1030,2501,6,5,25010605,605,1,21,13,99,1639.124191,0.778205023,1690.362227
31,2001,2501,7,1,25010701,701,2,20,13,75,3572.108268,0.721151487,3789.989671
32,2002,2501,7,2,25010702,702,2,14,13,78,2787.440153,0.910508493,2842.305107
33,2003,2501,7,3,25010703,703,2,21,13,95,1705.510611,0.712369476,1738.948888
