Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
2501,13,ExG,-0.225485278,0.0132792754,-0.075610636,0.4117719555
2501,13,ExR,-0.038196095,0.678735755,-0.228411197,0.0121007445
2501,13,GNDVI,-0.090994985,0.3229474553,-0.132887153,0.1479265093
2501,13,HA,-0.083271815,0.3658783016,0.1870034426,0.040839404
2501,13,NDRE,-0.218336122,0.0165888005,-0.244210698,0.0071877164
2501,13,NDVI,-0.08382539,0.3626890324,-0.044795634,0.6270952687
2501,13,PlantCount,-0.110245795,0.2306449205,-0.039233224,0.6705131522
2501,13,Thresh,-0.026942188,0.7702096057,0.337189382,0.0001659046
2501,21,ExG,-0.185418954,0.0426092822,-0.101250652,0.2711724573
2501,21,ExR,-0.118891418,0.1958897681,-0.279365891,0.0020013291
2501,21,GNDVI,-0.080272098,0.3834591805,0.1686671196,0.0655434509
2501,21,HA,0.1438586549,0.1169830808,-0.396369883,7.4105136E-6
2501,21,NDRE,-0.085900363,0.3508882401,-0.030307536,0.7424558721
2501,21,NDVI,-0.077900927,0.3977111915,0.404822747,4.5161778E-6
2501,21,PlantCount,0.0817165643,0.3749305264,-0.445374273,3.4483834E-7
2501,21,Thresh,-0.059434508,0.5190386029,0.5288816817,5.315884E-10
2501,25,ExG,-0.010426759,0.9100091779,0.5126581036,2.1504155E-9
2501,25,ExR,-0.069789988,0.4487904109,-0.449760159,2.5578235E-7
2501,25,GNDVI,-0.173672515,0.0578257757,0.0701947549,0.446157339
2501,25,HA,0.0106659878,0.9079534207,-0.346259222,0.0001070974
2501,25,NDRE,-0.164026623,0.0734282437,-0.008142236,0.9296687601
2501,25,NDVI,-0.112775275,0.2200568106,0.2414978668,0.0078783796
2501,25,PlantCount,0.0360183514,0.6961238277,-0.236489832,0.0093088614
2501,25,Thresh,-0.037826553,0.6816747827,0.4990106725,6.5919864E-9
2501,32,ExG,0.0046133756,0.9601157805,0.5320622752,4.006708E-10
2501,32,ExR,-0.022530045,0.8070356622,-0.123574874,0.1787266334
2501,32,GNDVI,-0.13136514,0.1526663875,0.2968231832,0.0009947035
2501,32,HA,0.0687427703,0.4556429767,-0.199671742,0.0287814235
2501,32,NDRE,-0.081148279,0.3782719855,0.3682672869,0.0000349815
2501,32,NDVI,-0.129321189,0.1592099953,0.432703588,7.9871758E-7
2501,32,PlantCount,0.0406077394,0.6596755568,-0.16987817,0.0636032793
2501,32,Thresh,-0.056896527,0.5370719421,0.4771645694,3.5869737E-8
2501,40,ExG,0.1889460933,0.0387537959,0.5593373006,3.129827E-11
2501,40,ExR,-0.163527789,0.0743195876,-0.41414823,2.5738434E-6
2501,40,GNDVI,0.0449278307,0.626077998,0.4411503452,4.5799782E-7
2501,40,HA,0.1557510896,0.0893771722,0.0728812565,0.4289028953
2501,40,NDRE,-0.052276523,0.5706771064,0.2178814033,0.016821602
2501,40,NDVI,0.0531668923,0.5641244475,0.4630039156,1.0113075E-7
2501,40,PlantCount,0.1154427249,0.2092691514,0.0411500634,0.6554186804
2501,40,Thresh,0.1522952218,0.0968038994,0.5524491708,6.090115E-11
2501,47,ExG,0.2899726685,0.0013155837,0.8010734898,4.556489E-28
2501,47,ExR,-0.266372265,0.0032742458,-0.90419854,2.051107E-45
2501,47,GNDVI,0.2533851634,0.0052324428,0.791071789,6.000942E-27
2501,47,HA,-0.222925445,0.0143912796,-0.084924786,0.3564062981
2501,47,NDRE,0.112374414,0.2217114047,0.3476841093,0.0000998587
2501,47,NDVI,0.2783554148,0.002081196,0.8992251035,3.50072E-44
2501,47,PlantCount,-0.226989195,0.0126615641,-0.134023716,0.1444600352
2501,47,Thresh,0.3281935854,0.0002527566,0.9692559248,1.047514E-73
2501,55,ExG,0.2355470821,0.0096023711,0.8380523229,7.771592E-33
2501,55,ExR,-0.264883773,0.0034590161,-0.917192756,5.562249E-49
2501,55,GNDVI,0.4035860408,4.8596655E-6,0.9171676935,5.658237E-49
2501,55,HA,-0.071929112,0.4349739146,-0.078994784,0.3910977647
2501,55,NDRE,0.4179474195,2.0369465E-6,0.6346086729,7.104104E-15
2501,55,NDVI,0.3694385323,0.0000328829,0.9500006,1.729568E-61
2501,55,PlantCount,-0.190213754,0.0374416058,0.0139427692,0.8798620833
2501,55,Thresh,0.4052146852,4.4121999E-6,0.9887291555,3.558872E-99
2502,13,ExG,-0.342259305,0.0000268283,-0.012669426,0.8802012349
2502,13,ExR,0.1590070494,0.0569643818,-0.010306935,0.9024171112
2502,13,GNDVI,0.0931857503,0.2666103935,0.1116449081,0.1827841217
2502,13,HA,-0.06986626,0.4053493419,-0.224592483,0.0068040708
2502,13,NDRE,-0.188252017,0.0238474678,0.066409593,0.4290354875
2502,13,NDVI,0.021066663,0.8021044278,0.1538420558,0.0656229549
2502,13,PlantCount,-0.048636486,0.5626607397,-0.095835751,0.2531888284
2502,13,Thresh,-0.02013146,0.8107207343,0.213301708,0.0102605093
2502,21,ExG,-0.39525266,9.4462053E-7,-0.073920255,0.3785790137
2502,21,ExR,-0.361647198,8.4428816E-6,-0.343565809,0.0000248763
2502,21,GNDVI,-0.025148209,0.7647907199,0.0082477019,0.9218437548
2502,21,HA,0.0987550868,0.238950616,-0.348395936,0.0000187595
2502,21,NDRE,0.1068861892,0.2022696724,0.0111220215,0.8947429356
2502,21,NDVI,-0.057678461,0.4922836473,0.2020332867,0.0151670299
2502,21,PlantCount,0.108711146,0.1946271461,-0.29839313,0.0002805517
2502,21,Thresh,0.0213762202,0.7992575663,0.4159333583,2.1651295E-7
2502,25,ExG,-0.110323118,0.1880528039,0.3856889317,1.8063722E-6
2502,25,ExR,0.0156625605,0.8521906236,-0.257530777,0.0018321625
2502,25,GNDVI,-0.078306019,0.3508633037,0.3676607512,5.8072853E-6
2502,25,HA,0.0008570293,0.9918659308,-0.425387893,1.067518E-7
2502,25,NDRE,-0.095714646,0.2537918535,0.3008048263,0.0002488724
2502,25,NDVI,-0.074869832,0.372467818,0.3889121198,1.4551418E-6
2502,25,PlantCount,-0.038991549,0.6426497738,-0.345584697,0.0000221208
2502,25,Thresh,0.0621734462,0.4591206827,0.5230744871,1.745765E-11
2502,32,ExG,0.0950980634,0.2568773582,0.5881308026,9.138271E-15
2502,32,ExR,-0.244544961,0.0031373559,-0.548017774,1.167289E-12
2502,32,GNDVI,-0.039322542,0.6398282098,0.5445286686,1.72732E-12
2502,32,HA,-0.032410734,0.6997629543,-0.41640979,2.0904129E-7
2502,32,NDRE,-0.223877648,0.0069873789,0.3087900699,0.0001661249
2502,32,NDVI,-0.021201069,0.8008680376,0.5502631862,9.049101E-13
2502,32,PlantCount,-0.05504584,0.5122809279,-0.397387643,8.1506066E-7
2502,32,Thresh,0.0927418765,0.2689049939,0.6371582398,9.053964E-18
2502,40,ExG,0.2455420222,0.0030133295,0.5870276072,1.053666E-14
2502,40,ExR,-0.331934124,0.0000481683,-0.505600889,1.022719E-10
2502,40,GNDVI,-0.063802053,0.4474181483,0.4099308263,3.3545472E-7
2502,40,HA,0.0296633327,0.724136917,0.1888998119,0.02335994
2502,40,NDRE,-0.159630038,0.0559866948,0.2932413978,0.0003611291
2502,40,NDVI,-0.054293994,0.5180678856,0.4262455769,1.0001101E-7
2502,40,PlantCount,0.1417435673,0.090138815,0.0974215005,0.2453838935
2502,40,Thresh,0.0817677696,0.3299104956,0.529824504,8.580205E-12
2502,47,ExG,0.3276313284,0.0000610997,0.7901197592,5.497308E-32
2502,47,ExR,-0.161863201,0.052595042,-0.845591089,1.541821E-40
2502,47,GNDVI,0.1656017421,0.047298276,0.8380280714,3.465196E-39
2502,47,HA,0.1924728651,0.0208219071,-0.060206232,0.4734797765
2502,47,NDRE,-0.026293237,0.754415096,0.5500939166,9.22507E-13
2502,47,NDVI,0.1662229866,0.0464626411,0.8936096698,2.956663E-51
2502,47,PlantCount,0.1295678119,0.1216717146,-0.078032885,0.3525512696
2502,47,Thresh,0.2729154357,0.0009346298,0.9573165692,1.995488E-78
2502,55,ExG,0.3081538415,0.0001716348,0.8692979638,2.692253E-45
2502,55,ExR,-0.260255742,0.0016309118,-0.858420723,5.253704E-43
2502,55,GNDVI,0.2620139814,0.0015119675,0.9510826677,2.55814E-74
2502,55,HA,0.1813689173,0.0295900726,0.2047714814,0.0138169078
2502,55,NDRE,0.1139030481,0.17403495,0.7475604097,5.186826E-27
2502,55,NDVI,0.2640609851,0.0013834807,0.9700043298,4.134249E-89
2502,55,PlantCount,0.2868484043,0.0004907999,0.4315366624,6.6611469E-8
2502,55,Thresh,0.3344129945,0.0000419335,0.9943060269,5.58713E-140
2503,13,ExG,-0.205358669,0.0244436569,0.0340097348,0.7123027792
2503,13,ExR,0.2354176605,0.0096432937,-0.017278975,0.851414082
2503,13,GNDVI,0.2729005355,0.0025643468,0.2561063272,0.0047519113
2503,13,HA,-0.178369016,0.0512782893,0.2342478451,0.0100202033
2503,13,NDRE,0.1413188366,0.1236568555,0.2625483033,0.0037678524
2503,13,NDVI,0.1387435884,0.1307194653,0.3254863873,0.000286179
2503,13,PlantCount,-0.173923925,0.0574586973,0.1965030004,0.0314706629
2503,13,Thresh,-0.040062341,0.6639675675,0.2818057206,0.0018198089
2503,21,ExG,-0.108593135,0.2377529222,0.1756299187,0.0550180366
2503,21,ExR,-0.215079573,0.0183194587,-0.07774063,0.3986859017
2503,21,GNDVI,0.0461466414,0.6167323906,0.2741257992,0.0024477659
2503,21,HA,-0.137741203,0.1335505412,-0.30032372,0.000859991
2503,21,NDRE,0.0413278319,0.6540257116,0.0748216501,0.4166823767
2503,21,NDVI,0.0260583683,0.7775484449,0.3690112659,0.0000336344
2503,21,PlantCount,-0.170922761,0.0619676462,-0.379872677,0.0000187494
2503,21,Thresh,0.04061132,0.659647415,0.4270982444,1.1458023E-6
2503,25,ExG,-0.050621346,0.582952566,0.4406827891,4.7250244E-7
2503,25,ExR,0.1579140053,0.0849644077,-0.180542585,0.0484624056
2503,25,GNDVI,0.0385858662,0.6756410629,0.4812828708,2.6299218E-8
2503,25,HA,-0.067190313,0.465907738,-0.326240832,0.0002764759
2503,25,NDRE,0.0208574384,0.8211120709,0.1852586448,0.0427918614
2503,25,NDVI,-0.030300157,0.7425163755,0.5044026522,4.2594918E-9
2503,25,PlantCount,-0.044120442,0.6323018326,-0.311749307,0.0005280788
2503,25,Thresh,0.037901418,0.6810789826,0.5479048244,9.37086E-11
2503,32,ExG,0.0785113908,0.3940121765,0.692128027,2.05324E-18
2503,32,ExR,-0.220219842,0.0156538994,-0.39111341,0.0000100151
2503,32,GNDVI,0.0205766284,0.8234810436,0.5564105119,4.160736E-11
2503,32,HA,-0.075524046,0.412309208,-0.290520203,0.001286834
2503,32,NDRE,-0.001498827,0.9870373563,0.3961778561,7.4931821E-6
2503,32,NDVI,-0.019132391,0.8356895893,0.5966879481,6.394777E-13
2503,32,PlantCount,-0.082362558,0.3711540993,-0.24280854,0.0075376888
2503,32,Thresh,0.0895732244,0.3305967962,0.6182604894,5.325462E-14
2503,40,ExG,0.2506730226,0.0057540379,0.6460667053,1.609344E-15
2503,40,ExR,-0.26893942,0.0029763316,-0.501034034,5.6005593E-9
2503,40,GNDVI,0.1615676506,0.0779069466,0.604890267,2.540736E-13
2503,40,HA,0.0494697592,0.5915642648,0.3002253402,0.0008635367
2503,40,NDRE,0.0391736861,0.6709841398,0.3879826286,0.0000119539
2503,40,NDVI,0.1453807687,0.1131193948,0.6304250783,1.203139E-14
2503,40,PlantCount,0.2153489295,0.0181706191,0.1674288792,0.0675767126
2503,40,Thresh,0.287746319,0.0014386101,0.6347567672,6.971816E-15
2503,47,ExG,0.5202786973,1.1256394E-9,0.8354495785,1.836759E-32
2503,47,ExR,-0.320936338,0.0003516947,-0.891977654,1.694911E-42
2503,47,GNDVI,0.2810577737,0.0018738005,0.861148681,1.804189E-36
2503,47,HA,-0.106130103,0.2486273529,-0.245348934,0.0069142863
2503,47,NDRE,-0.004504709,0.9610544984,0.4655663502,8.4125271E-8
2503,47,NDVI,0.3116916766,0.0005294055,0.9199532012,8.167714E-50
2503,47,PlantCount,-0.03418218,0.7109086224,-0.159427661,0.0819810402
2503,47,Thresh,0.4327291659,7.9739161E-7,0.97573581,1.087803E-79
2503,55,ExG,0.5038035597,4.4729412E-9,0.8447854526,7.811081E-34
2503,55,ExR,-0.364254929,0.0000431618,-0.906265079,6.02612E-46
2503,55,GNDVI,0.4681317112,6.9858725E-8,0.9523815593,1.042197E-62
2503,55,HA,0.0258480621,0.7792976494,0.1745936805,0.0564901279
2503,55,NDRE,0.2966733066,0.0010008802,0.6985716737,7.310675E-19
2503,55,NDVI,0.4497550916,2.5587127E-7,0.9677572653,1.662907E-72
2503,55,PlantCount,0.1510173763,0.0996703164,0.2752515058,0.0023449007
2503,55,Thresh,0.5084618006,3.0506554E-9,0.9914996529,2.27573E-106
2504,13,ExG,-0.32174595,0.0013905357,-0.145040677,0.1585531117
2504,13,ExR,0.0621523438,0.5474597464,-0.190996231,0.0623134667
2504,13,GNDVI,0.06493242,0.5296535089,-0.055693641,0.5899183103
2504,13,HA,-0.315260394,0.0017561982,-0.068265181,0.5086961494
2504,13,NDRE,-0.000773339,0.9940335653,-0.09441746,0.3601777961
2504,13,NDVI,0.0402393697,0.697086223,0.0674159818,0.5139952515
2504,13,PlantCount,-0.295015857,0.0035236657,-0.082985276,0.4214991542
2504,13,Thresh,-0.164717819,0.1087731139,0.0427851284,0.6789435724
2504,21,ExG,-0.492743419,3.3999453E-7,-0.10797455,0.2950364621
2504,21,ExR,-0.472286015,1.185294E-6,-0.235327319,0.0209970104
2504,21,GNDVI,0.2630876664,0.0096046287,0.4363322685,8.8302983E-6
2504,21,HA,-0.12718722,0.2168778032,-0.38409037,0.0001118715
2504,21,NDRE,0.2951712572,0.003505523,0.1402876756,0.1727944618
2504,21,NDVI,0.1844730381,0.0719778809,0.4522524564,3.732332E-6
2504,21,PlantCount,-0.12469262,0.2261025341,-0.399188738,0.0000560576
2504,21,Thresh,0.1072641083,0.2982438307,0.4220595231,0.0000184348
2504,25,ExG,-0.402962362,0.0000469183,0.0705520198,0.4945673898
