Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
25104,10,ExG,-0.452912089,0.0449262637,-0.306537989,0.188670043
25104,10,ExR,-0.452912089,0.0449262637,-0.306537989,0.188670043
25104,10,GNDRE,-0.281880836,0.2285722294,0.033025073,0.890066698
25104,10,GNDVI,-0.444137301,0.0497844085,-0.086986238,0.7153665028
25104,10,HA,-0.167922753,0.4791510686,-0.090809127,0.7033889186
25104,10,NDVI,-0.437696702,0.0535988526,-0.118435446,0.618969485
25104,10,PlantCount,-0.320965003,0.1676459928,-0.483154654,0.0309265381
25104,10,Thresh,-0.441172043,0.051513873,-0.199883603,0.3981533567
25104,16,ExG,0.586145619,0.0066074286,0.7363357555,0.0002140485
25104,16,ExR,-0.406489752,0.0753150016,-0.532441024,0.0156575533
25104,16,GNDRE,0.5863276555,0.0065865036,0.7268057709,0.0002834958
25104,16,GNDVI,0.6045255636,0.0047518471,0.7648551433,0.000085657
25104,16,HA,0.0319383781,0.8936640857,-0.207464627,0.3801204148
25104,16,NDVI,0.5826274086,0.0070226786,0.7470825184,0.0001536954
25104,16,PlantCount,-0.156778441,0.5091961434,-0.353427046,0.1263566023
25104,16,Thresh,0.6850954044,0.0008585221,0.8685258819,6.8504003E-7
25104,23,ExG,0.7231973441,0.0003143943,0.9081845465,3.1435363E-8
25104,23,ExR,-0.720501141,0.0003393154,-0.843085928,3.0535566E-6
25104,23,GNDRE,0.6177604727,0.0037016889,0.4840650457,0.0305658281
25104,23,GNDVI,0.8137404641,0.0000127505,0.8765682135,4.0019631E-7
25104,23,HA,-0.044924794,0.8508236791,-0.038834749,0.8708710986
25104,23,NDVI,0.817995617,0.0000105292,0.9423084405,5.448206E-10
25104,23,PlantCount,0.0197578708,0.934107541,0.0359690311,0.8803316168
25104,23,Thresh,0.7992822511,0.0000236135,0.9542101558,7.115145E-11
25104,30,ExG,0.7327500517,0.0002382411,0.9261507195,4.7357147E-9
25104,30,ExR,-0.790761205,0.0000331982,-0.93429214,1.7058268E-9
25104,30,GNDRE,0.7419810172,0.0001802201,0.8374289386,4.1092898E-6
25104,30,GNDVI,0.7876270573,0.0000374852,0.9167128353,1.349637E-8
25104,30,HA,-0.360051929,0.1189125782,-0.47359859,0.0349174469
25104,30,NDVI,0.7846989141,0.0000419143,0.9195856987,9.9463555E-9
25104,30,PlantCount,-0.626080651,0.003145993,-0.671585403,0.0011847225
25104,30,Thresh,0.8073240376,0.0000168664,0.9521845969,1.042658E-10
25104,37,ExG,0.6969820314,0.0006377268,0.918701546,1.093892E-8
25104,37,ExR,-0.812715956,0.0000133423,-0.952256669,1.028871E-10
25104,37,GNDRE,0.8063726351,0.0000175654,0.8559106545,1.4890904E-6
25104,37,GNDVI,0.8465154723,2.5360681E-6,0.9432989425,4.678966E-10
25104,37,HA,-0.455915445,0.0433501991,-0.678457549,0.0010077485
25104,37,NDVI,0.8267174601,7.0011963E-6,0.9563495963,4.661913E-11
25104,37,PlantCount,-0.562363173,0.0098511306,-0.65691671,0.0016513031
25104,37,Thresh,0.8403457124,3.5309315E-6,0.9675550132,3.363567E-12
25104,42,ExG,0.6539448287,0.0017625075,0.8978385503,7.9050442E-8
25104,42,ExR,-0.813458348,0.0000129111,-0.973317855,5.909911E-13
25104,42,GNDRE,-0.813458348,0.0000129111,-0.973317855,5.909911E-13
25104,42,GNDVI,0.8611997271,1.085255E-6,0.959402821,2.454661E-11
25104,42,HA,-0.588742498,0.006314023,-0.41707015,0.067324451
25104,42,NDVI,0.8268667718,6.9511126E-6,0.9741804627,4.410562E-13
