fid,id,Trial Name,IDrow,layer,path,704ExG_mean,704ExG_variance,704ExR_mean,704ExR_variance,704gNDVI_mean,704gNDVI_variance,704gNDRE_mean,704gNDRE_variance,704NDVI_mean,704NDVI_variance,704THRESH_mean,704THRESH_variance,704HA_mean,704HA_variance,704PLT_,ExR2mean
1,101,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2704.676203,10293556.14,2704.676203,10293556.14,0.063690008,0.009099672,-0.033861884,0.000736842,0.255850965,0.018101762,0.091019998,0.082735358,0.969945943,0.02915081,72,16349.2297
2,102,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3744.368503,40554902.01,3744.368503,40554902.01,0.072802684,0.006933509,-0.030261519,0.000774862,0.27532694,0.020750776,0.113198747,0.10038479,0.904913955,0.086044689,57,15458.06787
3,103,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3370.78047,27904617.66,3370.78047,27904617.66,0.078040029,0.007932935,-0.025044146,0.000705781,0.281218308,0.019766732,0.103250346,0.092589712,0.940133344,0.056282639,84,15408.02845
4,104,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3920.130198,39937946.98,3920.130198,39937946.98,0.068368519,0.008996787,-0.030878627,0.000842128,0.27670967,0.023543382,0.11446292,0.10136116,0.933273807,0.062273808,59,15405.36345
5,105,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,4852.08497,54276747.32,4852.08497,54276747.32,0.090191458,0.009188031,-0.026284081,0.001288355,0.30446813,0.026882291,0.146082407,0.124742338,0.94198074,0.054653026,63,14521.53085
6,106,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2843.614703,19437533.14,2843.614703,19437533.14,0.071526475,0.005413335,-0.026268315,0.001312313,0.260593131,0.012870042,0.063626681,0.059578327,0.943146407,0.053621262,48,15940.83789
7,107,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3078.081411,33247212.72,3078.081411,33247212.72,0.083826089,0.005526025,-0.026677735,0.00160842,0.280822212,0.015883089,0.092593945,0.084020306,0.941301729,0.055252784,59,15235.92528
8,108,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3965.455052,62353202.41,3965.455052,62353202.41,0.090750941,0.00529848,-0.026935347,0.000769085,0.296917226,0.021248439,0.129999522,0.113099646,0.894321389,0.094510642,64,14193.38151
9,109,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2630.649485,32894377.91,2630.649485,32894377.91,0.088685699,0.006000528,-0.027021156,0.000634295,0.285836637,0.016629933,0.092424714,0.083882386,0.968952939,0.030083141,92,14974.3665
10,110,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3965.087571,72572676,3965.087571,72572676,0.091703269,0.006492096,-0.026150972,0.000669168,0.307607045,0.023522844,0.135207865,0.116926698,0.903403655,0.087265491,67,14112.69924
11,201,AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2822.06009,9746082.114,2822.06009,9746082.114,0.035246088,0.009088455,-0.044973045,0.000664454,0.224186794,0.017570649,0.079701136,0.073348865,0.946110996,0.050984979,83,16466.60374
