fid,id,Trial Name,IDrow,layer,path,717ExG_mean,717ExG_variance,717ExR_mean,717ExR_variance,717gNDVI_mean,717gNDVI_variance,717gNDRE_mean,717gNDRE_variance,717THRESH_mean,717THRESH_variance,717HA_mean,717HA_variance,NUMPOINTS,717NDV_mean,717NDV_variance
"1","101",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,16744.3967397804,311624345.092614,7226.32090740788,103718700.285795,0.575578111797613,0.00846265793693303,0.15874787415948,0.00198115878808319,0.481582031717177,0.24966077844417,0.639950722418907,0.230413795294485,42,0.552852670554531,0.0522969718101532
"2","102",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,15932.6950770261,334093233.121716,9268.69830343762,79922752.2020023,0.558081929217345,0.00629482279095492,0.154817941423219,0.00225935937019776,0.438821643861831,0.246257208740002,0.584908142761458,0.242790607292789,48,0.520494757436516,0.0461039530109129
"3","103",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,15157.8509004897,311022721.043125,9502.29035904566,76931432.4922988,0.547869327723985,0.00609689417855518,0.151031668269547,0.00184141847754823,0.425595485102498,0.24446396816305,0.726312149920476,0.198782810798383,39,0.520633948952278,0.0426166880987295
"4","104",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,17782.2289751201,350060074.288949,6710.86589673261,96022092.5565947,0.561784295634864,0.00779064317024244,0.152641875943328,0.00205110688031004,0.489671565433529,0.249893323439351,0.624052893200135,0.234610879688413,42,0.565527643594417,0.0451153074843855
"5","105",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,19579.7078242031,355848813.940079,5503.0157897441,86530476.9693467,0.569585327011936,0.00723426046695798,0.160958409240277,0.00288228750910161,0.596121583598631,0.240760641166623,0.83248999220515,0.139450405083421,64,0.60592746924198,0.0416853154439053
"6","106",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,11590.3449386644,212936716.857143,12414.6798236461,86918614.3895801,0.517660854844938,0.00837903165571878,0.159976003264411,0.00341211045473083,0.376993570611515,0.234869418329127,0.653776363540735,0.226352830016552,21,0.508954160511145,0.040967785572653
"7","107",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,13818.9561042691,250308362.559127,10241.2433095387,89143335.8847823,0.542867117291428,0.0090263649347436,0.167695195591234,0.00358866561666809,0.461665774229665,0.248530487134589,0.87693168820423,0.10792250242739,45,0.55965308364453,0.0429082777462949
"8","108",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,17636.0661292445,306804769.353538,7643.23815365815,97081193.5478821,0.559837541767699,0.00834852852131475,0.159976061946114,0.00267675744052352,0.539834228372544,0.248413234250006,0.709542774448949,0.206091825676033,39,0.594680904242992,0.0447930843057305
"9","109",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,13134.3502852564,270745911.001209,10368.2532409126,91445074.6362071,0.520738754261917,0.00744440745498832,0.1421108125353,0.00166777287041422,0.370558193495916,0.233244818728807,0.66820552073865,0.221706902792904,37,0.500600432636783,0.0428784468982008
"10","110",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,19188.0295165881,355958424.097053,6057.84622095042,90168816.7448578,0.558381005766812,0.00820020442430564,0.15175705958044,0.0021847088420771,0.549824192120937,0.247517549879747,0.685300801339553,0.215663613022904,46,0.591949106634467,0.0462634522299907
"11","201",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,14635.7393715567,277242116.935322,8948.89466928688,93610534.3260518,0.547855450824193,0.00914440386797234,0.152938896438131,0.00165694066936411,0.423638535420019,0.244168926727306,0.270014014989946,0.197106446698629,7,0.517414683294012,0.0494571442862728
"12","202",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,11139.9835312691,191084588.891995,10402.6718971601,90101806.7257825,0.548231819066772,0.0108772843394109,0.161224912068077,0.00154515230630964,0.367155825051128,0.232352425182141,0.571170567761844,0.244934750284578,31,0.49253288796034,0.0468271564967897
"13","203",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,10394.4162241676,183978196.288691,9130.83235311298,89676192.9697413,0.576058255342451,0.0109502108781812,0.178400070159699,0.00129501029439816,0.375263107539227,0.234440707659295,0.94331746525369,0.0534696250010993,85,0.52546728228818,0.0452013583976216
"14","204",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,8708.78084485481,167368529.131611,12395.9996595892,66058313.1320316,0.527343928118171,0.00737273201033884,0.161885510216134,0.00127293373944528,0.285497297038703,0.203988590422262,0.707485678064416,0.206949693398279,25,0.463536870617596,0.0338363548758523
"15","205",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,10042.3029053911,194808933.073231,11485.1335888012,70408823.990911,0.549867414866921,0.00792447136413723,0.18146938270866,0.00179747861982853,0.363391823061308,0.231338205993474,0.711063787391965,0.205452077652298,45,0.505205539591851,0.0368837447891337
"16","206",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,8505.6289811393,136285970.243363,12118.6029929056,98026415.4209653,0.571056232832078,0.0107349128968158,0.20224378850639,0.00326269298740657,0.383708275029003,0.236476234703461,0.788978317806188,0.166491531837949,50,0.527038290949659,0.0414715978284181
"17","207",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,9260.340497666,147065934.539883,11561.7899951999,89498679.9933691,0.561326568212756,0.0109059577146654,0.193811065400921,0.00363920862842488,0.418879429214791,0.243419452995456,0.953288291707786,0.0445297246006326,85,0.533208339586419,0.0412008603489175
