fid,id,Trial Name,IDrow,layer,path,724ExG_mean,724ExG_variance,724ExR_mean,724ExR_variance,724gNDVI_mean,724gNDVI_variance,724NDRE_mean,724NDRE_variance,724THRESH_mean,724THRESH_variance,724HA_mean,724HA_variance,NDVI_mean,NDVI_variance,724PLT_
"1","101",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"14080.1027615984","155340077.417602","6695.881102732","82268524.8620583","0.174533901977419","0.0309279306075442","-0.0294402460420306","0.0018020865973801","0.477987346162586","0.249515443070998","0.861590164326548","0.119252553062567","0.443103120504278","0.0818103118719496","44"
"2","102",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"12007.0765238397","168169890.787642","9752.58583747784","86762604.0811104","0.119420943962014","0.0313636375423218","-0.0354913874078441","0.00187961542849121","0.393657095705624","0.238691186706098","0.764617942186024","0.179977344673392","0.368481154200895","0.0859045978896527","25"
"3","103",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"13362.1946611342","191953444.991124","8844.4777708836","87585168.6687634","0.13114312705515","0.0261294577570926","-0.0312326225734135","0.00174421970048194","0.422157676348548","0.243940572648369","0.709765743839367","0.205998332711296","0.394292763506411","0.079617255114494","20"
"4","104",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"14377.5423861758","182713381.993274","7378.13914981745","86929541.8625503","0.151975306838607","0.0330084391762366","-0.0303253084801161","0.00198581627348244","0.473144360376015","0.249278774620437","0.55731039308897","0.246715518843821","0.418106931395129","0.0913856411002666","19"
"5","105",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"16661.5160118371","206792042.376413","5826.00357527659","67051797.2333728","0.169617765320207","0.0225967456755631","-0.0274684482360712","0.00189384379860222","0.518178455359738","0.249669543760623","0.584653393402122","0.242833802985361","0.454368066633265","0.072561083209387","18"
"6","106",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"14035.7354642754","172412922.352735","7351.28926322162","88068191.2882412","0.158457040784244","0.0293647596086963","-0.0284032575418303","0.00188356832530607","0.452481131827386","0.247741957167564","0.666916512156956","0.222138877969527","0.416475612153186","0.0830129592684168","24"
"7","107",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"16154.725996228","173296470.83123","5173.77482775525","75805266.3827248","0.21094569264922","0.0278058472538608","-0.0137405528577766","0.00193648380042009","0.53740950295066","0.248600529089046","0.825866893782699","0.143810767536007","0.491003182374076","0.0741969250112835","41"
"8","108",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"17553.4641024721","182888390.256319","4706.41705526409","80935378.8928679","0.232255314885688","0.0280994242351078","-0.00905377715688587","0.00188593831357651","0.579742384557425","0.243641152105156","0.519272396761424","0.249628574723041","0.526220375640513","0.0734206592378533","23"
"9","109",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"11069.6751743192","149314815.97779","10227.5943626681","84015117.7308474","0.137293950162278","0.0296699738785283","-0.0309981230289289","0.00201509593696632","0.349666909856359","0.22739996200764","0.695086947161959","0.211941083046869","0.372982982894764","0.0761030879253535","40"
"10","110",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"13931.9505340079","179325848.081893","6036.522607246","72783308.8944243","0.208450657666505","0.025970352273917","-0.00874640022287495","0.00203549887519175","0.475153385239137","0.249382645734737","0.324427115725016","0.219174162307265","0.469376361074079","0.0723484300056096","11"
"11","201",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"13045.2391121512","156730029.269101","8103.02476796025","85041319.1695203","0.112148593155126","0.0328766290088287","-0.0454315716914685","0.0015220109458511","0.425445813678527","0.244441673302217","0.848636263923758","0.12845275547718","0.366288761813193","0.0916386263843727","53"
"12","202",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"9089.40456371986","96909413.5244741","9611.20969983624","86203122.1541704","0.103918091230095","0.0447759016919581","-0.0349288958185629","0.00215384567180314","0.372189533103712","0.233664484551921","0.738872013202899","0.192940161308686","0.318751772041197","0.102530838010698","38"
"13","203",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"8259.68721371079","80134989.9404003","9092.03065670953","81808228.9579368","0.122627508029642","0.0454419774313684","-0.025118706934599","0.00210831340311815","0.365230287156303","0.231837124499957","0.72941908167781","0.197366884962149","0.324312942790157","0.0989419858492452","33"
"14","204",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"7308.74990132877","88302913.3134297","12097.6442952265","72527642.2047889","0.0201562965868036","0.034848805466936","-0.0604829074712169","0.00189159319077855","0.26303955221203","0.193849746184463","0.92461788695673","0.0696996500764206","0.202323397011553","0.0939362976672975","63"
"15","205",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"8966.0999875467","116180769.048073","10512.4233702067","69209342.5879518","0.0470254471210738","0.0297546465037822","-0.0548949764598244","0.00183151525333279","0.295143212951432","0.208033696800136","0.800104605115688","0.159937225988552","0.238411802185617","0.0912931559227915","90"
"16","206",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"7815.1452064297","77408101.7032958","9555.74843495074","80136620.7060326","0.114676377937937","0.0447362173745463","-0.0324884422863668","0.00227335951907178","0.346194326173277","0.226343814698859","0.721911254634613","0.200755395066212","0.297299512546053","0.107223030907638","28"
"17","207",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"8485.11656123482","89060703.2785571","9970.34537136182","76740161.7817826","0.0918398190253441","0.0393948398504409","-0.0408037100215562","0.00219559459190778","0.337753036437247","0.223675922814856","0.857256727861634","0.122367630397501","0.285399521119995","0.0944599951927453","38"
"18","208",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"7889.55904513598","86293589.0714948","11212.5855212237","84128190.4635325","0.0859671676988876","0.0390107741054447","-0.0405416648754899","0.00202803334749039","0.311670294448298","0.21453192200687","0.671510063502314","0.220584298117377","0.277248874602219","0.0935221077354679","23"
"19","209",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"9951.12992781788","70832386.0599165","6869.61887754668","84402047.1095103","0.228592079188444","0.0486969275697635","-0.000512293640456742","0.00307711191488091","0.489592201863162","0.249891677738021","0.416662553674547","0.243054870040099","0.453311287812242","0.0931338695752033","11"
"20","210",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"9881.13734795664","83446764.5757599","7110.92578150699","63384781.0985329","0.191150520066396","0.0339903867610237","-0.00806859544485017","0.00219723226062841","0.437961219400478","0.246151189701674","0.771164660678389","0.176469726799193","0.418210581833982","0.0771799744033933","34"
"21","301",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"10306.5576225229","136079939.664964","10359.5781950383","81830842.6598669","0.0719848810932588","0.032502510842065","-0.0530714285183018","0.00172254443853939","0.326862631358847","0.220023451579783","0.956487139022647","0.0416194919068236","0.290552468022438","0.085688071032202","96"
"22","302",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"13910.5045985672","136067316.012144","6336.93594579831","86722279.8991811","0.159048344540395","0.0474143710318469","-0.0253843391927745","0.00256788753784367","0.520720462129095","0.249570662449117","0.854639828734766","0.124230591875263","0.417579668150107","0.108898924058737","82"
"23","303",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"15452.6092026669","170344312.199017","3936.72192425914","92911192.5368083","0.188894109557713","0.0379889167493224","-0.0194925558869495","0.0020643267475209","0.533868689121868","0.248852911897209","0.561180493606899","0.246256947201609","0.452817034833431","0.100018868325261","19"
"24","304",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,"14695.7660722188","175281266.483582","4132.13759165971","102144922.72287","0.177144054687159","0.0426233235656748","-0.0248079121302421","0.00244846708634985","0.505029483177246","0.249974704298912","0.24966812174849","0.187333950731133","0.428225901682731","0.11304856419999","6"
