fid,id,Trial Name,IDrow,layer,path,724ExG_mean,724ExG_variance,724ExR_mean,724ExR_variance,724gNDVI_mean,724gNDVI_variance,731NDREmean,731NDREvariance,731NDVI_mean,731NDVI_variance,731THRESH_mean,731THRESH_variance,731HA_mean,731HA_variance,731PLT_
"1","101",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,14885.9210180113,128411818.468825,6270.05394781192,119462923.708246,0.21365269510652,0.0544718218585987,-0.0200357107567213,0.00295234544433695,0.470806800502372,0.111388046794079,0.541476307795345,0.248279715891744,0.706723754395197,0.207265289368974,28
"2","102",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,17006.2459810535,198330148.598445,7749.34634722746,136294133.528242,0.15057383520863,0.0485308581624214,-0.0398520836711244,0.00312097395709368,0.419030213307435,0.116839668813774,0.50606430314339,0.249963224227715,0.620867422611358,0.23539106615138,18
"3","103",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,22873.3644435839,243848973.984136,4102.15840216939,108365696.579501,0.186562974669406,0.0317581413314787,-0.0415195415675202,0.00253421492014017,0.50747505697563,0.0872986794554562,0.639221598296036,0.230617346568058,0.527910707864236,0.249220992386292,16
"4","104",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,26032.3669300839,203474491.517132,506.810716998086,82900304.3971121,0.220809895524194,0.0305322429061982,-0.0415682175193574,0.00315513245468234,0.571377745082825,0.0809998497750697,0.762852144537612,0.180908750111733,0.735971526814261,0.194317438533308,29
"5","105",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,27760.2200338168,186550356.358193,-467.078840667968,57311500.8396024,0.232153592268374,0.0201712784229506,-0.037239318760165,0.00310346881941529,0.596178492195936,0.0537004558299419,0.794232649071359,0.163427148220388,0.709347177089113,0.206173759444908,33
"6","106",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,25863.9806979252,194586143.325474,795.641051270707,101725434.972695,0.229517255907946,0.0360992326619122,-0.032041404722478,0.00322224796699109,0.570980125422593,0.087398896282159,0.767073395219186,0.178671801566145,0.532608409814079,0.248936691609552,23
"7","107",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,27357.4100826225,189198928.89277,195.446070958476,80894736.3702186,0.255475412111045,0.0288948500241687,-0.016845556723177,0.0033907562270569,0.611000964972638,0.0657070809756234,0.815054574658376,0.150740614986805,0.83330696876407,0.13890646457354,55
"8","108",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,26268.2089338037,190313891.808265,864.754895975201,88363672.0400704,0.260336914045744,0.032146934237392,-0.00926812914493609,0.00281620376162496,0.602560910143151,0.0786293481278488,0.768271243197991,0.178030540072797,0.472068408778329,0.249219826211766,12
"9","109",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,22658.0705289974,222397341.531511,3862.76508136873,113110634.53594,0.206918224589962,0.0324952013508244,-0.0260272310805734,0.00248265311365843,0.527668924053977,0.0864810316905521,0.638731745822918,0.230753502700726,0.666503211299949,0.222276680627125,28
"10","110",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,25664.56807989,221128350.602334,1175.71137245945,77379060.6301314,0.238729509985742,0.0230388641905656,-0.025479131052919,0.00298115636836974,0.591336707857318,0.063119258047218,0.743192011002811,0.190857645784276,0.624852000239192,0.234411978036453,27
"11","201",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,15782.3849959785,145055679.690964,6565.18612789586,112498146.896089,0.151885127519146,0.0497489015820644,-0.0486976514265658,0.00213103339876346,0.421816029938409,0.120601902312757,0.526408150332692,0.249302609596141,0.794791488946842,0.163097978044259,34
"12","202",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,13521.4191264412,116459722.267595,7371.39298063484,119082110.251314,0.145065628864582,0.0589762526139177,-0.0350444251193325,0.00345334101814884,0.377802542795185,0.12920326274664,0.493673156963115,0.249959971057087,0.489319714873463,0.249885931509554,14
"13","203",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,12085.8081246562,102552205.133414,7037.60201733658,109092542.960801,0.147337345156575,0.0615138120308443,-0.0333480326111016,0.00402158031563232,0.355768857290462,0.129308708614219,0.479467125875966,0.249578401080312,0.699791920786396,0.210083188388337,34
"14","204",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,12533.346776219,144892537.72863,8968.3651292412,103478197.474023,0.0281896638133556,0.0462809188833417,-0.071088575105703,0.00205878716449833,0.221226671629201,0.135496167569043,0.369906593472307,0.233075705578185,0.771781899943789,0.176134598863392,49
"15","205",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,12982.7886150512,149961964.087797,8763.88232405414,97521167.1114307,0.0316192502537083,0.0422398751303933,-0.0703158279260527,0.00216462240918864,0.225127233998821,0.12892666008351,0.37381536507304,0.234077437908185,0.92799412196914,0.0668210315597941,75
"16","206",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,13765.8764066443,111864253.618129,5979.66122154465,118559337.713798,0.153670252656819,0.0558382162513031,-0.0314952118997488,0.00359447552468498,0.373666520830482,0.138142806766906,0.525202999246601,0.249364808828775,0.780665143923177,0.171227076986428,37
"17","207",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,15074.9727763792,160275792.878257,7276.94289633655,131705233.607556,0.103309126152626,0.0473982526616175,-0.0451062290610605,0.00291819657498745,0.327613985360307,0.133987418810957,0.473680881478577,0.249307304000574,0.567496110007717,0.245444275133776,20
"18","208",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,14505.8546654866,154892945.177768,8040.38018628845,132013228.737952,0.100082903197553,0.0528858870541241,-0.0452425959544165,0.00296027374896244,0.31560505935187,0.136403797336061,0.458439974167006,0.248272764252589,0.61787499701007,0.236105485079728,21
