fid,id,Trial Name,IDrow,layer,path,805ExG_mean,805ExG_variance,805ExR_mean,805ExR_variance,805gNDVI_mean,805gNDVI_variance,805NDRE_mean,805NDRE_variance,805NDVI_mean,805NDVI_variance,805THRESH_mean,805THRESH_variance,805HA_mean,805HA_variance,805PLTCOUNT_
"1","101",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,15088.4832015692,89896628.2300806,4965.68902713049,112828941.330295,0.273114884981189,0.0513415651771747,4965.68902713049,112828941.330295,0.545974524465905,0.0968152423130996,0.639213481802198,0.230619606484212,0.86378805095389,0.117658253983221,80
"2","102",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,15873.3800832456,166667854.100587,8593.35481867356,120502728.304251,0.148089044979803,0.0422758289761506,8593.35481867356,120502728.304251,0.41604713397687,0.104022049132028,0.505442062960482,0.249970383950815,0.838184992943765,0.135630910547599,128
"3","103",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,19226.0933847835,170198871.782078,4562.94364647685,109224340.805589,0.22312058122674,0.0381504755962451,4562.94364647685,109224340.805589,0.521913652652097,0.0891676104904389,0.65522869037246,0.225904053685019,0.74772469501231,0.188632475481499,84
"4","104",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,27089.0461219221,144379236.116332,-995.108389880416,73215870.9277422,0.28368568534181,0.030762563466671,-995.108389880416,73215870.9277422,0.655475183306783,0.0629104286274468,0.873336630916044,0.110619760016156,0.765519987451283,0.179499136263702,86
"5","105",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,27641.1035735518,120781363.940049,-1922.7445726162,43519740.1585361,0.300706033357306,0.0172756809994601,-1922.7445726162,43519740.1585361,0.681262962852174,0.0306773489713329,0.89342757117379,0.0952147462404195,0.835559430858864,0.137399868361507,98
"6","106",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,25495.9305352846,138537794.641868,-582.645260793681,82868656.8193292,0.303356400949744,0.0395346655436315,-582.645260793681,82868656.8193292,0.65014311889318,0.0717327227962354,0.862963985641592,0.118257145127067,0.739659207446948,0.192563464285805,68
"7","107",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,30108.7073710851,140149463.237123,-1705.19654126527,57630239.5687754,0.295835274311089,0.0239037898771272,-1705.19654126527,57630239.5687754,0.684300785612505,0.0409246883477272,0.902525977660429,0.0879728373085771,0.749069139227568,0.187964563884262,62
"8","108",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,25124.6217260267,144210817.32897,791.293176337282,82332367.865226,0.303453080896168,0.0279325439700375,791.293176337282,82332367.865226,0.645691317566627,0.0610349996730424,0.807950821632741,0.155166291455766,0.703747114614106,0.208487113286334,50
"9","109",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,24807.9704330977,167741154.637996,1374.2328313604,102961783.645452,0.281269905323082,0.0347223114297884,1374.2328313604,102961783.645452,0.625717537667141,0.075103194482092,0.78055665195498,0.171287965043883,0.656568072815128,0.225486438574904,66
"10","110",AYT Trial,,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,25596.6626841753,183313286.214349,476.479211985352,89604374.4992314,0.268711812738251,0.0322364824630721,476.479211985352,89604374.4992314,0.632821506168138,0.0693393694074233,0.820464982778416,0.147302194812495,0.63991245380503,0.230424505270428,56
