fid,id,Trial,Row,Column,MasonPlot#,layer,path,612ExR_mean,612ExR_variance,612NDRE_mean,612NDRE_variance,612gNDVI_mean,612gNDVI_variance,612THRESH_mean,612THRESH_variance,612PLTCOUNT,6-12HA_mean,6-12HA_median,612ExG_mean,612ExG_variance,612NDVI_mean,612NDVI_variance
"1","1001","2501","1","1","101",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,671.594432729755,1343151.36086745,-0.053288272714941,0.000360872153691398,-0.00643842840643473,0.00160790344855462,0.0387955834406422,0.0372904861461506,102,0.986257677656879,1,7.4717389517521,46.2188443170692,0.139557395399951,0.00339818960956482
"2","1002","2501","1","2","102",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,800.279946235681,1156436.86512864,-0.0488603111584347,0.000325544504439779,0.00877569548849643,0.00138809859257416,0.0386280203824448,0.0371358964237968,89,0.977964896932582,1,7.16188154073749,44.7979409888704,0.150305335254966,0.00299306842016853
"3","1003","2501","1","3","103",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,953.921390762599,1388954.19779287,-0.035283125130076,0.000452142594575943,0.039416415945438,0.00168408922290336,0.0568462002082078,0.0536147097301066,86,0.983286248063428,1,7.78143663360912,51.7181606888187,0.175652716273622,0.00362946208033064
"4","1004","2501","1","4","104",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,1174.99156052698,982977.695224461,-0.030888862846019,0.000365932243912533,0.0414157215178719,0.00124780228855246,0.030935744622551,0.0299787243271947,91,0.983176888726875,1,7.03975887107823,28.2152434546552,0.172005010709516,0.00208411499480864
"5","1005","2501","1","5","105",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,1222.50020286912,899865.260126333,-0.030955309640805,0.000229898268564495,0.0418729988298521,0.00140767379908223,0.0396734067620144,0.0380994275578875,81,0.978126936677482,1,7.23601293221546,30.7638496520888,0.17154984176756,0.0027378818507292
"6","1006","2501","2","1","201",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,773.79342506276,978034.470308011,-0.0221420103158866,0.000306403559387309,0.0516875655150825,0.00132522761062567,0.0450660237795189,0.0430350772801955,81,0.974408515912654,1,6.16004602487535,25.9865489869802,0.193225566402072,0.00236646290547335
"7","1007","2501","2","2","202",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,707.852495178889,1134517.09528212,-0.0272447607703029,0.000319772392272509,0.0518743853560157,0.00138872339003837,0.0556301553807788,0.0525354411930852,79,0.980406452200857,1,7.44060179222274,38.8067195852327,0.195310870979994,0.00295282228541094
"8","1008","2501","2","3","203",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,913.96337179704,1110646.3126095,-0.0284516828624057,0.000415808323870236,0.0571924432140762,0.0014051332555365,0.0369132114768025,0.0355506262952665,80,0.973170020414115,1,7.36765229782686,24.3765196013373,0.194247051791104,0.00199503279935451
"9","1009","2501","2","4","204",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,1001.67778401667,1294814.42029454,-0.0277673623212,0.000361769128878941,0.0591913502141867,0.00137375733328485,0.0316429686857894,0.0306416912185153,79,0.970070903887866,1,8.31760773677433,22.3359626724629,0.194530651077727,0.00161787545531854
"10","1010","2501","2","5","205",SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,1059.17530530441,874776.915460424,-0.0251320585770592,0.000203678247888449,0.0597572386596224,0.00121509628041871,0.0308134757600657,0.0298640054716437,75,0.952171773326285,1,8.20881950150644,18.8642552758228,0.193656756180757,0.00150425095986393
