fid,id,Mason ComboCode,Trial,Row,Column,DAS,MasonPlot#,612ExR_mean,612ExR_variance,612NDRE_mean,612NDRE_variance,612gNDVI_mean,612gNDVI_variance,612THRESH_mean,612THRESH_variance,612PLTCOUNT,6-12HA_mean
1,1001,25010101,2501,1,1,13,101,671.5944327,1343151.361,-0.053288273,0.000360872,-0.006438428,0.001607903,0.038795583,0.037290486,102,0.986257678
2,1002,25010102,2501,1,2,13,102,800.2799462,1156436.865,-0.048860311,0.000325545,0.008775695,0.001388099,0.03862802,0.037135896,89,0.977964897
3,1003,25010103,2501,1,3,13,103,953.9213908,1388954.198,-0.035283125,0.000452143,0.039416416,0.001684089,0.0568462,0.05361471,86,0.983286248
4,1004,25010104,2501,1,4,13,104,1174.991561,982977.6952,-0.030888863,0.000365932,0.041415722,0.001247802,0.030935745,0.029978724,91,0.983176889
5,1005,25010105,2501,1,5,13,105,1222.500203,899865.2601,-0.03095531,0.000229898,0.041872999,0.001407674,0.039673407,0.038099428,81,0.978126937
6,1006,25010201,2501,2,1,13,201,773.7934251,978034.4703,-0.02214201,0.000306404,0.051687566,0.001325228,0.045066024,0.043035077,81,0.974408516
7,1007,25010202,2501,2,2,13,202,707.8524952,1134517.095,-0.027244761,0.000319772,0.051874385,0.001388723,0.055630155,0.052535441,79,0.980406452
8,1008,25010203,2501,2,3,13,203,913.9633718,1110646.313,-0.028451683,0.000415808,0.057192443,0.001405133,0.036913211,0.035550626,80,0.97317002
9,1009,25010204,2501,2,4,13,204,1001.677784,1294814.42,-0.027767362,0.000361769,0.05919135,0.001373757,0.031642969,0.030641691,79,0.970070904
10,1010,25010205,2501,2,5,13,205,1059.175305,874776.9155,-0.025132059,0.000203678,0.059757239,0.001215096,0.030813476,0.029864005,75,0.952171773
11,1011,25010301,2501,3,1,13,301,833.4312863,924459.1051,-0.025203678,0.000270424,0.049067722,0.001359212,0.040916441,0.039242285,87,0.974118762
12,1012,25010302,2501,3,2,13,302,815.8122903,790082.4298,-0.029163093,0.000261132,0.044895503,0.001168937,0.036793513,0.03543975,83,0.97306115
13,1013,25010303,2501,3,3,13,303,831.4443421,1108766.493,-0.026884449,0.000388967,0.056061144,0.00170535,0.062179856,0.058313521,74,0.970835916
14,1014,25010304,2501,3,4,13,304,968.0676471,974329.7644,-0.026309096,0.00034094,0.054827404,0.001504074,0.047133898,0.044912293,75,0.974774906
15,1015,25010305,2501,3,5,13,305,960.3937542,911536.9686,-0.026597692,0.000240714,0.048616914,0.001399893,0.048130393,0.045813858,67,0.946175999
16,1016,25010401,2501,4,1,13,401,1094.256893,1040074.484,-0.031810831,0.000710233,0.057532702,0.001613649,0.041792189,0.040045602,71,0.958189804
