fid,id,Trial,Row,Column,MasonPlot#,layer,path,620ExG_mean,Exg_Var,620ExR_mean,620ExR_variance,620NDVI_mean,620NDVI_variance,620gNDVI_mean,620gNDVI_variance,620NDRE_mean,620NDRE_variance,620THRESH_mean,620THRESH_variance,620PLT
1,1001,2501,1,1,101,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,13.82334827,,41.95994062,203.6380103,0.202414974,0.016609535,0.052375405,0.003755579,-0.034275202,0.000955899,0.180775893,0.148095969,27
2,1002,2501,1,2,102,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,14.80847905,,43.13977235,178.8689503,0.20029112,0.015562001,0.04830629,0.003214548,-0.036873269,0.001044144,0.173127681,0.143154487,28
3,1003,2501,1,3,103,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.14565295,,42.7882906,199.7473283,0.20982101,0.017454741,0.052641407,0.003435532,-0.038610664,0.001123639,0.197190841,0.158306613,20
4,1004,2501,1,4,104,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,14.77708459,,45.85305888,184.6015879,0.186958159,0.012722827,0.041173112,0.002799835,-0.041061726,0.001118605,0.155994064,0.131659916,33
5,1005,2501,1,5,105,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.67122874,,44.37214939,236.7563354,0.179966279,0.015259627,0.033147079,0.003018156,-0.036461912,0.001142082,0.160359469,0.13464431,32
6,1006,2501,2,1,201,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,14.89102405,,44.16568522,186.1222049,0.197590532,0.013866357,0.052162067,0.003309913,-0.037405981,0.000958132,0.159752577,0.134231691,27
7,1007,2501,2,2,202,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,16.18615457,,43.58837049,190.1075631,0.205232923,0.015517694,0.054657593,0.003146861,-0.038587349,0.000862395,0.175569791,0.144745039,33
8,1008,2501,2,3,203,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.02972066,,45.49179039,238.6916568,0.196560283,0.014932253,0.052597556,0.00355156,-0.039363334,0.000887448,0.158748488,0.133547405,35
9,1009,2501,2,4,204,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.91201298,,47.61037697,217.846895,0.184465981,0.011735282,0.046055339,0.003047843,-0.039618571,0.001015596,0.131210646,0.113994413,47
10,1010,2501,2,5,205,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,17.50010993,,49.04295607,221.902831,0.182198232,0.010956044,0.044095761,0.00272259,-0.038816976,0.000741528,0.133677788,0.115808037,42
11,1011,2501,3,1,301,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,14.04081352,,42.05507214,269.9939598,0.198815161,0.015639786,0.057591952,0.004407417,-0.032106942,0.001061449,0.164243507,0.137267577,29
12,1012,2501,3,2,302,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,15.53929033,,44.00883929,186.310603,0.185547989,0.012246606,0.041573426,0.00263361,-0.037624543,0.000969543,0.144820383,0.12384744,37
13,1013,2501,3,3,303,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,16.44885505,,44.02160156,206.7631886,0.196506528,0.015099982,0.043124943,0.003555737,-0.039951791,0.001281575,0.179234131,0.147109258,36
14,1014,2501,3,4,304,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,16.40963193,,45.21760906,247.2236035,0.183466082,0.013906398,0.035965053,0.003985931,-0.041761827,0.001395707,0.14766761,0.125861887,42
15,1015,2501,3,5,305,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,17.9339895,,47.04070051,246.0722553,0.186475283,0.013440721,0.0359377,0.003238454,-0.040870793,0.001012569,0.155829874,0.131546924,33
16,1016,2501,4,1,401,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,13.04409501,,42.65858807,224.9501081,0.200547921,0.013441637,0.059295005,0.002967426,-0.029876993,0.001132558,0.155377172,0.131235106,29
17,1017,2501,4,2,402,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,11.63106823,,43.58698664,173.1793665,0.189556054,0.011543585,0.050597899,0.002817522,-0.034087585,0.000961391,0.138270383,0.119151684,36
18,1018,2501,4,3,403,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,13.365855,,41.06997746,248.0748229,0.210956513,0.017117868,0.055994862,0.003861446,-0.038236634,0.001259285,0.196669049,0.157990334,18
19,1019,2501,4,4,404,SVREC 2501 Polygon with Plot# — polygon,E:/Michigan QGIS files/Plot Files (points)/SVREC 2501 Polygon with Plot#.gpkg|layername=polygon,12.01450749,,43.4585465,221.4732892,0.184231339,0.011799404,0.037889759,0.003182055,-0.041103051,0.001533534,0.14153043,0.121499567,40
