fid,id,Trial,Row,Column,Combocode,MasonPlot#,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,612PLTCOUNT,6-12HA_mean,,NDRE_mean,NDRE_Var
1,1001,2501,1,1,25010101,101,25,11.97718694,276.3537659,421.5957819,2736788.319,0.193005426,0.021275231,0.039160438,0.012540576,-0.031780463,0.001969157,0.194540183,0.1566943,0.69157158,24,,,
2,1002,2501,1,2,25010102,102,25,10.12218606,215.746087,555.1023608,2026439.381,0.190022291,0.016247817,0.040199479,0.009213934,-0.034986539,0.001327017,0.180010394,0.147606652,0.685647625,25,,,
3,1003,2501,1,3,25010103,103,25,12.02551341,284.5099181,432.6111789,2456307.282,0.220800163,0.019046823,0.069059264,0.010332782,-0.029863792,0.001453906,0.230386393,0.177308503,0.707934598,29,,,
4,1004,2501,1,4,25010104,104,25,12.55844227,353.0946401,533.2858833,3345025.883,0.215649584,0.017809316,0.067536869,0.008925174,-0.030780761,0.001655333,0.212246349,0.167197836,0.836732462,51,,,
5,1005,2501,1,5,25010105,105,25,8.951828651,149.7065998,903.5386711,1710379.348,0.197139254,0.013244678,0.058844282,0.007699088,-0.0283232,0.000844452,0.164865826,0.137685085,0.837224561,40,,,
6,1006,2501,2,1,25010201,201,25,10.72686236,194.567313,784.444839,2344062.173,0.215495827,0.014956565,0.074459427,0.008677521,-0.029912712,0.0009618,0.184034142,0.150165577,0.758411402,34,,,
7,1007,2501,2,2,25010202,202,25,11.28456952,206.5201306,754.4334207,2181643.046,0.220880127,0.016505351,0.078661085,0.00929332,-0.031540259,0.000858872,0.202959195,0.16176676,0.75658926,32,,,
8,1008,2501,2,3,25010203,203,25,9.209628009,141.4328613,990.7673905,1750500.981,0.20831154,0.01407062,0.073542549,0.008458629,-0.030775366,0.000975271,0.173222101,0.143216205,0.866805183,39,,,
9,1009,2501,2,4,25010204,204,25,9.948864569,182.4447997,1021.3378,2593541.812,0.204789124,0.013748124,0.069914779,0.007441091,-0.03038517,0.00097525,0.163638851,0.136861177,0.762216349,36,,,
10,1010,2501,2,5,25010205,205,25,9.16285558,135.985896,1081.199497,2034321.222,0.200958204,0.011672505,0.067332533,0.006397921,-0.028877927,0.000690138,0.15571663,0.131468961,0.828889091,40,,,
11,1011,2501,3,1,25010301,301,25,9.743464231,140.1272817,953.2394008,2288934.247,0.216973695,0.016507505,0.081212097,0.010875356,-0.026035684,0.001125576,0.198643623,0.159184334,0.820360919,41,,,
12,1012,2501,3,2,25010302,302,25,8.26757289,104.8185913,1091.47313,1644053.4,0.191860187,0.010889864,0.058073585,0.006618357,-0.035207822,0.000833671,0.146572945,0.125089317,0.854960719,38,,,
13,1013,2501,3,3,25010303,303,25,11.64715216,232.7253644,766.9558132,2844207.353,0.222216289,0.016563154,0.08071302,0.008821655,-0.03073803,0.000933455,0.219292006,0.171203022,0.566744432,24,,,
14,1014,2501,3,4,25010304,304,25,9.541109562,158.7880524,1018.376408,2410222.595,0.200163521,0.013496286,0.064186502,0.007588796,-0.033826029,0.000732071,0.159899379,0.134331568,0.830265029,46,,,
15,1015,2501,3,5,25010305,305,25,10.43101704,156.2305286,984.400186,2368345.837,0.201031255,0.013672721,0.064056019,0.007488426,-0.029952527,0.000622762,0.169524435,0.140785901,0.685022147,24,,,
