fid,id,Trial,Row,Column,Combocode,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,6-12HA_mean,612PLTCOUNT
fid,id,Trial,Row,Column,,MasonPlot#,,,701ExG_mean,701ExG_variance,701ExR_mean,701ExR_variance,701NDVI_mean,701NDVI_variance,701gNDVI_mean,701gNDVI_variance,701gNDRE_mean,701gNDRE_variance,701THRESH_mean,701THRESH_variance,701HA_mean,701PLT_
1,1001,2501,1,1,25010101,101,7/1/2025,32,32.51247648,1173.480039,34.07545883,1009.287816,0.287995682,0.041833747,0.105987894,0.020369131,-0.032596393,0.001719771,0.38904797,0.237689647,0.238394663,7
2,1002,2501,1,2,25010102,102,7/1/2025,32,32.48077867,1050.627677,32.78933421,879.1431393,0.289825558,0.040098231,0.10844226,0.018775602,-0.032917813,0.001437594,0.387943726,0.237443392,0.197189516,6
3,1003,2501,1,3,25010103,103,7/1/2025,32,39.03678756,1225.76715,25.28344149,849.2263296,0.335787584,0.040226679,0.141521592,0.017127289,-0.024937058,0.001159873,0.461712572,0.248534073,0.127200817,4
4,1004,2501,1,4,25010104,104,7/1/2025,32,27.69420586,812.980873,33.99954192,621.2570127,0.277820239,0.03322577,0.104915427,0.013856701,-0.030684115,0.001047134,0.356428085,0.229387105,0.351876492,13
5,1005,2501,1,5,25010105,105,7/1/2025,32,26.78860414,667.0639814,33.41066521,558.4504202,0.286184586,0.035434005,0.11489072,0.015315576,-0.026716218,0.000873771,0.372791712,0.233818051,0.248149903,8
6,1006,2501,2,1,25010201,201,7/1/2025,32,25.27229369,979.2107411,43.03194702,926.8552243,0.266921527,0.037322706,0.10096059,0.018166889,-0.026198465,0.001535631,0.346996621,0.226589966,0.464391827,22
7,1007,2501,2,2,25010202,202,7/1/2025,32,27.86940756,1062.828389,42.11310011,1027.673992,0.281566088,0.042831859,0.112432625,0.019687021,-0.030517267,0.001380664,0.373783364,0.234069361,0.181259797,5
8,1008,2501,2,3,25010203,203,7/1/2025,32,25.8103998,870.7167021,39.94060993,849.6784944,0.268726403,0.040339327,0.104368319,0.017382449,-0.034136655,0.00105634,0.356961818,0.229540079,0.188542369,6
9,1009,2501,2,4,25010204,204,7/1/2025,32,21.47158239,698.8491107,44.55552949,701.782056,0.228432704,0.033778524,0.074708839,0.014161216,-0.038746282,0.000941081,0.277961019,0.200698691,0.450512194,18
10,1010,2501,2,5,25010205,205,7/1/2025,32,20.51751206,527.9592521,45.67525415,567.0209293,0.229031806,0.03083936,0.077872519,0.013044883,-0.038572379,0.000807486,0.271525525,0.197799414,0.456973077,13
11,1011,2501,3,1,25010301,301,7/1/2025,32,25.31750273,939.5019728,45.39162486,1212.322257,0.263630676,0.044525243,0.116735312,0.023636946,-0.028935723,0.00244153,0.35785169,0.229793858,0.605752406,26
12,1012,2501,3,2,25010302,302,7/1/2025,32,19.74666703,629.5250151,51.14225578,921.6230735,0.207260502,0.034609701,0.068425715,0.016782478,-0.042450753,0.001637794,0.261402983,0.193071463,0.401013378,13
13,1013,2501,3,3,25010303,303,7/1/2025,32,27.1867023,839.422762,40.6404167,793.4534545,0.25711363,0.03687375,0.094318695,0.01520841,-0.038594931,0.001047806,0.355350715,0.229076584,0.260608049,9
14,1014,2501,3,4,25010304,304,7/1/2025,32,23.03887359,798.569489,43.82319875,783.0791538,0.233686569,0.035992288,0.077920476,0.014864814,-0.039498576,0.000999632,0.300275332,0.210110057,0.48629388,17
15,1015,2501,3,5,25010305,305,7/1/2025,32,19.53025222,563.5335565,48.20244852,717.141533,0.222064963,0.033850388,0.074982994,0.014721473,-0.034615258,0.000991418,0.273974097,0.198912291,0.470172241,17
16,1016,2501,4,1,25010401,401,7/1/2025,32,25.48117451,1021.823135,45.45885111,963.8338874,0.230936625,0.036806816,0.077986866,0.01692056,-0.032504355,0.001636751,0.30300717,0.211193825,0.544299645,20
17,1017,2501,4,2,25010402,402,7/1/2025,32,24.63138527,834.7001097,43.67903831,820.6082032,0.232178263,0.037272352,0.077328065,0.016041987,-0.037759558,0.001228469,0.316905632,0.216476452,0.15962236,5
18,1018,2501,4,3,25010403,403,7/1/2025,32,29.42689644,896.5639556,34.18272891,787.1829758,0.272569665,0.042280742,0.112087258,0.018289003,-0.033079175,0.00112959,0.392267001,0.238393601,0.14583865,4
