fid,id,Trial,Row,Column,MasonPlot#,layer,path,716ExG_mean,716ExG_variance,716ExR_mean,716ExR_variance,716gNDVI_mean,716gNDVI_variance,716NDVI_mean,716NDVI_variance,716THRESH_mean,716THRESH_variance,716HA_mean,716HA_variance,716PLT_,,,,,717NDRE_mean,717NDRE_variance
fid,id,Trial,Row,Column,Combocode,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA Mean,PLT COUNT,,,,
1,1001,2501,1,1,25010101,101,7/16/2025,47,78.34937164,1400.62935,-2009.151553,6193249.871,0.469328238,0.041240211,0.255870569,0.020662972,-0.011557795,0.001054959,0.772537688,0.175723209,0.229899933,6,,,,
2,1002,2501,1,2,25010102,102,7/16/2025,47,71.2619554,1249.393727,-1689.454343,5356257.562,0.455358568,0.040731698,0.251597589,0.020773259,-0.006441787,0.001074501,0.750777033,0.18711088,0.175148555,6,,,,
3,1003,2501,1,3,25010103,103,7/16/2025,47,86.29327225,1414.343728,-2795.965028,5864769.362,0.505034453,0.030006007,0.27068886,0.014727034,-0.009815394,0.001063743,0.828765442,0.141913284,0.348212821,12,,,,
4,1004,2501,1,4,25010104,104,7/16/2025,47,73.09354126,1349.964559,-2130.67185,6511490.465,0.442548402,0.035418795,0.224168884,0.017012413,-0.019572727,0.001196051,0.747239565,0.188872598,0.345983486,19,,,,
5,1005,2501,1,5,25010105,105,7/16/2025,47,67.8730228,1100.263139,-1825.055334,4954202.565,0.460197798,0.037152176,0.251860998,0.019476221,-0.00251827,0.000979227,0.760608705,0.182083103,0.193872344,5,,,,
6,1006,2501,2,1,25010201,201,7/16/2025,47,75.54212105,1417.698062,-1510.398468,9602938.879,0.396026526,0.048736606,0.194005202,0.021133155,-0.032263273,0.001138691,0.703953108,0.20840313,0.315404804,13,,,,
7,1007,2501,2,2,25010202,202,7/16/2025,47,89.40969799,1434.082883,-2562.907272,8610158.923,0.467161599,0.039193303,0.237169412,0.016573209,-0.029443891,0.00104669,0.804241169,0.157437311,0.325969268,11,,,,
8,1008,2501,2,3,25010203,203,7/16/2025,47,74.2317462,1377.703591,-1444.649854,9791930.738,0.385263561,0.047536956,0.183985105,0.019239043,-0.037454193,0.000972799,0.694993323,0.211977604,0.500956929,23,,,,
9,1009,2501,2,4,25010204,204,7/16/2025,47,76.12156157,1453.538316,-1666.340728,11429367.73,0.413119675,0.052763828,0.208934658,0.022778085,-0.028540352,0.001425232,0.728551566,0.197764182,0.217969049,10,,,,
10,1010,2501,2,5,25010205,205,7/16/2025,47,62.80051785,1163.716953,-622.4094796,10134342.31,0.332575023,0.051000638,0.153338419,0.021834693,-0.03782242,0.001168031,0.633224312,0.232251283,0.502488106,27,,,,
11,1011,2501,3,1,25010301,301,7/16/2025,47,58.76618774,1343.466965,314.5992747,15357804.68,0.27033052,0.066283939,0.113141222,0.026635797,-0.055091852,0.001130594,0.556176559,0.246844194,0.712041121,52,,,,
12,1012,2501,3,2,25010302,302,7/16/2025,47,71.01270898,1464.212509,-818.6623226,13831583,0.339143942,0.059955246,0.151460342,0.023511817,-0.045668219,0.000980521,0.659721275,0.224489114,0.42805067,13,,,,
13,1013,2501,3,3,25010303,303,7/16/2025,47,88.29553696,1334.754611,-2520.628289,9970914.626,0.413114205,0.03680785,0.181082814,0.013811595,-0.046659175,0.001233402,0.769650209,0.177288765,0.249462326,10,,,,
14,1014,2501,3,4,25010304,304,7/16/2025,47,80.65767878,1625.322768,-1958.426659,12737475.71,0.387508852,0.051613386,0.170069667,0.019717338,-0.047876937,0.001473115,0.707080346,0.20711773,0.323830702,12,,,,
15,1015,2501,3,5,25010305,305,7/16/2025,47,63.46153636,1195.229296,-868.2943525,11122954.76,0.339741315,0.05704515,0.152603972,0.024555673,-0.033317783,0.001297249,0.64724169,0.228319885,0.233801739,6,,,,
16,1016,2501,4,1,25010401,401,7/16/2025,47,83.5262254,1563.361683,-1793.461268,12444760.22,0.363303364,0.047352316,0.148245802,0.018108842,-0.058352783,0.001893421,0.691210948,0.213438373,0.701542051,45,,,,
17,1017,2501,4,2,25010402,402,7/16/2025,47,84.55292995,1478.404735,-1919.286263,11097081.27,0.379534305,0.04448796,0.162415682,0.017177213,-0.054050712,0.001287361,0.728427364,0.197820939,0.378041446,15,,,,
18,1018,2501,4,3,25010403,403,7/16/2025,47,92.99512009,1176.467657,-2570.677195,7095046.054,0.464086689,0.03022582,0.233909351,0.012777059,-0.030421236,0.001202266,0.831329571,0.140220715,0.555444173,26,,,,
19,1019,2501,4,4,25010404,404,7/16/2025,47,80.02132068,1401.860552,-1475.558002,10335666.04,0.382401704,0.043675223,0.181106317,0.016961788,-0.040873042,0.001601575,0.719832052,0.201673869,0.435216916,23,,,,
