fid,id,Trial,Row,Column,MasonPlot#,,,716ExG_mean,716ExG_variance,716ExR_mean,716ExR_variance,716gNDVI_mean,716gNDVI_variance,716NDVI_mean,716NDVI_variance,716THRESH_mean,716THRESH_variance,716HA_mean,716HA_variance,716PLT_,,
fid,id,Trial,Row,Column,Combocode,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA Mean,PLT COUNT
1,1001,2501,1,1,,101,,,78.34937164,1400.62935,-2009.151553,6193249.871,0.255870569,0.020662972,0.469328238,0.041240211,,,0.772537688,0.175723209,0.229899933,6
2,1002,2501,1,2,,102,,,71.2619554,1249.393727,-1689.454343,5356257.562,0.251597589,0.020773259,0.455358568,0.040731698,,,0.750777033,0.18711088,0.175148555,6
3,1003,2501,1,3,,103,,,86.29327225,1414.343728,-2795.965028,5864769.362,0.27068886,0.014727034,0.505034453,0.030006007,,,0.828765442,0.141913284,0.348212821,12
4,1004,2501,1,4,,104,,,73.09354126,1349.964559,-2130.67185,6511490.465,0.224168884,0.017012413,0.442548402,0.035418795,,,0.747239565,0.188872598,0.345983486,19
5,1005,2501,1,5,,105,,,67.8730228,1100.263139,-1825.055334,4954202.565,0.251860998,0.019476221,0.460197798,0.037152176,,,0.760608705,0.182083103,0.193872344,5
6,1006,2501,2,1,,201,,,75.54212105,1417.698062,-1510.398468,9602938.879,0.194005202,0.021133155,0.396026526,0.048736606,,,0.703953108,0.20840313,0.315404804,13
7,1007,2501,2,2,,202,,,89.40969799,1434.082883,-2562.907272,8610158.923,0.237169412,0.016573209,0.467161599,0.039193303,,,0.804241169,0.157437311,0.325969268,11
8,1008,2501,2,3,,203,,,74.2317462,1377.703591,-1444.649854,9791930.738,0.183985105,0.019239043,0.385263561,0.047536956,,,0.694993323,0.211977604,0.500956929,23
9,1009,2501,2,4,,204,,,76.12156157,1453.538316,-1666.340728,11429367.73,0.208934658,0.022778085,0.413119675,0.052763828,,,0.728551566,0.197764182,0.217969049,10
10,1010,2501,2,5,,205,,,62.80051785,1163.716953,-622.4094796,10134342.31,0.153338419,0.021834693,0.332575023,0.051000638,,,0.633224312,0.232251283,0.502488106,27
11,1011,2501,3,1,,301,,,58.76618774,1343.466965,314.5992747,15357804.68,0.113141222,0.026635797,0.27033052,0.066283939,,,0.556176559,0.246844194,0.712041121,52
