fid,id,Trial,Row,Column,MasonPlot#,layer,path,,723ExG_mean,723ExG_variance,723ExR_mean,723ExR_variance,723NDVI_mean,723NDVI_variance,723gNDVI_mean,723gNDVI_variance,723NDRE_mean,723NDRE_variance,723THRESH_mean,723THRESH_variance,723HA_mean,
fid,id,Trial,Row,Column,Combocode,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDRE_mean,NDRE_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,THRESH_mean,THRESH_Var,HA Mean,PLT COUNT
1,1001,2501,1,1,25010101,101,7/23/2025,55,47.015759,660.5348202,-934.8006773,4941063.525,0.467625713,0.036653965,0.293357664,0.023651074,0.019097422,0.002845967,0.808324685,0.154935889,0.958864162,101
2,1002,2501,1,2,25010102,102,7/23/2025,55,43.4146095,591.5538499,-784.6733859,4678202.416,0.420935821,0.032162293,0.24621859,0.018434174,0.0070788,0.002167864,0.761906062,0.181405215,0.927095104,93
3,1003,2501,1,3,25010103,103,7/23/2025,55,52.91454789,655.8142289,-1664.942365,4496650.246,0.455270651,0.024599179,0.250450663,0.014125468,-0.001381755,0.001704248,0.829887757,0.141174068,0.924125613,92
4,1004,2501,1,4,25010104,104,7/23/2025,55,42.41086054,575.2991143,-1083.966343,5597591.416,0.368533513,0.028453097,0.175967505,0.015519744,-0.021691027,0.001732692,0.69100142,0.213518458,0.972913857,121
5,1005,2501,1,5,25010105,105,7/23/2025,55,45.47675879,601.1771964,-1248.834668,5151615.677,0.402026294,0.026983599,0.208809281,0.01497603,-0.003272179,0.001437811,0.751065108,0.186966311,0.864147573,66
6,1006,2501,2,1,25010201,201,7/23/2025,55,48.09246772,689.8279454,-834.8476233,5848804.211,0.396364804,0.031812982,0.21787346,0.017923702,-0.003613788,0.001853798,0.730950886,0.196661688,0.985582269,140
7,1007,2501,2,2,25010202,202,7/23/2025,55,56.13250314,639.6454502,-1439.201775,4461279.561,0.475711547,0.028073684,0.279687993,0.015988181,0.002299237,0.001667658,0.848517123,0.128535815,0.965479532,100
8,1008,2501,2,3,25010203,203,7/23/2025,55,48.34041391,635.0331382,-1026.683411,4350734.016,0.375800507,0.025773265,0.186219995,0.013538872,-0.026161749,0.001426233,0.712417408,0.204878845,0.972475392,158
9,1009,2501,2,4,25010204,204,7/23/2025,55,38.35167837,458.9105998,-589.8750007,5023395.801,0.369637724,0.03528125,0.192502646,0.020426293,-0.012309982,0.002111164,0.703274793,0.208679358,0.969395381,159
