fid,id,Trial,Row,Column,,MasonPlot#,,,709ExG_mean,709ExG_variance,709ExR_mean,709ExR_variance,709gNDVI_mean,709gNDVI_variance,709gNDRE_mean,709gNDRE_variance,709NDVI_mean,709NDVI_variance,709THRESH_mean,709THRESH_variance,709PltCounts_,709HA_mean
fid,id,Trial,Row,Column,Combocode,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA Mean,PLT COUNT
1,1001,2501,1,1,25010101,101,7/09/2025,40,26.63939044,521.4083963,37.42752034,662.0283131,0.291947063,0.040225748,0.12648803,0.023987345,-0.026720839,0.002093144,0.463395397,0.248660103,0.983796592,252
2,1002,2501,1,2,25010102,102,7/09/2025,40,28.62208451,684.0240531,37.90407325,870.3256819,0.294945339,0.049606294,0.123701396,0.030511328,-0.030984068,0.002394261,0.475971831,0.249422647,0.84117958,160
3,1003,2501,1,3,25010103,103,7/09/2025,40,29.60334582,724.3479743,33.67824935,622.9929377,0.315012485,0.04354989,0.139598547,0.023900617,-0.021452483,0.001588253,0.486382967,0.249814576,0.968596216,173
4,1004,2501,1,4,25010104,104,7/09/2025,40,29.64635314,809.2228359,35.30702337,709.8992209,0.302542749,0.048712887,0.126451352,0.027064302,-0.028687696,0.001833622,0.468797522,0.249026405,0.84057522,158
5,1005,2501,1,5,25010105,105,7/09/2025,40,26.15261112,547.5113839,38.44196383,501.595317,0.28380708,0.037325644,0.109047467,0.020053764,-0.031987904,0.001354712,0.472593093,0.249248861,0.98346761,302
6,1006,2501,2,1,25010201,201,7/09/2025,40,23.00853449,478.0290233,47.96841393,782.5175801,0.244070225,0.043127838,0.091929166,0.024028899,-0.046752615,0.002650548,0.416049348,0.242952288,0.980587656,406
7,1007,2501,2,2,25010202,202,7/09/2025,40,22.94569473,610.7004281,47.78104386,1017.288567,0.237457291,0.054626865,0.081068138,0.032126877,-0.053177175,0.002731119,0.418049179,0.243284063,0.91690816,244
8,1008,2501,2,3,25010203,203,7/09/2025,40,23.75113352,596.1920011,41.29915233,760.6903657,0.253559508,0.051290613,0.095359876,0.028424782,-0.047072809,0.001840142,0.432228449,0.245407017,0.972532079,267
9,1009,2501,2,4,25010204,204,7/09/2025,40,22.38004731,657.4279862,44.44562707,805.9476975,0.225278731,0.054015189,0.070404847,0.029789329,-0.056826522,0.001972497,0.398997578,0.239798511,0.928844822,290
10,1010,2501,2,5,25010205,205,7/09/2025,40,18.899096,432.3500932,48.01800669,560.1981408,0.204138142,0.03904205,0.049058459,0.020976216,-0.056796789,0.001461325,0.355121237,0.229010144,0.979168185,373
11,1011,2501,3,1,25010301,301,7/09/2025,40,23.68365766,561.5745734,50.56432454,885.7270104,0.227029997,0.046236297,0.075442681,0.024968247,-0.053506273,0.00208433,0.404770622,0.240931365,0.977035376,453
12,1012,2501,3,2,25010302,302,7/09/2025,40,19.7197533,551.2175359,55.10046187,1000.412773,0.183399034,0.052811981,0.042639665,0.030004062,-0.06675319,0.002325389,0.351779881,0.228030796,0.871201764,260
13,1013,2501,3,3,25010303,303,7/09/2025,40,23.32713807,600.5607456,47.7652502,732.499536,0.194925191,0.047191429,0.043572962,0.023212157,-0.067225483,0.00154801,0.37695362,0.234859588,0.93487058,341
14,1014,2501,3,4,25010304,304,7/09/2025,40,22.62567568,601.97362,46.64777027,788.6253886,0.190391586,0.052809361,0.039654699,0.027278271,-0.068933823,0.001826602,0.38651464,0.237121073,0.925782816,420
15,1015,2501,3,5,25010305,305,7/09/2025,40,23.09616846,521.4396973,43.10925929,543.2662204,0.218187251,0.042830863,0.062648687,0.020690933,-0.053936004,0.001315128,0.414121224,0.242624836,0.993255805,444
16,1016,2501,4,1,25010401,401,7/09/2025,40,32.95478094,653.520255,33.42805496,655.6879323,0.297908727,0.045175375,0.12542346,0.023048325,-0.034892316,0.001647143,0.538095506,0.248548732,0.986621952,461
17,1017,2501,4,2,25010402,402,7/09/2025,40,29.64876359,872.6950017,42.35522445,1012.715924,0.229212905,0.061400169,0.064446923,0.03198589,-0.060906599,0.002196173,0.455021686,0.247976951,0.874102293,305
18,1018,2501,4,3,25010403,403,7/09/2025,40,26.67119198,624.2522954,39.10835961,680.2060627,0.223737313,0.049562153,0.069607341,0.02419783,-0.05672862,0.001536343,0.423501577,0.244147991,0.986165035,364
19,1019,2501,4,4,25010404,404,7/09/2025,40,29.15454801,721.6355911,37.44059138,806.6675931,0.234618925,0.059604835,0.075301052,0.030603421,-0.057458774,0.002174113,0.474119966,0.249330224,0.949132463,403
20,1020,2501,4,5,25010405,405,7/09/2025,40,26.18878815,622.1431235,39.60398129,547.9772637,0.219780789,0.04557674,0.065505282,0.021473612,-0.052605461,0.001369742,0.42226039,0.243956553,0.982685087,450
21,1021,2501,5,1,25010501,501,7/09/2025,40,34.4704557,805.6686619,34.40875345,777.9873464,0.299502322,0.052799512,0.135776667,0.027401855,-0.0374996,0.001993483,0.534754689,0.248792112,0.977855542,399
22,1022,2501,5,2,25010502,502,7/09/2025,40,36.52962222,964.0450489,33.61738176,1003.231378,0.289448322,0.066410376,0.122289984,0.033996198,-0.049050762,0.002304589,0.557145674,0.246734372,0.930004922,327
23,1023,2501,5,3,25010503,503,7/09/2025,40,26.53549896,615.0873604,40.86385304,598.5700411,0.205183998,0.046037401,0.05804424,0.021621601,-0.062694029,0.001446856,0.403194906,0.240628774,0.984416579,377
24,1024,2501,5,4,25010504,504,7/09/2025,40,27.3270233,792.0260454,40.46348347,752.9380421,0.182824727,0.060543961,0.034362355,0.029423319,-0.07399361,0.001996699,0.409110116,0.241739029,0.885612219,416
