Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Mason Plot #,Identity1,Description1,Name1 (Row Spacing),Name2 (Planting Density),Name3 (variety),Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Common Bacterial Blight,Lodging,Height,Desirability score,White Mold,anthracnose,Flowering Date,Maturity Date,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,17A4AB3390,1,,LODS,1,1001,,,"30""",100000,Nautica,1,1,39,19.8,1772,2280,,,,,,,2024-07-24,2024-09-01,,0,1,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17DD20C9A0,1,,LODS,2,2001,,,"30""",100000,CLERK,2,1,67,23.8,635,776,,,,,,,2024-07-23,2024-09-01,,0,2,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1143BB41EA,1,,LODS,3,3001,,,"30""",100000,Windbreaker,3,1,42,21.2,1586,2005,,,,,,,2024-07-21,2024-08-23,,0,3,,,,,,,,,,,,,,,,,,,,,,,
24101-n,197BBB7845,1,,LODS,4,4001,,,"30""",100000,Zorro,4,1,27,21.5,1519,1913,,,,,,,2024-07-21,2024-08-24,,0,4,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1A09581714,1,,LODS,5,5001,,,"30""",100000,Eclipse,5,1,26,19.4,1534,1984,,,,,,,2024-07-23,2024-08-26,,0,5,,,,,,,,,,,,,,,,,,,,,,,
24101-n,178E433348,1,,LODS,6,6001,,,"30""",100000,Apex,6,1,52,25.6,1417,1692,,,,,,,2024-07-20,2024-09-01,,0,6,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1647132305,1,,LODS,7,7001,,,"30""",100000,Redhawk,7,1,,,,,,,,,,,2024-07-17,2024-08-21,,0,7,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1A2F8E059F,1,,LODS,8,8001,,,"30""",100000,ETNA,8,1,41,18.2,851,1117,,,,,,,2024-07-16,2024-08-19,,0,8,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1047A4D661,1,,LODS,9,9001,,,"30""",100000,black bear,9,1,25,19.6,1633,2107,,,,,,,2024-07-26,2024-08-30,,0,9,,,,,,,,,,,,,,,,,,,,,,,
24101-n,161743762B,1,,LODS,10,10001,,,"30""",100000,Ronnies red,10,1,72,23,590,729,,,,,,,2024-07-24,2024-09-02,,0,10,,,,,,,,,,,,,,,,,,,,,,,
24101-n,11FBF792FB,1,,LODS,11,11001,,,"30""",100000,T9905,11,1,26,21.3,1675,2115,,,,,,,2024-07-26,2024-08-30,,0,11,,,,,,,,,,,,,,,,,,,,,,,
