fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,Plot Numbe,meanHA22_count,meanHA22_sum,meanHA22_mean
"1813",2024/06/05,12:30:46pm,4.71,"905",U-1,45.43272682,-73.9390612,39.019,"0","0",,"1",500930c674ca6910,"1001",76001,75920,0.998934224549677
"1814",2024/06/05,12:30:59pm,4.71,"905",U1,45.43275354,-73.9389802,39.019,"0","0",,"1",500930d376b636ca,"2001",75998,75997,0.999986841758994
"1815",2024/06/05,12:31:18pm,4.71,"905",U3,45.43278003,-73.93889905,39.019,"0","0",,"1",500930e6496116cc,"3001",75999,75980,0.999749996710483
"1816",2024/06/05,12:31:37pm,4.71,"905",U5,45.43280677,-73.93881805,39.019,"0","0",,"1",500930f93f148c1a,"4001",75999,74762,0.983723470045659
"1817",2024/06/05,12:31:57pm,4.71,"905",U7,45.432834,-73.93873738,39.019,"0","0",,"1",5009310d61d1caa8,"5001",76000,75999,0.999986842105263
"1818",2024/06/05,12:32:16pm,4.71,"905",U9,45.43286106,-73.93865659,39.019,"0","0",,"1",5009312004fd5c9b,"6001",76001,57583,0.757661083406797
"1819",2024/06/05,12:33:42pm,4.71,"905",U11,45.43288783,-73.93857562,39.019,"0","0",,"1",500931767dad84cc,"7001",75999,74709,0.983026092448585
"1820",2024/06/05,12:34:17pm,4.71,"905",U13,45.43291486,-73.93849485,39.018,"0","0",,"1",5009319967e4156d,"8001",75999,74639,0.982105027697733
"1821",2024/06/05,12:34:36pm,4.71,"905",U15,45.43294178,-73.93841394,39.018,"0","0",,"1",500931ac4090e491,"9001",75999,75461,0.992920959486309
"1822",2024/06/05,12:34:56pm,4.71,"905",U17,45.43296865,-73.93833303,39.018,"0","0",,"1",500931c02d736752,"10001",76001,75827,0.997710556440047
"1823",2024/06/05,12:35:31pm,4.71,"905",U19,45.43299564,-73.93825225,39.018,"0","0",,"1",500931e304864da7,"11001",75998,75084,0.987973367720203
"1824",2024/06/05,12:35:50pm,4.71,"905",U21,45.4330222,-73.9381711,39.018,"0","0",,"1",500931f65e5dc7db,"12001",75999,75971,0.999631574099659
"1825",2024/06/05,12:36:10pm,4.71,"905",U23,45.43304943,-73.93809045,39.018,"0","0",,"1",5009320a0e0bfd00,"13001",75999,66900,0.880274740457111
"1826",2024/06/05,12:36:29pm,4.71,"905",U25,45.43307607,-73.93800937,39.018,"0","0",,"1",5009321d20388b0a,"14001",76000,75784,0.997157894736842
"1827",2024/06/05,12:36:48pm,4.71,"905",U27,45.43310314,-73.9379286,39.018,"0","0",,"1",500932306674b973,"15001",76002,72237,0.950461829951843
"1828",2024/06/05,12:40:03pm,4.71,"905",D27,45.43307809,-73.93791187,39.018,"0","0",,"1",500932f31cc6ba6c,"15002",76000,76000,1
"1829",2024/06/05,12:40:23pm,4.71,"905",D25,45.43305123,-73.93799275,39.018,"0","0",,"1",500933074e0fb62c,"14002",75999,75760,0.996855221779234
"1830",2024/06/05,12:40:42pm,4.71,"905",D23,45.43302482,-73.938074,39.018,"0","0",,"1",5009331a53186b7f,"13002",75999,75216,0.989697232858327
"1831",2024/06/05,12:41:02pm,4.71,"905",D21,45.43299754,-73.93815461,39.018,"0","0",,"1",5009332e76a6c0ac,"12002",76000,75997,0.999960526315789
"1832",2024/06/05,12:41:21pm,4.71,"905",D19,45.43297069,-73.93823555,39.018,"0","0",,"1",50093341439eab88,"11002",75999,75939,0.999210515927841
"1833",2024/06/05,12:41:41pm,4.71,"905",D17,45.43294382,-73.93831644,39.018,"0","0",,"1",500933555f96dae6,"10002",76000,75880,0.998421052631579
"1834",2024/06/05,12:42:00pm,4.71,"905",D15,45.43291666,-73.93839716,39.018,"0","0",,"1",5009336847e7a62c,"9002",75998,75829,0.997776257269928
"1835",2024/06/05,12:42:19pm,4.71,"905",D13,45.43289001,-73.93847825,39.018,"0","0",,"1",5009337b4c676e32,"8002",76000,75903,0.998723684210526
"1836",2024/06/05,12:43:50pm,4.71,"905",D11,45.43286297,-73.93855902,39.018,"0","0",,"1",500933d64a119e6a,"7002",75999,69129,0.909604073737812
"1837",2024/06/05,12:44:09pm,4.71,"905",D9,45.4328361,-73.93863993,39.018,"0","0",,"1",500933e969cb9441,"6002",76000,75999,0.999986842105263
"1838",2024/06/05,12:44:29pm,4.71,"905",D7,45.43280925,-73.93872085,39.019,"0","0",,"1",500933fd16119dc1,"5002",76000,75809,0.997486842105263
"1839",2024/06/05,12:44:48pm,4.71,"905",D5,45.43278214,-73.9388016,39.019,"0","0",,"1",5009341069a5cf3a,"4002",76000,75700,0.996052631578947
"1840",2024/06/05,12:45:07pm,4.71,"905",D3,45.43275523,-73.93888243,39.019,"0","0",,"1",500934236a5b17e0,"3002",76003,75821,0.997605357683249
"1841",2024/06/05,12:45:27pm,4.71,"905",D1,45.43272851,-73.93896346,39.019,"0","0",,"1",50093437457bd535,"2002",76001,75719,0.996289522506283
"1842",2024/06/05,12:45:46pm,4.71,"905",D-1,45.43270172,-73.93904443,39.019,"0","0",,"1",5009344a1efb522b,"1002",76003,75892,0.998539531334289
"1843",2024/06/05,12:48:32pm,4.71,"905",U-1,45.43267667,-73.93902755,39.019,"0","0",,"1",500934f072334d02,"1003",76001,75835,0.997815818212918
"1844",2024/06/05,12:48:51pm,4.71,"905",U1,45.43270309,-73.93894634,39.019,"0","0",,"1",5009350366a1ff4b,"2003",76000,74945,0.986118421052632
