id,left,top,right,bottom,row_index,col_index,Plot Numbe,HAsum,HAmean
1,582987.187500000000000,5031724.500000000000000,582992.187500000000000,5031721.459999999962747,0,0,101,131707.000000000000000,0.866504822
2,582987.187500000000000,5031721.459999999962747,582992.187500000000000,5031718.419999999925494,1,0,102,143320.000000000000000,0.942894737
3,582987.187500000000000,5031718.419999999925494,582992.187500000000000,5031715.379999999888241,2,0,103,149940.000000000000000,0.986440879
4,582987.187500000000000,5031715.379999999888241,582992.187500000000000,5031712.339999999850988,3,0,104,0,0
5,582987.187500000000000,5031712.339999999850988,582992.187500000000000,5031709.300000000745058,4,0,105,112896.000000000000000,0.742741729
6,582987.187500000000000,5031709.300000000745058,582992.187500000000000,5031706.259999999776483,5,0,106,117763.000000000000000,0.774751482
7,582987.187500000000000,5031706.259999999776483,582992.187500000000000,5031703.219999999739230,6,0,107,100665.000000000000000,0.662269737
8,582987.187500000000000,5031703.219999999739230,582992.187500000000000,5031700.179999999701977,7,0,108,118323.000000000000000,0.778445911
9,582987.187500000000000,5031700.179999999701977,582992.187500000000000,5031697.139999999664724,8,0,109,126236.000000000000000,0.830494536
10,582987.187500000000000,5031697.139999999664724,582992.187500000000000,5031694.099999999627471,9,0,110,150764.000000000000000,0.991868421
11,582987.187500000000000,5031694.099999999627471,582992.187500000000000,5031691.059999999590218,10,0,111,136601.000000000000000,0.898684877
12,582987.187500000000000,5031691.059999999590218,582992.187500000000000,5031688.019999999552965,11,0,112,151415.000000000000000,0.996170977
13,582987.187500000000000,5031688.019999999552965,582992.187500000000000,5031684.979999999515712,12,0,113,126862.000000000000000,0.83461293
14,582987.187500000000000,5031684.980000000447035,582992.187500000000000,5031681.940000000409782,13,0,114,123784.000000000000000,0.814357706
15,582987.187500000000000,5031681.940000000409782,582992.187500000000000,5031678.900000000372529,14,0,115,125646.000000000000000,0.826618421
16,582987.187500000000000,5031678.900000000372529,582992.187500000000000,5031675.860000000335276,15,0,116,149894.000000000000000,0.986157713
17,582987.187500000000000,5031675.860000000335276,582992.187500000000000,5031672.819999999366701,16,0,117,139791.000000000000000,0.919677632
18,582987.187500000000000,5031672.819999999366701,582992.187500000000000,5031669.780000000260770,17,0,118,142536.000000000000000,0.937730673
19,582987.187500000000000,5031669.780000000260770,582992.187500000000000,5031666.740000000223517,18,0,119,118264.000000000000000,0.778047513
20,582987.187500000000000,5031666.740000000223517,582992.187500000000000,5031663.700000000186265,19,0,120,119975.000000000000000,0.789319596
21,582987.187500000000000,5031663.700000000186265,582992.187500000000000,5031660.660000000149012,20,0,121,119654.000000000000000,0.78719219
22,582987.187500000000000,5031660.660000000149012,582992.187500000000000,5031657.620000000111759,21,0,122,151128.000000000000000,0.994263158
23,582987.187500000000000,5031657.620000000111759,582992.187500000000000,5031654.580000000074506,22,0,123,100546.000000000000000,0.661486842
24,582987.187500000000000,5031654.580000000074506,582992.187500000000000,5031651.540000000037253,23,0,124,129602.000000000000000,0.863431956
73,582992.187500000000000,5031724.500000000000000,582997.187500000000000,5031721.459999999962747,0,1,201,151510.000000000000000,0.996782874
74,582992.187500000000000,5031721.459999999962747,582997.187500000000000,5031718.419999999925494,1,1,202,149240.000000000000000,0.981842105
75,582992.187500000000000,5031718.419999999925494,582997.187500000000000,5031715.379999999888241,2,1,203,147503.000000000000000,0.970408089
76,582992.187500000000000,5031715.379999999888241,582997.187500000000000,5031712.339999999850988,3,1,204,86819.000000000000000,0.571177632
