Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Description1,SPACING,DENSITY,VARIETY,Treatment,Mason Plot #,qGIS plot number,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,HAsum,HAmean,HAmean2row,AdjustedYield2row,spatialcv,Weighted Adjustment(0.5),WeightedYield,AlgoYieldSiE,AlgoYieldSi,AlgoYieldN,AlgoYield,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,17A4AB3390,1,,LODS,1,,"30""",100000,Nautica,68,101,1001,1,1,39,19.8,1772,2280,2024-07-24,2024-09-01,131707,0.866504822,0.998934225,2282.432561,,0.933252411,2443.068963,2280,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EB5B01FFF,1,,LODS,30,,"30""",150000,ETNA,81,102,1002,1,2,47,19.2,1967,2550,2024-07-17,2024-08-20,143320,0.942894737,0.998539531,2553.729642,,0.971447369,2624.949207,2550,,,,,0,30,,,,,,,,,,,,,,,,,,,,,,,
24101-n,114965A262,1,,LODS,31,,"30""",75000,Red Rover,55,103,1003,1,3,,,,.,2024-07-16,2024-08-21,149940,0.986440879,0.997815818,.,,,,,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F294A5502,1,,LODS,60,,"22""",150000,black bear,32,104,1004,1,4,,1,,.,2024-07-21,,,,,.,,,,,,,,,0,60,,,,,,,,,,,,,,,,,,,,,,,
24101-n,128FCE3EF1,1,,LODS,61,,"22""",75000,Nautica,8,105,1005,1,5,29,17.2,482,640,2024-07-22,2024-09-01,112896,0.81769437,0.911439114,702.1862348,,0.871370865,734.4748672,702.1862348,,,,,0,61,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BBE7A47FB,1,,LODS,90,,"22""",100000,Cayenne,18,106,1006,1,6,45,20.3,2006,2565,2024-07-22,,117763,0.902048085,0.979667283,2618.235849,,0.887375741,2890.545551,2565,,,,,0,90,,,,,,,,,,,,,,,,,,,,,,,
24101-n,151746B5A8,2,,LODS,91,,"22""",75000,Red Rover,10,107,1007,1,7,62,20,659,846,2024-07-17,2024-08-22,100665,0.768543342,0.99257885,852.3252336,,0.831134869,1017.885342,852.3252336,,,,,0,91,,,,,,,,,,,,,,,,,,,,,,,
24101-n,139FAB529C,2,,LODS,120,,"22""",150000,Nautica,38,108,1008,1,8,26,17.6,1773,2344,2024-07-23,2024-09-01,118323,0.926851026,0.992619926,2361.427509,,0.889222956,2636.009322,2344,,,,,0,120,,,,,,,,,,,,,,,,,,,,,,,
24101-n,109D664FB0,2,,LODS,121,,"22""",100000,black bear,17,109,1009,1,9,26,21.4,1941,2448,2024-07-23,2024-09-01,126236,0.898305085,0.94619666,2587.2,,0.915247268,2674.687033,2448,,,,,0,121,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1CDBA3A339,2,,LODS,150,,"30""",100000,black bear,62,110,1010,1,10,26,19.4,2252,2913,2024-07-22,2024-08-31,150764,0.991868421,0.996210476,2924.080873,,0.995934211,2924.891995,2913,,,,,0,150,,,,,,,,,,,,,,,,,,,,,,,
24101-n,10E594A03A,2,,LODS,151,,"30""",75000,Redhawk,56,111,1011,1,11,47,19.8,307,395,2024-07-16,2024-08-20,136601,0.898684877,0.859663434,459.4821464,,0.949342439,416.07747,395,,,,,0,151,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B388374BB,2,,LODS,180,,"30""",150000,Ronnies red,87,112,1012,1,12,74,24.2,889,1081,2024-07-19,,151415,0.996170977,0.996671053,1084.610612,,0.998085489,1083.073557,1081,,,,,0,180,,,,,,,,,,,,,,,,,,,,,,,
24101-n,18663BCBFE,3,,LODS,181,,"22""",150000,Red Rover,40,113,1013,1,13,60,20.2,454,581,2024-07-17,2024-08-21,126862,0.984794275,0.994464945,584.2337662,,0.917306465,633.3761095,581,,,,,0,181,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1A1BE75B42,3,,LODS,210,,"22""",75000,Nautica,8,114,1014,1,14,26,17.2,1454,1932,2024-07-22,2024-08-30,123784,0.954382826,0.987012987,1957.421053,,0.907178853,2129.679273,1932,,,,,0,210,,,,,,,,,,,,,,,,,,,,,,,
24101-n,164D3540D0,3,,LODS,211,,"22""",100000,CLERK,19,115,1015,1,15,68,20.6,626,798,2024-07-23,,125646,0.962566845,0.994434137,802.4664179,,0.913309211,873.745705,798,,,,,0,211,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1AFDF9FCFC,3,,LODS,240,,"30""",100000,black bear,62,116,1016,1,16,59,17.5,1837,2432,2024-07-23,2024-08-30,149894,0.986157713,0.98875,2459.671302,,0.993078857,2448.949531,2432,,,,,0,240,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EFFB4BBF3,3,,LODS,241,,"30""",150000,Apex,76,117,1017,1,17,29,17.8,2002,2641,2024-07-18,2024-09-01,139791,0.919677632,0.984802432,2681.756173,,0.959838816,2751.503644,2641,,,,,0,241,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1AEA6AB175,3,,LODS,270,,"30""",75000,Eclipse,50,118,1018,1,18,28,16.5,1392,1865,2024-07-25,2024-08-21,142536,0.937730673,0.8727878,2136.830969,,0.968865337,1924.932114,1865,,,,,0,270,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1629533B8A,4,,LODS,271,,"22""",75000,Ronnies red,12,119,1019,1,19,76,18,201,.,2024-07-19,,118264,0.885026738,0.92962963,.,,0.889023757,296.9549442,.,,,,,0,271,,,,,,,,,,,,,,,,,,,,,,,
24101-n,179D7709CE,4,,LODS,300,,"22""",100000,T9905,28,120,1020,1,20,27,18.4,1182,1548,2024-07-22,2024-08-30,119975,0.924242424,0.975836431,1586.331429,,0.894659798,1730.266637,1548,,,,,0,300,,,,,,,,,,,,,,,,,,,,,,,
24101-n,19CD413B6F,4,,LODS,301,,"22""",150000,Nautica,38,121,1021,1,21,26,18,949,1249,2024-07-22,2024-08-26,119654,0.928443649,0.975925926,1279.810247,,0.893596095,1397.723207,1249,,,,,0,301,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1.08E+65,4,,LODS,330,,"30""",150000,black bear,77,122,1022,1,22,,,,.,2024-07-21,2024-08-28,151128,0.994263158,0.996539383,.,,,,,,,,,0,330,,,,,,,,,,,,,,,,,,,,,,,
24101-n,18D12A1076,4,,LODS,331,,"30""",100000,Redhawk,71,123,1023,1,23,51,20,69,.,2024-07-17,2024-08-21,100546,0.661486842,0.640460526,.,,0.830743421,107.132958,.,,,,,0,331,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1EB3699B63,4,,LODS,360,,"30""",75000,Ronnies red,57,124,1024,1,24,,,,.,2024-07-26,,129602,0.863431956,0.856936093,.,,,,,,,,,0,360,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17DD20C9A0,1,,LODS,2,,"30""",100000,CLERK,64,201,2001,2,1,67,23.8,635,776,2024-07-23,2024-09-01,151510,0.996782874,0.999986842,776.0102109,,0.998391437,777.250256,776,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,
24101-n,167E0CFA3F,1,,LODS,29,,"30""",150000,Cayenne,78,202,2002,2,2,,,,.,2024-07-20,2024-08-30,149240,0.981842105,0.996289523,.,,,,,,,,,0,29,,,,,,,,,,,,,,,,,,,,,,,
24101-n,13EFA08461,1,,LODS,32,,"30""",75000,T9905,58,203,2003,2,3,38,21,1637,2075,2024-07-24,2024-08-30,147503,0.970408089,0.986118421,2104.209754,,0.985204045,2106.162689,2075,,,,,0,32,,,,,,,,,,,,,,,,,,,,,,,
24101-n,184AA18C55,1,,LODS,59,,"22""",150000,ETNA,36,204,2004,2,4,47,19.3,190,.,2024-07-17,2024-08-22,86819,0.559216385,0.367837338,.,,0.785588816,313.1409142,.,,,,,0,59,,,,,,,,,,,,,,,,,,,,,,,
24101-n,108817FC5A,1,,LODS,62,,"22""",75000,Merlot,7,205,2005,2,5,40,20.6,929,1184,2024-07-23,2024-09-01,100329,0.687220733,0.760667904,1556.526829,,0.830031777,1426.451412,1556.526829,,,,,0,62,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17F17445E8,1,,LODS,89,,"22""",100000,Windbreaker,29,206,2006,2,6,47,21,1359,1723,2024-07-21,2024-08-24,125734,0.942067736,0.981481481,1755.509434,,0.913598684,1885.948426,1723,,,,,0,89,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1584ADAD28,2,,LODS,92,,"22""",75000,Zorro,15,207,2007,2,7,26,20.5,1573,2007,2024-07-25,2024-08-31,101188,0.740608229,0.842007435,2383.589404,,0.832853074,2409.78879,2383.589404,,,,,0,92,,,,,,,,,,,,,,,,,,,,,,,
24101-n,14967C7782,2,,LODS,119,,"22""",150000,Merlot,37,208,2008,2,8,45,18.6,1280,1672,2024-07-24,2024-08-30,98089,0.690795353,0.81598513,2049.056948,,0.822659062,2032.4337,2049.056948,,,,,0,119,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BBE1B7C42,2,,LODS,122,,"22""",100000,Merlot,22,209,2009,2,9,61,18.6,1334,1742,2024-07-21,2024-08-30,121060,0.88057041,0.927911275,1877.334661,,0.898231544,1939.366316,1742,,,,,0,122,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1005824E2F,2,,LODS,149,,"30""",100000,Red Rover,70,210,2010,2,10,55,20.3,674,862,2024-07-18,2024-08-21,151953,0.999677636,0.999986842,862.0113423,,0.999838818,862.1389613,862,,,,,0,149,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C72DABC5F,2,,LODS,152,,"30""",75000,ETNA,51,211,2011,2,11,63,21.5,537,676,2024-07-16,2024-08-21,143412,0.9435,0.979342105,690.259304,,0.97175,695.6521739,676,,,,,0,152,,,,,,,,,,,,,,,,,,,,,,,
24101-n,158627AD2E,2,,LODS,179,,"30""",150000,Eclipse,80,212,2012,2,12,43,17.2,1946,2586,2024-07-20,2024-08-26,151987,0.999914474,1,2586,,0.999957237,2586.11059,2586,,,,,0,179,,,,,,,,,,,,,,,,,,,,,,,
24101-n,108190DD84,3,,LODS,182,,"22""",150000,Zorro,45,213,2013,2,13,40,19.1,1515,1967,2024-07-20,2024-08-29,122395,0.850626118,0.996282528,1974.339552,,0.902620429,2179.210593,1967,,,,,0,182,,,,,,,,,,,,,,,,,,,,,,,
24101-n,174D419533,3,,LODS,209,,"22""",75000,Ronnies red,12,214,2014,2,14,76,20,567,728,2024-07-23,,122427,0.8375,0.877777778,829.3670886,,0.902717746,806.453627,829.3670886,,,,,0,209,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BE74AADB7,3,,LODS,212,,"22""",100000,Nautica,23,215,2015,2,15,25,20.3,1627,2081,2024-07-23,2024-08-30,107334,0.788958148,0.966728281,2152.621415,,0.853067723,2439.431177,2152.621415,,,,,0,212,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C1CAA7A5F,3,,LODS,239,,"30""",100000,Redhawk,71,216,2016,2,16,56,19.3,361,467,2024-07-16,2024-08-26,147100,0.967782259,0.998315834,467.7878325,,0.98389113,474.6460111,467,,,,,0,239,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1597C0C6D6,3,,LODS,242,,"30""",150000,Red Dawn,84,217,2017,2,17,63,20.3,364,466,2024-07-16,2024-08-20,151930,0.999532898,1,466,,0.999766449,466.1088602,466,,,,,0,242,,,,,,,,,,,,,,,,,,,,,,,
