Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Mason Plot #,SPACING,DENSITY,VARIETY,VarTreatment,Plot Range,Plot Column,TSW,Moisture,PLOTWEIGHT,YIELD,FloweringD,MaturityD,HAsum,HAmean,AdjustedYield
24101-n,178E433348,1,,LODS,6,6001,"30""",100000,Apex,1,6,1,52,25.6,1417,1692,2024-07-20,2024-09-01,129965,0.86,1978.897272
24101-n,17D142D80C,1,,LODS,22,9002,"30""",150000,Apex,1,9,2,28,20.3,2220,2839,2024-07-24,2024-08-31,147339,0.97,2928.848967
24101-n,176658E42D,1,,LODS,42,12003,"30""",75000,Apex,1,12,3,51,19.5,1576,2036,2024-07-20,2024-09-02,141696,0.93,2184.056007
24101-n,1CA2619B26,2,,LODS,147,4010,"30""",100000,Apex,1,4,10,26,18.9,1952,2540,2024-07-24,2024-08-31,151355,1,2550.857785
24101-n,190123EEC1,2,,LODS,168,13012,"30""",150000,Apex,1,13,12,29,21.5,2397,3019,2024-07-24,2024-08-30,142216,0.94,3226.697418
24101-n,1F24AA3057,2,,LODS,164,14011,"30""",75000,Apex,1,14,11,38,20.1,1404,1800,2024-07-26,2024-09-01,142718,0.94,1917.067223
24101-n,1EFFB4BBF3,3,,LODS,241,1017,"30""",150000,Apex,1,1,17,29,17.8,2002,2641,2024-07-18,2024-09-01,139791,0.92,2871.658404
24101-n,159D531A2B,3,,LODS,268,3018,"30""",75000,Apex,1,3,18,58,20.1,617,,2024-07-23,2024-09-02,140291,0.92,
24101-n,1F98C2ABF6,3,,LODS,237,4016,"30""",100000,Apex,1,4,16,30,19.4,1969,2547,2024-07-26,2024-09-01,147168,0.97,2630.626223
24101-n,15158A5F69,1,,LODS,33,3003,"30""",75000,black bear,2,3,3,26,21.7,1836,2307,2024-07-23,2024-08-31,134790,0.89,2601.540864
24101-n,13D7345BF6,1,,LODS,23,8002,"30""",150000,black bear,2,8,2,60,19,1885,2450,2024-07-23,2024-08-29,151632,1,2455.945974
24101-n,1047A4D661,1,,LODS,9,9001,"30""",100000,black bear,2,9,1,25,19.6,1633,2107,2024-07-26,2024-08-30,151495,1,2114.037473
24101-n,1CDBA3A339,2,,LODS,150,1010,"30""",100000,black bear,2,1,10,26,19.4,2252,2913,2024-07-22,2024-08-31,150764,0.99,2936.881484
24101-n,152CB970AB,2,,LODS,155,5011,"30""",75000,black bear,2,5,11,37,19.7,1726,2224,2024-07-23,2024-09-01,151265,1,2234.762357
24101-n,1F1317254C,2,,LODS,174,7012,"30""",150000,black bear,2,7,12,27,18.5,2396,3133,2024-07-25,2024-09-01,151792,1,3137.313778
24101-n,1AFDF9FCFC,3,,LODS,240,1016,"30""",100000,black bear,2,1,16,59,17.5,1837,2432,2024-07-23,2024-08-30,149894,0.99,2466.136977
24101-n,16CA55D478,3,,LODS,246,6017,"30""",150000,black bear,2,6,17,24,17.9,2120,2793,2024-07-23,2024-08-30,151753,1,2797.509202
24101-n,1C8BF78179,3,,LODS,257,14018,"30""",75000,black bear,2,14,18,71,21.9,720,,2024-07-23,2024-08-30,150056,0.99,
24101-n,167E0CFA3F,1,,LODS,29,2002,"30""",150000,Cayenne,3,2,2,,,,,2024-07-20,2024-08-30,149240,0.98,
24101-n,17ADAD86EC,1,,LODS,43,13003,"30""",75000,Cayenne,3,13,3,39,20.5,2047,2611,2024-07-25,2024-08-30,132852,0.87,2987.343894
24101-n,1ECBE9100C,1,,LODS,15,15001,"30""",100000,Cayenne,3,15,1,40,20.6,1809,2305,2024-07-22,2024-08-29,145383,0.96,2409.926229
24101-n,1875D9E138,2,,LODS,145,6010,"30""",100000,Cayenne,3,6,10,37,20.2,2044,2617,2024-07-24,2024-08-28,145550,0.96,2732.971487
24101-n,163BBC07EE,2,,LODS,163,13011,"30""",75000,Cayenne,3,13,11,39,19.7,1858,2394,2024-07-24,2024-08-29,146841,0.97,2478.141582
24101-n,1BD5369796,2,,LODS,167,14012,"30""",150000,Cayenne,3,14,12,40,17.9,2059,2713,2024-07-23,2024-08-31,149679,0.98,2755.03293
24101-n,15E9CC80F0,3,,LODS,238,3016,"30""",100000,Cayenne,3,3,16,56,17.9,1310,1726,2024-07-26,2024-08-30,142226,0.94,1844.625638
24101-n,178080C6F1,3,,LODS,265,6018,"30""",75000,Cayenne,3,6,18,70,19.7,614,,2024-07-24,2024-08-30,141755,0.93,
24101-n,18DA1E9071,3,,LODS,251,11017,"30""",150000,Cayenne,3,11,17,41,19.1,2508,3256,2024-07-23,2024-08-30,144834,0.95,3417.075714
24101-n,17DD20C9A0,1,,LODS,2,2001,"30""",100000,CLERK,4,2,1,67,23.8,635,776,2024-07-23,2024-09-01,151510,1,778.5045476
24101-n,13519E0F5D,1,,LODS,38,8003,"30""",75000,CLERK,4,8,3,67,23,722,892,2024-07-23,,142067,0.93,954.3603229
24101-n,1B9839AAA6,1,,LODS,20,11002,"30""",150000,CLERK,4,11,2,70,23,963,1190,2024-07-25,2024-09-03,149803,0.99,1207.452454
24101-n,1C6889CD4C,2,,LODS,177,4012,"30""",150000,CLERK,4,4,12,68,20.8,1144,1454,2024-07-22,2024-09-02,151957,1,1454.401877
24101-n,1295EA32E8,2,,LODS,143,8010,"30""",100000,CLERK,4,8,10,63,20.4,1000,1277,2024-07-23,,139923,0.92,1387.201861
24101-n,1996D35627,2,,LODS,160,10011,"30""",75000,CLERK,4,10,11,63,21.7,851,1069,2024-07-23,,146865,0.97,1106.376604
24101-n,1CB9FA324A,3,,LODS,269,2018,"30""",75000,CLERK,4,2,18,27,17.5,2069,,2024-07-21,2024-09-02,142915,0.94,
24101-n,19C0B13B77,3,,LODS,234,7016,"30""",100000,CLERK,4,7,16,75,21.2,895,1132,2024-07-20,,151812,1,1133.409296
24101-n,14133769EF,3,,LODS,248,8017,"30""",150000,CLERK,4,8,17,94,22.7,980,1216,2024-07-24,,134199,0.88,1377.279771
24101-n,1A09581714,1,,LODS,5,5001,"30""",100000,Eclipse,5,5,1,26,19.4,1534,1984,2024-07-23,2024-08-26,151698,1,1987.949742
24101-n,1ED16701A9,1,,LODS,25,6002,"30""",150000,Eclipse,5,6,2,27,19.4,2351,3041,2024-07-20,2024-08-27,151962,1,3041.720417
24101-n,1CDB6474C6,1,,LODS,41,11003,"30""",75000,Eclipse,5,11,3,25,20.3,1476,1888,2024-07-22,2024-08-28,111814,0.74,2566.514247
24101-n,158627AD2E,2,,LODS,179,2012,"30""",150000,Eclipse,5,2,12,43,17.2,1946,2586,2024-07-20,2024-08-26,151987,1,2586.22119
24101-n,13ED8B4B49,2,,LODS,157,7011,"30""",75000,Eclipse,5,7,11,26,19.6,1818,2345,2024-07-22,2024-08-28,151627,1,2350.722266
24101-n,19B80CD0F0,2,,LODS,138,13010,"30""",100000,Eclipse,5,13,10,27,18.9,2265,2948,2024-07-24,2024-08-26,150589,0.99,2975.641966
