fid,id,left,top,right,bottom,row_index,col_index,Plot Numbe,_count,_mean
"1","6",583058.2854,5031658.4071,583060.5254,5031653.4071,"5","0","15004",991,1
"2","7",583058.2854,5031653.4071,583060.5254,5031648.4071,"6","0","14004",1070,1
"3","8",583058.2854,5031648.4071,583060.5254,5031643.4071,"7","0","13004",975,1
"4","9",583058.2854,5031643.4071,583060.5254,5031638.4071,"8","0","12004",743,1
"5","10",583058.2854,5031638.4071,583060.5254,5031633.4071,"9","0","11004",1066,1
"6","11",583058.2854,5031633.4071,583060.5254,5031628.4071,"10","0","10004",719,1
"7","12",583058.2854,5031628.4071,583060.5254,5031623.4071,"11","0","9004",1068,1
"8","13",583058.2854,5031623.4071,583060.5254,5031618.4071,"12","0","8004",1108,1
"9","14",583058.2854,5031618.4071,583060.5254,5031613.4071,"13","0","7004",932,1
"10","15",583058.2854,5031613.4071,583060.5254,5031608.4071,"14","0","6004",981,1
"11","16",583058.2854,5031608.4071,583060.5254,5031603.4071,"15","0","5004",995,1
"12","17",583058.2854,5031603.4071,583060.5254,5031598.4071,"16","0","4004",915,1
"13","18",583058.2854,5031598.4071,583060.5254,5031593.4071,"17","0","3004",1032,1
"14","19",583058.2854,5031593.4071,583060.5254,5031588.4071,"18","0","2004",628,1
"15","20",583058.2854,5031588.4071,583060.5254,5031583.4071,"19","0","1004",0,
"16","26",583060.5254,5031658.4071,583062.7654,5031653.4071,"5","1","15005",1064,1
"17","27",583060.5254,5031653.4071,583062.7654,5031648.4071,"6","1","14005",1070,1
"18","28",583060.5254,5031648.4071,583062.7654,5031643.4071,"7","1","13005",1056,1
"19","29",583060.5254,5031643.4071,583062.7654,5031638.4071,"8","1","12005",1057,1
"20","30",583060.5254,5031638.4071,583062.7654,5031633.4071,"9","1","11005",1030,1
"21","31",583060.5254,5031633.4071,583062.7654,5031628.4071,"10","1","10005",1063,1
"22","32",583060.5254,5031628.4071,583062.7654,5031623.4071,"11","1","9005",1051,1
"23","33",583060.5254,5031623.4071,583062.7654,5031618.4071,"12","1","8005",576,1
"24","34",583060.5254,5031618.4071,583062.7654,5031613.4071,"13","1","7005",865,1
