fid,id,left,top,right,bottom,row_index,col_index,_count,_sum,_mean
"1","6",583058.2854,5031658.4071,583060.5254,5031653.4071,"5","0",1118,991,0.886404293381038
"2","7",583058.2854,5031653.4071,583060.5254,5031648.4071,"6","0",1121,1070,0.954504906333631
"3","8",583058.2854,5031648.4071,583060.5254,5031643.4071,"7","0",1118,975,0.872093023255814
"4","9",583058.2854,5031643.4071,583060.5254,5031638.4071,"8","0",1119,743,0.663985701519214
"5","10",583058.2854,5031638.4071,583060.5254,5031633.4071,"9","0",1122,1066,0.950089126559715
"6","11",583058.2854,5031633.4071,583060.5254,5031628.4071,"10","0",1118,719,0.643112701252236
"7","12",583058.2854,5031628.4071,583060.5254,5031623.4071,"11","0",1123,1068,0.951024042742654
"8","13",583058.2854,5031623.4071,583060.5254,5031618.4071,"12","0",1120,1108,0.989285714285714
"9","14",583058.2854,5031618.4071,583060.5254,5031613.4071,"13","0",1118,932,0.833631484794276
"10","15",583058.2854,5031613.4071,583060.5254,5031608.4071,"14","0",1118,981,0.877459749552773
"11","16",583058.2854,5031608.4071,583060.5254,5031603.4071,"15","0",1119,995,0.889186773905273
"12","17",583058.2854,5031603.4071,583060.5254,5031598.4071,"16","0",1122,915,0.815508021390374
"13","18",583058.2854,5031598.4071,583060.5254,5031593.4071,"17","0",1122,1032,0.919786096256685
"14","19",583058.2854,5031593.4071,583060.5254,5031588.4071,"18","0",1123,628,0.559216384683882
"15","20",583058.2854,5031588.4071,583060.5254,5031583.4071,"19","0",812,0,0
"16","26",583060.5254,5031658.4071,583062.7654,5031653.4071,"5","1",1121,1064,0.949152542372881
"17","27",583060.5254,5031653.4071,583062.7654,5031648.4071,"6","1",1118,1070,0.957066189624329
"18","28",583060.5254,5031648.4071,583062.7654,5031643.4071,"7","1",1118,1056,0.944543828264758
"19","29",583060.5254,5031643.4071,583062.7654,5031638.4071,"8","1",1121,1057,0.942908117752007
"20","30",583060.5254,5031638.4071,583062.7654,5031633.4071,"9","1",1119,1030,0.920464700625559
"21","31",583060.5254,5031633.4071,583062.7654,5031628.4071,"10","1",1121,1063,0.948260481712756
"22","32",583060.5254,5031628.4071,583062.7654,5031623.4071,"11","1",1118,1051,0.940071556350626
"23","33",583060.5254,5031623.4071,583062.7654,5031618.4071,"12","1",1118,576,0.51520572450805
"24","34",583060.5254,5031618.4071,583062.7654,5031613.4071,"13","1",1122,865,0.770944741532977
