fid,id,left,top,right,bottom,row_index,col_index,Plot Numbe,_count,_sum,_mean
15,20,583058.2854,5031588.407,583060.5254,5031583.407,1,4,104,812,0,0
30,40,583060.5254,5031588.407,583062.7654,5031583.407,1,5,105,1119,915,0.81769437
45,60,583062.7654,5031588.407,583065.0054,5031583.407,1,6,106,1123,1013,0.902048085
60,80,583065.0054,5031588.407,583067.2454,5031583.407,1,7,107,1119,860,0.768543342
75,100,583067.2454,5031588.407,583069.4854,5031583.407,1,8,108,1121,1039,0.926851026
90,120,583069.4854,5031588.407,583071.7254,5031583.407,1,9,109,1121,1007,0.898305085
105,140,583071.7254,5031588.407,583073.9654,5031583.407,1,13,113,1118,1101,0.984794275
120,160,583073.9654,5031588.407,583076.2054,5031583.407,1,14,114,1118,1067,0.954382826
122,160,583073.9654,5031588.407,583076.2054,5031583.407,1,15,115,1122,1080,0.962566845
137,160,583073.9654,5031588.407,583076.2054,5031583.407,1,19,119,1122,993,0.885026738
152,160,583073.9654,5031588.407,583076.2054,5031583.407,1,20,120,1122,1037,0.924242424
167,160,583073.9654,5031588.407,583076.2054,5031583.407,1,21,121,1118,1038,0.928443649
14,19,583058.2854,5031593.407,583060.5254,5031588.407,2,4,204,1123,628,0.559216385
29,39,583060.5254,5031593.407,583062.7654,5031588.407,2,5,205,1119,769,0.687220733
44,59,583062.7654,5031593.407,583065.0054,5031588.407,2,6,206,1122,1057,0.942067736
59,79,583065.0054,5031593.407,583067.2454,5031588.407,2,7,207,1118,828,0.740608229
74,99,583067.2454,5031593.407,583069.4854,5031588.407,2,8,208,1119,773,0.690795353
89,119,583069.4854,5031593.407,583071.7254,5031588.407,2,9,209,1122,988,0.88057041
104,139,583071.7254,5031593.407,583073.9654,5031588.407,2,13,213,1118,951,0.850626118
119,159,583073.9654,5031593.407,583076.2054,5031588.407,2,14,214,1120,938,0.8375
130,159,583073.9654,5031593.407,583076.2054,5031588.407,2,15,215,1123,886,0.788958148
145,159,583073.9654,5031593.407,583076.2054,5031588.407,2,19,219,1121,1006,0.897413024
160,159,583073.9654,5031593.407,583076.2054,5031588.407,2,20,220,1123,952,0.847729297
175,159,583073.9654,5031593.407,583076.2054,5031588.407,2,21,221,1118,1050,0.939177102
13,18,583058.2854,5031598.407,583060.5254,5031593.407,3,4,304,1122,1032,0.919786096
28,38,583060.5254,5031598.407,583062.7654,5031593.407,3,5,305,1119,1082,0.966934763
43,58,583062.7654,5031598.407,583065.0054,5031593.407,3,6,306,1121,1024,0.913470116
58,78,583065.0054,5031598.407,583067.2454,5031593.407,3,7,307,1120,908,0.810714286
73,98,583067.2454,5031598.407,583069.4854,5031593.407,3,8,308,1123,964,0.85841496
88,118,583069.4854,5031598.407,583071.7254,5031593.407,3,9,309,1118,1094,0.978533095
103,138,583071.7254,5031598.407,583073.9654,5031593.407,3,13,313,1121,1004,0.895628903
118,158,583073.9654,5031598.407,583076.2054,5031593.407,3,14,314,1119,895,0.799821269
129,158,583073.9654,5031598.407,583076.2054,5031593.407,3,15,315,1121,1071,0.955396967
144,158,583073.9654,5031598.407,583076.2054,5031593.407,3,19,319,1119,909,0.81233244
159,158,583073.9654,5031598.407,583076.2054,5031593.407,3,20,320,1122,1031,0.918894831
174,158,583073.9654,5031598.407,583076.2054,5031593.407,3,21,321,1118,1072,0.958855098
12,17,583058.2854,5031603.407,583060.5254,5031598.407,4,4,404,1122,915,0.815508021
