fid,id,left,top,right,bottom,row_index,col_index,PlotID,PlotIDstring,_HarvestableAreamean
"1","1",582976.2503,5031606.4245,582981.2503,5031603.3845,"0","0","101","101",0.930440789473684
"2","2",582976.2503,5031603.3845,582981.2503,5031600.3445,"1","0","102","102",0.896205313087986
"3","3",582976.2503,5031600.3445,582981.2503,5031597.3045,"2","0","103","103",0.934485980078685
"4","4",582976.2503,5031597.3045,582981.2503,5031594.2645,"3","0","104","104",0.954862139064875
"5","5",582976.2503,5031594.2645,582981.2503,5031591.2245,"4","0","105","105",0.952191104005895
"6","6",582976.2503,5031591.2245,582981.2503,5031588.1845,"5","0","106","106",0.951394417068533
"7","7",582976.2503,5031588.1845,582981.2503,5031585.1445,"6","0","107","107",0.925230263157895
"8","9",582981.2503,5031606.4245,582986.2503,5031603.3845,"0","1","108","108",0.899264483362061
"9","10",582981.2503,5031603.3845,582986.2503,5031600.3445,"1","1","109","109",0.93647984526214
"10","11",582981.2503,5031600.3445,582986.2503,5031597.3045,"2","1","110","110",0.849572368421053
"11","12",582981.2503,5031597.3045,582986.2503,5031594.2645,"3","1","111","111",0.93382981802871
"12","13",582981.2503,5031594.2645,582986.2503,5031591.2245,"4","1","112","112",0.950525990302568
"13","14",582981.2503,5031591.2245,582986.2503,5031588.1845,"5","1","113","113",0.984723583707788
"14","15",582981.2503,5031588.1845,582986.2503,5031585.1445,"6","1","114","114",0.901047354640071
"15","17",582986.2503,5031606.4245,582991.2503,5031603.3845,"0","2","201","201",0.975394251202326
"16","18",582986.2503,5031603.3845,582991.2503,5031600.3445,"1","2","202","202",0.945112203209189
"17","19",582986.2503,5031600.3445,582991.2503,5031597.3045,"2","2","203","203",0.922046565483122
"18","20",582986.2503,5031597.3045,582991.2503,5031594.2645,"3","2","204","204",0.967375
"19","21",582986.2503,5031594.2645,582991.2503,5031591.2245,"4","2","205","205",0.952933900880927
"20","22",582986.2503,5031591.2245,582991.2503,5031588.1845,"5","2","206","206",0.930198286864647
"21","23",582986.2503,5031588.1845,582991.2503,5031585.1445,"6","2","207","207",0.940051842787405
"22","25",582991.2503,5031606.4245,582996.2503,5031603.3845,"0","3","208","208",0.939196968401108
"23","26",582991.2503,5031603.3845,582996.2503,5031600.3445,"1","3","209","209",0.942743044362134
"24","27",582991.2503,5031600.3445,582996.2503,5031597.3045,"2","3","210","210",0.911757740029736
"25","28",582991.2503,5031597.3045,582996.2503,5031594.2645,"3","3","211","211",0.947710526315789
"26","29",582991.2503,5031594.2645,582996.2503,5031591.2245,"4","3","212","212",0.894643350570402
"27","30",582991.2503,5031591.2245,582996.2503,5031588.1845,"5","3","213","213",0.812576067577614
"28","31",582991.2503,5031588.1845,582996.2503,5031585.1445,"6","3","214","214",0.889800456587959
"29","33",582996.2503,5031606.4245,583001.2503,5031603.3845,"0","4","301","301",0.718282894736842
"30","34",582996.2503,5031603.3845,583001.2503,5031600.3445,"1","4","302","302",0.914349811186695
"31","35",582996.2503,5031600.3445,583001.2503,5031597.3045,"2","4","303","303",0.931210073750485
"32","36",582996.2503,5031597.3045,583001.2503,5031594.2645,"3","4","304","304",0.750269736842105
"33","37",582996.2503,5031594.2645,583001.2503,5031591.2245,"4","4","305","305",0.910322368421053
"34","38",582996.2503,5031591.2245,583001.2503,5031588.1845,"5","4","306","306",0.962841860801716
"35","39",582996.2503,5031588.1845,583001.2503,5031585.1445,"6","4","307","307",0.923269232034421
"36","41",583001.2503,5031606.4245,583006.2503,5031603.3845,"0","5","308","308",0.587156747937527
"37","42",583001.2503,5031603.3845,583006.2503,5031600.3445,"1","5","309","309",0.961249745064112
"38","43",583001.2503,5031600.3445,583006.2503,5031597.3045,"2","5","310","310",0.840150264146475
"39","44",583001.2503,5031597.3045,583006.2503,5031594.2645,"3","5","311","311",0.894027012980178
"40","45",583001.2503,5031594.2645,583006.2503,5031591.2245,"4","5","312","312",0.950243421052632
"41","46",583001.2503,5031591.2245,583006.2503,5031588.1845,"5","5","313","313",0.965190560464214
"42","47",583001.2503,5031588.1845,583006.2503,5031585.1445,"6","5","314","314",0.923980263157895
"43","49",583006.2503,5031606.4245,583011.2503,5031603.3845,"0","6","401","401",0.85633458114856
"44","50",583006.2503,5031603.3845,583011.2503,5031600.3445,"1","6","402","402",0.971920683166884
"45","51",583006.2503,5031600.3445,583011.2503,5031597.3045,"2","6","403","403",0.911587271303856
"46","52",583006.2503,5031597.3045,583011.2503,5031594.2645,"3","6","404","404",0.666460526315789
"47","53",583006.2503,5031594.2645,583011.2503,5031591.2245,"4","6","405","405",0.958677359719472
"48","54",583006.2503,5031591.2245,583011.2503,5031588.1845,"5","6","406","406",0.958546325353123
"49","55",583006.2503,5031588.1845,583011.2503,5031585.1445,"6","6","407","407",0.957644736842105
"50","54",583006.2503,5031591.2245,583011.2503,5031588.1845,"5","7","413","413",0.922847161457134
"51","55",583006.2503,5031588.1845,583011.2503,5031585.1445,"6","7","414","414",0.68458050363393
"52","52",583006.2503,5031597.3045,583011.2503,5031594.2645,"3","7","411","411",0.937573600521042
"53","53",583006.2503,5031594.2645,583011.2503,5031591.2245,"4","7","412","412",0.935091678234725
"54","50",583006.2503,5031603.3845,583011.2503,5031600.3445,"1","7","409","409",0.536039473684211
"55","51",583006.2503,5031600.3445,583011.2503,5031597.3045,"2","7","410","410",0.933071487782734
"56","49",583006.2503,5031606.4245,583011.2503,5031603.3845,"0","6","408","408",0.924516728992303
"77777","77777",,,,,,,"77777","77777",
