Plot Range,Plot Column,Experiment Name,Experiment,Plot,Mason Plot Number,Planter,Cone,Pass,Harvester,Harvester Pass,Type,Is Perennial,Check,ENTRY,BLOCK,Variety,Origin,Selection,Identity1,Description1,Fn,Clone,100 Seed weight,Actual Plants per ha,Moisture,Plot Area,Stand %,Total weight,Plot Weight,Yield,AdjustedYield,2RowHA,Adjusted2Row,Algo2Row,Flowering Date,Maturity Date,Field Plan,Location
1,1,24110McGill Farm,24110,41,101,1,1,1,1,1,Experiment,FALSE,0,1,1,PVBLPI19 1,2019 field trial,,,black,0,0,27,,18.8,,,,1747,2276.258023,2446.429745,0.926941751,2455.664578,2276.258023,2024-07-24,2024-08-28,reg,McGill Farm
1,2,24110McGill Farm,24110,42,102,16,1,2,16,2,Experiment,FALSE,0,2,1,PVBLPI19 10,,,,black,0,0,24,,17.6,,,,2083,2754.159178,2914.108155,0.898611842,3064.904165,2901.234594,2024-07-26,2024-08-28,reg,McGill Farm
1,3,24110McGill Farm,24110,43,103,17,1,3,17,3,Experiment,FALSE,1,3,1,Zorro,MDP-8111,,BC088,Phaseolus vulgaris,0,0,25,,18.5,,,,1595,2085.887356,2262.236457,0.938243015,2223.18453,2085.887356,2024-07-26,2024-08-28,reg,McGill Farm
1,4,24110McGill Farm,24110,44,104,32,1,4,32,4,Experiment,FALSE,2,4,1,black bear,,,black,TV,0,0,26,,16.7,,,,1943,2597.110077,3461.568486,0.958869233,2708.513307,2597.110077,2024-07-24,2024-08-26,reg,McGill Farm
1,5,24110McGill Farm,24110,45,105,33,1,5,33,5,Experiment,FALSE,3,5,1,Blizzard,,,navy,TV,0,0,24,,18,,,,1784,2347.368421,2578.612261,0.952617174,2464.125658,2347.368421,2024-07-27,2024-08-28,reg,McGill Farm
1,6,24110McGill Farm,24110,46,106,48,1,6,48,6,Experiment,FALSE,0,2,2,PVBLPI19 10,,,,black,0,0,24,,18,,,,2109,2775,2895.008751,0.957191071,2899.107695,2775,2024-07-22,2024-08-29,reg,McGill Farm
1,7,24110McGill Farm,24110,47,107,49,1,7,49,7,Experiment,FALSE,2,4,2,black bear,,,black,TV,0,0,29,,15.8,,,,1767,2387.378049,2492.968381,0.920599729,2593.285631,2387.378049,2024-07-26,2024-09-01,reg,McGill Farm
2,1,24110McGill Farm,24110,54,201,2,1,1,2,1,Experiment,FALSE,0,1,3,PVBLPI19 1,2019 field trial,,,black,0,0,25,,17.5,,,,1854,2454.348524,2738.600729,0.898191459,2732.544936,2585.986268,2024-07-26,2024-08-28,reg,McGill Farm
2,2,24110McGill Farm,24110,53,202,15,1,2,15,2,Experiment,FALSE,1,3,3,Zorro,MDP-8111,,BC088,Phaseolus vulgaris,0,0,25,,19,,,,1852,2407.124519,2467.847761,0.934657895,2575.407037,2407.124519,2024-07-26,2024-08-27,reg,McGill Farm
2,3,24110McGill Farm,24110,52,203,18,1,3,18,3,Experiment,FALSE,3,5,3,Blizzard,,,navy,TV,0,0,24,,18.8,,,,1811,2359.646983,2439.226756,0.85020757,2775.377527,2550.683525,2024-07-27,2024-08-31,reg,McGill Farm
2,4,24110McGill Farm,24110,51,204,31,1,4,31,4,Experiment,FALSE,0,2,3,PVBLPI19 10,,,,black,0,0,23,,17.9,,,,1957,2578.140244,2768.591445,0.936145997,2753.99377,2578.140244,2024-07-26,2024-08-28,reg,McGill Farm
2,5,24110McGill Farm,24110,50,205,34,1,5,34,5,Experiment,FALSE,0,1,2,PVBLPI19 1,2019 field trial,,,black,0,0,28,,18.1,,,,1958,2573.173941,2672.47826,0.946854564,2717.602089,2573.173941,2024-07-25,2024-08-30,reg,McGill Farm
2,6,24110McGill Farm,24110,49,206,47,1,6,47,6,Experiment,FALSE,3,5,2,Blizzard,,,navy,TV,0,0,25,,18.5,,,,1849,2418.060013,2522.287596,0.985125196,2454.57128,2418.060013,2024-07-27,2024-08-30,reg,McGill Farm
